Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,
12M 2022,9567955000000.000000,-4892615000000.000000,4675340000000.000000,-691724000000.000000,-889914000000.000000,198190000000.000000,-691724000000.000000,3983616000000.000000,2665907000000.000000,19057000000.000000,-268671000000.000000,2915521000000.000000,,2665907000000.000000,6649523000000.000000,-812382000000.000000,4588805000000.000000,1169364000000.000000,5758169000000.000000,4588805000000.000000,4666935000000.000000,-78130000000.000000,4588805000000.000000,5758169000000.000000,5525529000000.000000,232640000000.000000,5758169000000.000000
12M 2023,23857861000000.000000,-15582014000000.000000,8275847000000.000000,-1251858000000.000000,-1446085000000.000000,194227000000.000000,-1251858000000.000000,7023989000000.000000,1151384000000.000000,164081000000.000000,-590903000000.000000,1578206000000.000000,,1151384000000.000000,8175373000000.000000,-1107319000000.000000,7068054000000.000000,-308970000000.000000,6759084000000.000000,7068054000000.000000,5618997000000.000000,1449057000000.000000,7068054000000.000000,6759084000000.000000,5424732000000.000000,1334352000000.000000,6759084000000.000000
12M 2024,26965262000000.000000,-18517976000000.000000,8447286000000.000000,-1280905000000.000000,-1589876000000.000000,308971000000.000000,-1280905000000.000000,7166381000000.000000,1504438000000.000000,246415000000.000000,-754871000000.000000,2012894000000.000000,,1504438000000.000000,8670819000000.000000,-958451000000.000000,7712368000000.000000,2539110000000.000000,10251478000000.000000,7712368000000.000000,6379504000000.000000,1332864000000.000000,7712368000000.000000,10251478000000.000000,8674712000000.000000,1576766000000.000000,10251478000000.000000
