Period,Days Sales Outstanding (Annual),Days Inventory (Annual),Payables Period (Annual),Cash Conversion Cycle (Annual),Receivables Turnover (Annual),Receivables Turnover (TTM),Inventory Turnover (Annual),Inventory Turnover (TTM),Fixed Assets Turnover (Annual),Fixed Assets Turnover (TTM),Asset Turnover (Annual),Asset Turnover (TTM),Working Capital Turnover (Annual),Working Capital Turnover (TTM),Working Capital Ratio (Annual)
12M 2021,,,,,,,,,,,,,,,0.55
12M 2022,6.3,200.94,49.77,157.47,57.95,27.71,1.82,1.39,0.6,0.47,0.34,0.28,-2.47,-2.47,0.62
12M 2023,10.89,112.33,36.08,87.14,33.5,13.18,3.25,3.12,1.11,1.07,0.6,0.53,9.73,9.73,1.26
12M 2024,18.84,105.07,30.72,93.19,19.37,14.94,3.47,3.66,1.2,1.23,0.55,0.52,3.54,3.54,2.3
