Period,Operating Cash Flow (Annual),Capital expenditure (Annual),Free cash flow (Annual),Free cash flow per share (Annual)
12M 2021,(81 B),,(81 B),-59764.66
12M 2022,79 B,,79 B,47498.65
12M 2023,130 B,,130 B,78107.73
