Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak Penghasilaan,Pembayaran Bunga,Penerimaan Pengembalian Pajak,Pembayaran Beban-Beban Usaha,Penerimaan Aktivitas Operasi,Beban Lain-Lain,Pembayaran Beban Keuangan,Penerimaan Penghasilan Keuangan,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Uang Muka Pembelian Aset Tetap,Pembelian Properti Investasi,Pembayaran Uang Muka Investasi,Penerimaan Kas Dari Akuisisi Mit,Penerimaan Dari Penjualan Aset Tetap,"Pembayaran Untuk Akuisisi Entitas Anak, Dikurangi Kas Yang Di Peroleh","Pembayaran Untuk Akuisisi Entitas Anak, Dalam Sepengendalian",Pembelian Aset Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Pihak Ketiga,Pembayaran Untuk Akuisisi Kepentingan Nonpengendali,Penerimaan Dari Pihak Berelasi,Penerimaan Dari Penerbitan Modal Saham,Penerimaan Dari Uang Muka Modal Saham,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Pembayaran Liabilitas Sewa,Pembayaran Utang Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-81011000000.000000,1284749000000.000000,,,-1227261000000.000000,,-115024000000.000000,-19414000000.000000,,2521000000.000000,,,,-6584000000.000000,2000000.000000,,-81011000000.000000,408000000.000000,,-3120000000.000000,,,,3548000000.000000,,,-20000000.000000,408000000.000000,22879000000.000000,,,,10351000000.000000,115550000000.000000,,93134000000.000000,,,93134000000.000000,-27802000000.000000,,,-27802000000.000000,-150000000000.000000,-18354000000.000000,,22879000000.000000,,-57724000000.000000,,-43752000000.000000,-101476000000.000000
12M 2022,78919000000.000000,2588806000000.000000,,,-2287792000000.000000,,-132519000000.000000,-67713000000.000000,,4000000.000000,,,,-21945000000.000000,78000000.000000,,78919000000.000000,-108207000000.000000,,-36349000000.000000,,-30200000000.000000,,3034000000.000000,-32859000000.000000,-11813000000.000000,-20000000.000000,-108207000000.000000,52827000000.000000,-46106000000.000000,,-30572000000.000000,6335000000.000000,30600000000.000000,,447193000000.000000,,,447193000000.000000,-330688000000.000000,,,-330688000000.000000,,-22015000000.000000,-1920000000.000000,52827000000.000000,,23539000000.000000,29000000.000000,-101476000000.000000,-77908000000.000000
12M 2023,129776000000.000000,3158748000000.000000,,,-2633322000000.000000,,-215432000000.000000,-132204000000.000000,,1661000000.000000,,2418000000.000000,,-52322000000.000000,229000000.000000,,129776000000.000000,4812000000.000000,,-83898000000.000000,-280000000.000000,,85964000000.000000,3850000000.000000,,,-824000000.000000,4812000000.000000,-88487000000.000000,-226145000000.000000,-75266000000.000000,,,,92000000000.000000,2065642000000.000000,,,2065642000000.000000,-1912534000000.000000,,,-1912534000000.000000,,-30998000000.000000,-1186000000.000000,-88487000000.000000,,46101000000.000000,-5000000.000000,-77908000000.000000,-31812000000.000000
