Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Aset Tetap,Goodwill,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Utang Lain-Lain,Pinjaman Jangka Pendek,Utang Pajak,Beban Akrual,Utang Pembelian Aset Tetap,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Others,Total Utang Lain-Lain,Pinjaman Jangka Panjang,Pihak Berelasi,Liabilitas Pajak Tangguhan,Others,Total Pinjaman Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,16099000000.000000,534762000000.000000,331631000000.000000,203131000000.000000,534762000000.000000,2148000000.000000,697000000.000000,1451000000.000000,2148000000.000000,,271974000000.000000,8758000000.000000,833741000000.000000,,,79667000000.000000,,39278000000.000000,38110000000.000000,538000000.000000,157593000000.000000,991334000000.000000,,,139822000000.000000,,,,,,,139822000000.000000,139822000000.000000,56577000000.000000,,,,,,13333000000.000000,13333000000.000000,43244000000.000000,56577000000.000000,196399000000.000000,,135550000000.000000,47525000000.000000,86465000000.000000,4000000000.000000,82465000000.000000,86465000000.000000,337000000.000000,10654000000.000000,280531000000.000000,476930000000.000000,1355500.000000
12M 2022,,,23385000000.000000,867281000000.000000,2734000000.000000,864547000000.000000,867281000000.000000,5558000000.000000,3479000000.000000,2079000000.000000,5558000000.000000,,937101000000.000000,27740000000.000000,1861065000000.000000,,,183918000000.000000,2268000000.000000,38055000000.000000,47377000000.000000,58080000000.000000,329698000000.000000,2190763000000.000000,,,137266000000.000000,,,,,,,137266000000.000000,137266000000.000000,122495000000.000000,,1020000000.000000,,9002000000.000000,2950000000.000000,13015000000.000000,24967000000.000000,97528000000.000000,122495000000.000000,259761000000.000000,,166150000000.000000,128270000000.000000,227406000000.000000,4000000000.000000,223406000000.000000,227406000000.000000,15440000000.000000,,537266000000.000000,797027000000.000000,1661500.000000
12M 2023,,,43938000000.000000,685340000000.000000,1677000000.000000,683663000000.000000,685340000000.000000,6060000000.000000,4205000000.000000,1855000000.000000,6060000000.000000,,962624000000.000000,68301000000.000000,1766263000000.000000,,,442584000000.000000,2268000000.000000,37094000000.000000,58940000000.000000,113008000000.000000,653894000000.000000,2420157000000.000000,,,113275000000.000000,,,,,,,113275000000.000000,113275000000.000000,158270000000.000000,,,,,5681000000.000000,52269000000.000000,57950000000.000000,100320000000.000000,158270000000.000000,271545000000.000000,,166150000000.000000,128270000000.000000,240064000000.000000,4000000000.000000,236064000000.000000,240064000000.000000,94975000000.000000,92000000000.000000,721459000000.000000,993004000000.000000,1661500.000000
12M 2024,,,63078000000.000000,980470000000.000000,3472000000.000000,976998000000.000000,980470000000.000000,2189000000.000000,1641000000.000000,548000000.000000,2189000000.000000,,958426000000.000000,73357000000.000000,2077520000000.000000,,,577441000000.000000,2268000000.000000,19374000000.000000,71810000000.000000,161970000000.000000,832863000000.000000,2910383000000.000000,,,299548000000.000000,,,,,205420000000.000000,,94128000000.000000,299548000000.000000,102839000000.000000,,,,,4737000000.000000,7997000000.000000,12734000000.000000,90105000000.000000,102839000000.000000,402387000000.000000,,500000000000.000000,128270000000.000000,120240000000.000000,33230000000.000000,87010000000.000000,120240000000.000000,23135000000.000000,9952000000.000000,781597000000.000000,1183984000000.000000,1661500.000000
