Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Bunga,Penerimaan Lain-Lain,Pembayaran Kepada Pemasok,Pembayaran Beban Operasi,Pembayaran Kas Kepada Karyawan,Pembayaran Pajak,Pembayaran Bunga,Pembayaran Beban Keuangan,Pembayaran Beban-Beban,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Perolehan Hak Guna Usaha,Akuisisi Dan Penambahan Kepemilikan Saham Di Entitas Anak,Hasil Penjualan Aset Tetap,Pelepasan Entitas Anak Ehdi,Delisting Atas Agio Saham Entitas Anak Ape,Investasi Saham,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan Utang Sewa Pembiayaan,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Liabilitas Sewa,Penambahan Utang Lain-Lain Pihak Berelasi,Pembayaran Utang Lain-Lain Pihak Berelasi,Penerimaan Utang Lain-Lain Pihak Ketiga,Pembayaran Utang Lain-Lain Pihak Ketiga,Penerimaan Piutang Lain-Lain Pihak Berelasi,Pembayaran Utang Pemegang Saham,Pembayaran Biaya Emisi Saham,Penambahan Setoran Saham,Penerimaan Dari Penerbitan Saham Biasa,Penerimaan Dari Lembaga Pembiayaan,Penerimaan Utang Bank,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Total Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Total Pembayaran Utang Bank,Pembayaran Dividen,Penambahan Modal Dividen Tunai,Penempatan Deposito Jaminan,Penerimaan Dari Penerbitan Waran,Penerimaan Neto Penawaran Umum Perdana,Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,2162801520.000000,56119168010.000000,,2310707623.000000,-51978040486.000000,,-2585270856.000000,-1194651359.000000,,,-509111412.000000,,2162801520.000000,-435909710.000000,-835909710.000000,,,400000000.000000,,,,-435909710.000000,-597657000.000000,,-265920611.000000,-300000000.000000,,,,,,,,,,,,,,,-31736389.000000,,,-31736389.000000,,,,,,,-597657000.000000,,1129234810.000000,,3700612189.000000,4829846999.000000
12M 2022,1503222608.000000,77462002816.000000,,6218360690.000000,-76093631933.000000,,-3721900223.000000,-1890709394.000000,,,-470899348.000000,,1503222608.000000,-7365015112.000000,-7503920092.000000,,,138904980.000000,,,,-7365015112.000000,2943025349.000000,,-1559112192.000000,,,504584557.000000,,,-3002447016.000000,,,,,,10000000000.000000,,,10000000000.000000,-3000000000.000000,,,-3000000000.000000,,,,,,,2943025349.000000,,-2918767155.000000,,4829846999.000000,1911079844.000000
12M 2023,8091627590.000000,72543126990.000000,,3301349214.000000,-61249518040.000000,,-5672717129.000000,-1713959945.000000,,883346500.000000,,,8091627590.000000,-1447686575.000000,-1447686575.000000,,,,,,,-1447686575.000000,546652359.000000,,-1388952052.000000,-156618156.000000,,,1007636396.000000,,-2915413829.000000,,,,,,14000000000.000000,,,14000000000.000000,-10000000000.000000,,,-10000000000.000000,,,,,,,546652359.000000,,7190593374.000000,,1911079844.000000,9101673218.000000
12M 2024,-6639193366.000000,29007824565.000000,,5067294354.000000,-29719613674.000000,,-9668139265.000000,-1082924155.000000,,-243635191.000000,,,-6639193366.000000,-1595842380.000000,-1595842380.000000,,,,,,,-1595842380.000000,7718690688.000000,,-1262946778.000000,999331085.000000,,,-44296084557.000000,,-4950304155.000000,,,53228695093.000000,,,72560000000.000000,,,72560000000.000000,-68560000000.000000,,,-68560000000.000000,,,,,,,7718690688.000000,,-516345058.000000,,9703005917.000000,9186660859.000000
