Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Usaha,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,58910799784.000000,-48139109942.000000,10771689842.000000,-3754189073.000000,-331810971.000000,,-4182264173.000000,759886071.000000,-3754189073.000000,7017500769.000000,-509111412.000000,,-509111412.000000,-509111412.000000,6508389357.000000,-1217829493.000000,-1288275313.000000,70445820.000000,-1217829493.000000,5290559864.000000,30327578.000000,30327578.000000,30327578.000000,5320887442.000000,5290559864.000000,5290559864.000000,,5290559864.000000,5320887442.000000,5320887442.000000,,5320887442.000000
12M 2022,84290000877.000000,-68161899560.000000,16128101317.000000,-7048067013.000000,-741573390.000000,,-6128075018.000000,-178418605.000000,-7048067013.000000,9080034304.000000,-470899348.000000,,-470899348.000000,-470899348.000000,8609134956.000000,-1814043827.000000,-1878586160.000000,64542333.000000,-1814043827.000000,6795091129.000000,-502854748.000000,-502854748.000000,-502854748.000000,6292236381.000000,6795091129.000000,6795091129.000000,,6795091129.000000,6292236381.000000,6292236381.000000,,6292236381.000000
12M 2023,98387633714.000000,-67396587428.000000,30991046286.000000,-17897941746.000000,-1723906699.000000,,-16174035047.000000,,-17897941746.000000,13093104540.000000,-995913651.000000,29930387.000000,-1025844038.000000,-995913651.000000,12097190889.000000,-2562931942.000000,-2140391000.000000,-422540942.000000,-2562931942.000000,9534258947.000000,-3241732596.000000,-3241732596.000000,-3241732596.000000,6292526351.000000,9534258947.000000,9501514173.000000,32744774.000000,9534258947.000000,6292526351.000000,6259781577.000000,32744774.000000,6292526351.000000
12M 2024,128819630162.000000,-92513799862.000000,36305830300.000000,-24426634294.000000,-2360490291.000000,,-22066144003.000000,,-24426634294.000000,11879196006.000000,-2064387046.000000,24853642.000000,-2089240688.000000,-2064387046.000000,9814808960.000000,-2927504889.000000,-2649571320.000000,-277933569.000000,-2927504889.000000,6887304071.000000,1597730741.000000,1597730741.000000,1597730741.000000,8485034812.000000,6887304070.000000,6878376686.000000,8927384.000000,6887304070.000000,8485034811.000000,8476107427.000000,8927384.000000,8485034811.000000
