Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Piutang Retensi,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Pembelian Aset Tetap,Utang Bank,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Utang Pembiayaan Konsumen,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,4829846999.000000,11312987930.000000,4006029778.000000,7306958152.000000,11312987930.000000,618636366.000000,17000000.000000,601636366.000000,618636366.000000,,15644906166.000000,250000000.000000,32656377461.000000,,4038413532.000000,,385712937.000000,2806567974.000000,7230694443.000000,39887071904.000000,,,9761196374.000000,,5477213616.000000,5477213616.000000,,,,,604300480.000000,,,143075917.000000,3000000000.000000,536606361.000000,9761196374.000000,3112779319.000000,,,,,,3112779319.000000,3112779319.000000,12873975693.000000,,650000000.000000,,26777565418.000000,,26777565418.000000,26777565418.000000,,-414469207.000000,27013096211.000000,39887071904.000000,650.000000
12M 2022,,,1911079844.000000,18140985992.000000,5544981250.000000,12596004742.000000,18140985992.000000,8889773502.000000,59045553.000000,8830727949.000000,8889773502.000000,,15347546956.000000,3216785215.000000,47506171509.000000,,10666441446.000000,,592086097.000000,4969201816.000000,16227729359.000000,63733900868.000000,,,21230087232.000000,,5930367131.000000,5930367131.000000,,,504584557.000000,504584557.000000,1304225285.000000,,,2291281788.000000,10000000000.000000,1585578899.000000,21230087232.000000,8812530616.000000,,,,,,8812530616.000000,8812530616.000000,30042617848.000000,,27000000000.000000,,7222656547.000000,270000000.000000,6952656547.000000,7222656547.000000,,-917323955.000000,33305332592.000000,63347950440.000000,27000.000000
12M 2023,,,9101673217.000000,16808470761.000000,141463135.000000,16667007626.000000,16808470761.000000,30571840210.000000,251139918.000000,30320700292.000000,30571840210.000000,,29546658453.000000,14301903127.000000,100330545768.000000,,14632942823.000000,,1169126501.000000,6698114720.000000,22500184044.000000,122830729812.000000,,,74397522902.000000,,8647807761.000000,8647807761.000000,,134406294.000000,43296084557.000000,43430490851.000000,4115945662.000000,,2223043802.000000,,14000000000.000000,3229761533.000000,74397522902.000000,7781888147.000000,,,,516353945.000000,,7265534202.000000,7781888147.000000,82179411049.000000,,36800000000.000000,,3682438122.000000,370000000.000000,3312438122.000000,3682438122.000000,,-1080646066.000000,39401792056.000000,121581203105.000000,36800000000.000000
12M 2024,,,9186660860.000000,22755976484.000000,2848315949.000000,19907660535.000000,22755976484.000000,35445244365.000000,230991406.000000,35214252959.000000,35445244365.000000,,32113463217.000000,37260321724.000000,136761666650.000000,,14305000155.000000,,1489472596.000000,7036342335.000000,22830815086.000000,159592481736.000000,,,49289652590.000000,,18502640772.000000,18502640772.000000,,60000000.000000,,60000000.000000,2662884318.000000,,292301333.000000,,20846518605.000000,7601090434.000000,49289652590.000000,10432373916.000000,,,,1073529538.000000,,9358844378.000000,10432373916.000000,59722026506.000000,,47675000000.000000,43672238175.000000,8963084069.000000,370000000.000000,8593084069.000000,8963084069.000000,,-1115649885.000000,99194672359.000000,158916698865.000000,47675000000.000000
