Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Pendapatan Operasional Lainnya,Beban Operasional Lainnya,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,6459519001.000000,-3021121332.000000,3438397669.000000,-1038864349.000000,-1018531386.000000,-20332963.000000,,,-1038864349.000000,2399533320.000000,-3109432.000000,1188741.000000,-4298173.000000,,-3109432.000000,2396423888.000000,-387571140.000000,2008852748.000000,191704386.000000,2200557134.000000,2008852748.000000,2008852748.000000,,2008852748.000000,2200557134.000000,2200557134.000000,,2200557134.000000
12M 2019,12257202795.000000,-3201870840.000000,9055331955.000000,-3517748752.000000,-3069282012.000000,-448466740.000000,,,-3517748752.000000,5537583203.000000,-55270652.000000,6013853.000000,-61284505.000000,,-55270652.000000,5482312551.000000,-691494202.000000,4790818349.000000,91722841.000000,4882541190.000000,4790818349.000000,4790818349.000000,,4790818349.000000,4882541190.000000,4882541190.000000,,4882541190.000000
12M 2020,4221041136.000000,-1301914705.000000,2919126431.000000,-6748753785.000000,-6300473235.000000,-448280550.000000,,,-6748753785.000000,-3829627354.000000,-661575675.000000,2378904.000000,-663954579.000000,,-661575675.000000,-4491203029.000000,-170573558.000000,-4661776587.000000,104530657.000000,-4557245930.000000,-4661776587.000000,-4661776587.000000,,-4661776587.000000,-4557245930.000000,-4557245930.000000,,-4557245930.000000
12M 2021,8622135706.000000,-2075681909.000000,6546453797.000000,-9134194629.000000,-4356863401.000000,-20251080.000000,188839451.000000,-4945919599.000000,-9134194629.000000,-2587740832.000000,-124552035.000000,287156.000000,-124839191.000000,,-124552035.000000,-2712292867.000000,-344885429.000000,-3057178296.000000,125560072.000000,-2931618224.000000,-3057178296.000000,-3057178296.000000,,-3057178296.000000,-2931618224.000000,-2931618224.000000,,-2931618224.000000
12M 2022,7828382847.000000,-3542616455.000000,4285766392.000000,-31248322774.000000,-4065411852.000000,,57792574.000000,-27240703496.000000,-31248322774.000000,-26962556382.000000,-93202272.000000,223911.000000,-93426183.000000,,-93202272.000000,-27055758654.000000,-313135314.000000,-27368893968.000000,-19667059.000000,-27388561027.000000,-27368893968.000000,-27368893968.000000,,-27368893968.000000,-27388561027.000000,-27388561027.000000,,-27388561027.000000
12M 2023,4884035625.000000,-2644227400.000000,2239808225.000000,-1961476412.000000,-1851015365.000000,,,-110461047.000000,-1961476412.000000,278331813.000000,-46127433.000000,206023.000000,-46333456.000000,,-46127433.000000,232204380.000000,-129426944.000000,102777436.000000,56370059.000000,159147495.000000,102777436.000000,102777436.000000,,102777436.000000,159147495.000000,159147495.000000,,159147495.000000
12M 2024,2600628521.000000,-1036205430.000000,1564423091.000000,-1369069849.000000,-1369069849.000000,,,,-1369069849.000000,195353242.000000,1754230246.000000,188885.000000,-15958639.000000,1770000000.000000,1754230246.000000,1949583488.000000,-68916656.000000,1880666832.000000,-34573845.000000,1846092987.000000,1880666832.000000,1880666832.000000,,1880666832.000000,1846092987.000000,1846092987.000000,,1846092987.000000
