Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Penerimaan Dari Pendapatan Bunga Dan Pendapatan Keuangan Lainnya,"Pembayaran Kepada Karyawan, Pemasok Dan Beban Operasional Lainnya",Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Uang Muka Untuk Perolehan Aset Tetap,Uang Muka Modal Kerja,Pencairan Deposit Sewa,Pembayaran Uang Jaminan,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Dari Pihak Ketiga,Pembayaran Untuk Pembiayaan Konsumen,Penerimaan Dari Penawaran Umum Perdana Saham,Penerimaan Dari Pihak Berelasi,Penerimaan Pinjaman Bank,Pembayaran Ke Pihak Berelasi,Pembayaran Pinjaman Bank,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,301439016.000000,4805925917.000000,1188741.000000,-4050276797.000000,-4298173.000000,-451100672.000000,301439016.000000,-70610300.000000,,,,-5000000.000000,-65610300.000000,-70610300.000000,456721774.000000,,,,456721774.000000,,,,456721774.000000,687550490.000000,2033942.000000,689584432.000000
12M 2019,1221471486.000000,6418232910.000000,6013853.000000,-4471209157.000000,-61284505.000000,-670281615.000000,1221471486.000000,-11904547549.000000,,,,,-11904547549.000000,-11904547549.000000,10842818620.000000,,-43044257.000000,10000000000.000000,,1500000000.000000,-614137123.000000,,10842818620.000000,159742557.000000,689584432.000000,849326989.000000
12M 2020,-23685439442.000000,3498662140.000000,6310486.000000,-26661000655.000000,-196365683.000000,-333045730.000000,-23685439442.000000,,,,,,,,22975112636.000000,,-42802224.000000,23743857143.000000,,-1500000000.000000,774057717.000000,,22975112636.000000,-710326806.000000,849326989.000000,139000183.000000
12M 2021,-377664581.000000,3423767337.000000,189127320.000000,-3795279921.000000,-168058535.000000,-27220782.000000,-377664581.000000,5000000.000000,,,5000000.000000,,,5000000.000000,237112812.000000,,-62887188.000000,,,,300000000.000000,,237112812.000000,-135551769.000000,139000183.000000,3448414.000000
12M 2022,2105812448.000000,8360689976.000000,223910.000000,-6083054692.000000,-93426182.000000,-78620564.000000,2105812448.000000,,,,,,,,-2064362523.000000,,-220341411.000000,,,,-1844021112.000000,,-2064362523.000000,41449925.000000,3448414.000000,44898339.000000
12M 2023,-725215969.000000,2405561563.000000,206023.000000,-3001556611.000000,,-129426944.000000,-725215969.000000,,,,,,,,687051884.000000,,,,,,687051884.000000,,687051884.000000,-38164085.000000,44898339.000000,6734254.000000
12M 2024,3071602.000000,3403227622.000000,188885.000000,-3331428249.000000,,-68916656.000000,3071602.000000,,,,,,,,,,,,,,,,,3071602.000000,6734254.000000,9805856.000000
