Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Kas Untuk Karyawan,Pembayaran Kas Untuk Beban Usaha,Penerimaan (Pembayaran) Kas Untuk Lainnya,Penerimaan Bunga,Pembayaran Bunga,Pembayaran Bunga Atas Liabilitas Sewa,Pembayaran Pajak Penghasilan,Pembayaran Pesangon,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Penempatan Investasi Reksadana,Penerimaan Dari Penjualan Investasi Reksadana,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Investasi Jangka Pendek,Penerimaan Investasi Jangka Pendek,Perolehan Aset Untuk Disewakan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Utang Bank Jangka Pendek,Penerimaan,Pembayaran,Total Utang Bank Jangka Pendek,Utang Bank Jangka Panjang,Penerimaan,Pembayaran,Total Utang Bank Jangka Panjang,Penerimaan Dari Penawaran Umum Perdana,Penerimaan Dari Penjualan Aset Melalui Jual Dan Sewa Balik,Kenaikan Modal Disetor,Tambahan Modal Disetor Dari Ipo,Tambahan Modal Disetor Dari Waran Seri I,Pembayaran Pokok Liabilitas Sewa,Pembayaran Biaya Emisi Saham,Penerimaan Utang Pembiayaan Konsumen,Pembayaran Utang Pembiayaan Konsumen,Pembayaran Dividen,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,58388143127.000000,406435462152.000000,-132372769820.000000,-36055616919.000000,-60800008889.000000,-94804153787.000000,64046336.000000,-13897319481.000000,-7007125090.000000,-3174371375.000000,,58388143127.000000,-21236182492.000000,2876742425.000000,-63154892472.000000,,,-19659749660.000000,,,58701717215.000000,-21236182492.000000,-23883988862.000000,,89640378368.000000,-46752159825.000000,42888218543.000000,,,-22476393193.000000,-22476393193.000000,,,,,,-41192269488.000000,,,-3103544724.000000,,-23883988862.000000,,13267971773.000000,-3959379.000000,10135586301.000000,23399598695.000000
12M 2022,107722690729.000000,463851265469.000000,-174147849707.000000,-74955276563.000000,-50464494022.000000,-34854073101.000000,297624812.000000,-12791237748.000000,-4443168297.000000,-4770100114.000000,,107722690729.000000,-74296401462.000000,1610630631.000000,-52526319694.000000,-18999900000.000000,,-4380812399.000000,,,,-74296401462.000000,-24483695318.000000,,129990885999.000000,-127390789683.000000,2600096316.000000,,35000000000.000000,-19521179130.000000,15478820870.000000,,,100000000.000000,,,-41393459076.000000,,,-1269153428.000000,,-24483695318.000000,,8942593949.000000,-438772273.000000,23399598695.000000,31903420371.000000
12M 2023,-12724654083.000000,499153016282.000000,-208139869216.000000,-81681828170.000000,-48852943193.000000,-146159509898.000000,112599485.000000,-14500248537.000000,-6138257181.000000,-6511763655.000000,-5850000.000000,-12724654083.000000,-88247738162.000000,1323873874.000000,-56899429621.000000,-100096067615.000000,68999900000.000000,-1576014800.000000,,,,-88247738162.000000,256317714110.000000,,173998068258.000000,-172084980164.000000,1913088094.000000,,40000000000.000000,-15249745803.000000,24750254197.000000,,120031597038.000000,71637417800.000000,70610000000.000000,4109671200.000000,-34192492942.000000,-1387078378.000000,,-1154742899.000000,,256317714110.000000,,155345321865.000000,-84745422.000000,31903420371.000000,187163996814.000000
12M 2024,42025129327.000000,496696074978.000000,-148577105154.000000,-80725701824.000000,-16596886989.000000,-170036452898.000000,1252529236.000000,-13645468290.000000,-16770532836.000000,-8249061896.000000,-1322265000.000000,42025129327.000000,-29821992305.000000,,-27930006352.000000,-147200000000.000000,195308014047.000000,,-50000000000.000000,,,-29821992305.000000,-12033462959.000000,,109032212205.000000,-148981544104.000000,-39949331899.000000,,30883490990.000000,-22242617531.000000,8640873459.000000,,100601274220.000000,772734400.000000,,3090937600.000000,-61041384277.000000,,,-866217477.000000,-23282348985.000000,-12033462959.000000,,169674063.000000,162843868.000000,187163996814.000000,187496514745.000000
