Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Others,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,413333722423.000000,-225645526356.000000,187688196067.000000,-142587911502.000000,-142587911502.000000,-142587911502.000000,45100284565.000000,-21837920147.000000,64046336.000000,-20904444571.000000,-997521912.000000,-21837920147.000000,23262364418.000000,5116168759.000000,-2384558073.000000,7500726832.000000,,5116168759.000000,28378533177.000000,596460563.000000,596460563.000000,596460563.000000,28974993740.000000,28378533177.000000,28378533177.000000,,28378533177.000000,28974993740.000000,28974993740.000000,,28974993740.000000
12M 2022,477120794735.000000,-311434250725.000000,165686544010.000000,-137765439421.000000,-137765439421.000000,-137765439421.000000,27921104589.000000,51537113466.000000,297624812.000000,-30342044161.000000,81581532815.000000,51537113466.000000,79458218055.000000,-21410287999.000000,-5137853959.000000,-16272434040.000000,,-21410287999.000000,58047930056.000000,524020786.000000,524020786.000000,524020786.000000,58571950842.000000,58047930056.000000,58047930056.000000,,58047930056.000000,58571950842.000000,58571950842.000000,,58571950842.000000
12M 2023,613461702309.000000,-350863831879.000000,262597870430.000000,-155615437142.000000,-155615437142.000000,-155615437142.000000,106982433288.000000,-15831341797.000000,112599485.000000,-20638505718.000000,4694564436.000000,-15831341797.000000,91151091491.000000,-11841478328.000000,-6580795760.000000,-5260682568.000000,,-11841478328.000000,79309613163.000000,823433622.000000,823433622.000000,823433622.000000,80133046785.000000,79309613163.000000,79309613163.000000,,79309613163.000000,80133046785.000000,80133046785.000000,,80133046785.000000
12M 2024,484490134051.000000,-287326075774.000000,197164058277.000000,-144635019506.000000,-144635019506.000000,-144635019506.000000,52529038771.000000,-23526537758.000000,1252529236.000000,-30416001126.000000,5636934132.000000,-23526537758.000000,29002501013.000000,-13857150239.000000,-7794111820.000000,-6063038419.000000,,-13857150239.000000,15145350774.000000,622053203.000000,622053203.000000,622053203.000000,15767403977.000000,15145350774.000000,15145350774.000000,,15145350774.000000,15767403977.000000,15767403977.000000,,15767403977.000000
