Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Retensi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,23399598695.000000,,240535268745.000000,234438055916.000000,6097212829.000000,240535268745.000000,14161460752.000000,39225806608.000000,4080197374.000000,35145609234.000000,39225806608.000000,14945733686.000000,6542170443.000000,338810038929.000000,,26488809183.000000,425536294717.000000,21115309056.000000,21186175012.000000,494326587968.000000,833136626897.000000,,,240805792038.000000,80276923311.000000,,16321823065.000000,,16321823065.000000,30364281484.000000,24832800263.000000,2744897299.000000,,17920833333.000000,833779918.000000,61052058602.000000,79806671853.000000,6458394763.000000,240805792038.000000,89050071886.000000,,,38041666667.000000,410194457.000000,33796478552.000000,72248339676.000000,,16801732210.000000,89050071886.000000,329855863924.000000,,86000000000.000000,,416197262669.000000,,,416197262669.000000,1083500304.000000,503280762973.000000,833136626897.000000,860000.000000
12M 2022,,,31903420371.000000,,261636934518.000000,252217057030.000000,9419877488.000000,261636934518.000000,9472471334.000000,25148938519.000000,2682875162.000000,22466063357.000000,25148938519.000000,22801210290.000000,82554316471.000000,433517291503.000000,,28176577161.000000,809183594040.000000,4695074281.000000,4380812420.000000,846436057902.000000,1279953349405.000000,,,399502446149.000000,82877019627.000000,,18502158078.000000,,18502158078.000000,251285337314.000000,1966634018.000000,3327877642.000000,,12216809204.000000,324632880.000000,29001977386.000000,41543419470.000000,,399502446149.000000,318498189441.000000,203267568921.000000,,59224511666.000000,680264167.000000,35967584372.000000,95872360205.000000,,19358260315.000000,318498189441.000000,718000635590.000000,,400100000000.000000,,160245192725.000000,80020000000.000000,80225192725.000000,160245192725.000000,1607521090.000000,561952713815.000000,1279953349405.000000,4707100000.000000
12M 2023,,,187163996814.000000,,355699994797.000000,345412017176.000000,10287977621.000000,355699994797.000000,11477762070.000000,22661239524.000000,2737676167.000000,19923563357.000000,22661239524.000000,21968381152.000000,122551145658.000000,721522520015.000000,,26964517735.000000,798188486492.000000,,1576014800.000000,826729019027.000000,1548251539042.000000,,,429418433660.000000,84790107721.000000,,4224423188.000000,,4224423188.000000,261494958476.000000,2314434305.000000,4065197546.000000,,21917462412.000000,538776337.000000,45451768632.000000,67908007381.000000,4621305043.000000,429418433660.000000,334405934160.000000,135276098187.000000,,74274112655.000000,778927811.000000,105356897222.000000,180409937688.000000,797858796.000000,17922039489.000000,334405934160.000000,763824367820.000000,,471737417800.000000,70703992822.000000,239554805888.000000,80020000000.000000,159534805888.000000,239554805888.000000,2430954712.000000,784427171222.000000,1548251539042.000000,4717374178.000000
12M 2024,,,187496514745.000000,50000000000.000000,324365958991.000000,316436492250.000000,7929466741.000000,324365958991.000000,10576656496.000000,18098392363.000000,1174829006.000000,16923563357.000000,18098392363.000000,23770057356.000000,38116617744.000000,652424197695.000000,,28233900408.000000,671683758686.000000,,,699917659094.000000,1352341856789.000000,,,229941750108.000000,44840775822.000000,,2801889101.000000,,2801889101.000000,77927943963.000000,1728689183.000000,4493518095.000000,,29329289281.000000,753719361.000000,68065925302.000000,98148933944.000000,,229941750108.000000,341967367092.000000,119533106806.000000,,75503159245.000000,817058310.000000,122302630495.000000,198622848050.000000,7036348119.000000,16775064117.000000,341967367092.000000,571909117200.000000,,472510152200.000000,73794930422.000000,231074649052.000000,80020000000.000000,151054649052.000000,231074649052.000000,3053007915.000000,780432739589.000000,1352341856789.000000,4725101522.000000
