Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,5919868127.000000,-4052389570.000000,1867478557.000000,-1595383689.000000,272094868.000000,16824186.000000,16824186.000000,16824186.000000,288919054.000000,-147996703.000000,,,,-147996703.000000,140922351.000000,,140922351.000000,-7445319.000000,133477032.000000,140922351.000000,140922351.000000,,140922351.000000,133477032.000000,133477032.000000,,133477032.000000
12M 2019,18210425155.000000,-12468915391.000000,5741509764.000000,-3648363225.000000,2093146539.000000,1828761307.000000,1828761307.000000,1828761307.000000,3921907846.000000,-455260629.000000,,,,-455260629.000000,3466647217.000000,,3466647217.000000,-8407387.000000,3458239830.000000,3466647217.000000,3466647217.000000,,3466647217.000000,3458239830.000000,3458239830.000000,,3458239830.000000
12M 2020,13272828632.000000,-9085788937.000000,4187039695.000000,-6312989077.000000,-2125949382.000000,927499.000000,927499.000000,927499.000000,-2125021883.000000,-331820716.000000,,,-331820716.000000,-331820716.000000,-2456842599.000000,,-2456842599.000000,-9305816.000000,-2466148415.000000,-2456842599.000000,-2456842599.000000,,-2456842599.000000,-2466148415.000000,-2466148415.000000,,-2466148415.000000
12M 2021,4992804633.000000,-3417777051.000000,1575027582.000000,-2412950838.000000,-837923256.000000,-53764421.000000,-53764421.000000,-53764421.000000,-891687677.000000,-124820116.000000,,,-124820116.000000,-124820116.000000,-1016507793.000000,,-1016507793.000000,25231907.000000,-991275886.000000,-1016507793.000000,-1016507793.000000,,-1016507793.000000,-991275886.000000,-991275886.000000,,-991275886.000000
12M 2022,11033432727.000000,-9545367202.000000,1488065525.000000,-1473475055.000000,14590470.000000,163401791.000000,163401791.000000,163401791.000000,177992261.000000,-275835818.000000,,,-275835818.000000,-275835818.000000,-97843557.000000,,-97843557.000000,60097114.000000,-37746443.000000,-97843557.000000,-97843557.000000,,-97843557.000000,-37746443.000000,-37746443.000000,,-37746443.000000
12M 2023,2196000000.000000,-1503250969.000000,692749031.000000,-1909250766.000000,-1216501735.000000,-51218501.000000,-51218501.000000,-51218501.000000,-1267720236.000000,-54900000.000000,,,-54900000.000000,-54900000.000000,-1322620236.000000,,-1322620236.000000,-6847178.000000,-1329467414.000000,-1322620236.000000,-1322620236.000000,,-1322620236.000000,-1329467414.000000,-1329467414.000000,,-1329467414.000000
12M 2024,1984000000.000000,-1358128380.000000,625871620.000000,-2505203636.000000,-1879332016.000000,-3227632362.000000,-3227632362.000000,-3227632362.000000,-5106964378.000000,-249600000.000000,,,-249600000.000000,-249600000.000000,-5356564378.000000,,-5356564378.000000,-9208589.000000,-5365772967.000000,-5356564378.000000,-5356564378.000000,,-5356564378.000000,-5365772967.000000,-5365772967.000000,,-5365772967.000000
