Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok Dan Beban Lainnya,Pembayaran Kepada Karyawan,Pembayaran Pajak Final,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Tanah Untuk Dikembangkan,Penerimaan Dari Piutang Pihak Berelasi,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Saham Penawaran Umum Perdana,Penerimaan Dari Penerbitan Saham Dari Pelaksanaan Waran,Biaya Emisi,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan Utang Pihak Berelasi,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,-61476843611.000000,2309179485.000000,-62937332831.000000,-803598725.000000,-45091540.000000,,-61476843611.000000,-5789100.000000,,,-5789100.000000,-5789100.000000,61498698717.000000,,,,60303000000.000000,-865400000.000000,2061098717.000000,61498698717.000000,16066006.000000,101797478.000000,117863484.000000
12M 2019,-330108995696.000000,8149918494.000000,-335109115413.000000,-3149798777.000000,,,-330108995696.000000,16000000000.000000,,16000000000.000000,,16000000000.000000,314360340364.000000,251628300000.000000,,-5038559636.000000,69029000000.000000,-1258400000.000000,,314360340364.000000,251344668.000000,117863484.000000,369208152.000000
12M 2020,-20306450520.000000,7544613513.000000,-23305325602.000000,-4545738431.000000,,,-20306450520.000000,-46195020.000000,,,-46195020.000000,-46195020.000000,21106291254.000000,,930.000000,,22729000000.000000,-1622709676.000000,,21106291254.000000,753645714.000000,369208152.000000,1122853866.000000
12M 2021,-980531801.000000,2716960284.000000,-2150735609.000000,-1546756476.000000,,,-980531801.000000,,,,,,1996400.000000,,1996400.000000,,,,,1996400.000000,-978535401.000000,1122853866.000000,144318465.000000
12M 2022,-144067753.000000,8388939109.000000,-7913649118.000000,-619357744.000000,,,-144067753.000000,,,,,,32527370.000000,,32527370.000000,,,,,32527370.000000,-111540383.000000,144318465.000000,32778082.000000
12M 2023,-14354523.000000,3240834355.000000,-2588490376.000000,-666698502.000000,,,-14354523.000000,,,,,,2691265.000000,,2691265.000000,,,,,2691265.000000,-11663258.000000,32778082.000000,21114824.000000
12M 2024,-3509473912.000000,166989360.000000,-2766213272.000000,-910250000.000000,,,-3509473912.000000,,,,,,3688891997.000000,,,,,,3688891997.000000,3688891997.000000,179418085.000000,21114824.000000,200532909.000000
