Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Aset Real Estat,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Tanah Untuk Dikembangkan,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Pajak,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Bank,Utang Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2018,,,117863484.000000,1012692379.000000,,1012692379.000000,1012692379.000000,226031301646.000000,16000000000.000000,16000000000.000000,,16000000000.000000,29853392408.000000,273015249917.000000,,21080297.000000,,21080297.000000,273036330214.000000,,,24627170660.000000,19857301750.000000,,,19857301750.000000,212623054.000000,,4557245856.000000,24627170660.000000,237431527307.000000,59437600000.000000,176034834375.000000,1959092932.000000,237431527307.000000,262058697967.000000,,16000000000.000000,,-5003229962.000000,,,-5003229962.000000,-19137791.000000,10977632247.000000,273036330214.000000,16000.000000
12M 2019,,,369208152.000000,9312775998.000000,,9312775998.000000,9312775998.000000,569412868540.000000,,,,,19768896541.000000,598863749231.000000,,14470523.000000,,14470523.000000,598878219754.000000,,,30664849276.000000,23587032226.000000,,,23587032226.000000,4280994236.000000,,2796822814.000000,30664849276.000000,127476858037.000000,127208200000.000000,,268658037.000000,127476858037.000000,158141707313.000000,,279587000000.000000,162713640364.000000,-1536582745.000000,,,-1536582745.000000,-27545178.000000,440736512441.000000,598878219754.000000,5591740000.000000
12M 2020,,,1122853866.000000,3041415794.000000,,3041415794.000000,3041415794.000000,610133580551.000000,73067311.000000,,,73067311.000000,11884949581.000000,626255867103.000000,,45358090.000000,,45358090.000000,626301225193.000000,,,48903369225.000000,14439399771.000000,,,14439399771.000000,4962875715.000000,3711243592.000000,25789850147.000000,48903369225.000000,148664893540.000000,148314490324.000000,,350403216.000000,148664893540.000000,197568262765.000000,,279587000300.000000,160227060994.000000,-11044247872.000000,,,-11044247872.000000,-36850994.000000,428732962428.000000,626301225193.000000,5591740000.000000
12M 2021,,,144318465.000000,4321468923.000000,,4321468923.000000,4321468923.000000,634268234084.000000,119115309.000000,,,119115309.000000,11374029394.000000,650227166175.000000,,34566740.000000,,34566740.000000,650261732915.000000,,,73856315500.000000,17954523325.000000,,,17954523325.000000,5040733779.000000,26066999469.000000,24794058927.000000,73856315500.000000,148661734473.000000,148314490324.000000,,347244149.000000,148661734473.000000,222518049973.000000,,279587644300.000000,160228413394.000000,-12060755665.000000,,,-12060755665.000000,-11619087.000000,427743682942.000000,650261732915.000000,5591740000.000000
12M 2022,,,32778082.000000,6965962541.000000,,6965962541.000000,6965962541.000000,645901855667.000000,141615311.000000,,,141615311.000000,10192325886.000000,663234537487.000000,,24156986.000000,,24156986.000000,663258694473.000000,,,87018673191.000000,14354523321.000000,,,14354523321.000000,5302534759.000000,45083307014.000000,22278308097.000000,87018673191.000000,148501557413.000000,148314490324.000000,,187067089.000000,148501557413.000000,235520230604.000000,,279598137000.000000,160250448064.000000,-12158599222.000000,,,-12158599222.000000,48478027.000000,427738463869.000000,663258694473.000000,5591752886.000000
12M 2023,,,21114824.000000,3312738186.000000,,3312738186.000000,3312738186.000000,659454874726.000000,244615312.000000,,,244615312.000000,9617078978.000000,672650422026.000000,,14327136.000000,,14327136.000000,672664749162.000000,,,88989884316.000000,8595512078.000000,,,8595512078.000000,5007745900.000000,58139577042.000000,17247049296.000000,88989884316.000000,157263177126.000000,148314490324.000000,8777022473.000000,171664329.000000,157263177126.000000,246253061442.000000,,279599005150.000000,160252271179.000000,-13481219458.000000,,,-13481219458.000000,41630849.000000,426411687720.000000,672664749162.000000,5591962740.000000
12M 2024,,,200532909.000000,3155718986.000000,,3155718986.000000,3155718986.000000,674742507773.000000,121015792.000000,,,121015792.000000,8437000221.000000,686656775681.000000,,17080053.000000,,17080053.000000,686673855734.000000,,,104645575137.000000,6904523321.000000,,,6904523321.000000,5057345900.000000,77410686460.000000,15273019456.000000,104645575137.000000,160982365844.000000,148314490324.000000,12465914470.000000,201961050.000000,160982365844.000000,265627940981.000000,,279599005150.000000,160252271179.000000,-18837783836.000000,,,-18837783836.000000,32422260.000000,421045914753.000000,686673855734.000000,5591962740.000000
