Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Remunerasi Direksi Dan Karyawan,Pembayaran Imbalan Kerja Jangka Panjang,Pembayaran Imbalan Kerja Jangka Panjang Pensiun,Pembayaran Imbalan Kerja Jangka Panjang Non-Pensiun,Penerimaan Kembali/(Pemberian) Pinjaman Karyawan,Pembayaran Untuk Beban Jasa Dan Royalti,Pembayaran Kas Lainnya,Penerimaan Dari Penghasilan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Denda Pajak,Pelunasan/(Pemberian) Pinjaman Karyawan,Penerimaan Pengembalian Pajak,Pembayaran Atas Kurang Bayar Pajak,Pembayaran Pajak Penghasilan Badan,Pengembalian Lebih Bayar Pajak Penghasilan Badan,Pembayaran Pajak Yang Dapat Dikembalikan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Penambahan Aset Tidak Berwujud,Hasil Penjualan Entitas Anak Bersih,Hasil Penjualan Aset Tak Berwujud,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Yang Dikuasai Untuk Dijual,Hasil Penjualan Merek Dagang,Alokasi Hasil Penjualan Merek Dagang Oleh Entitas Induk,Penarikan Atas Kas Yang Dibatasi Penggunaannya,Pelunasan/(Pemberian) Pinjaman Karyawan Bersih,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,"Pinjaman Bank, Bersih",Penerimaan Pinjaman,Pembayaran Pinjaman,"Total Pinjaman Bank, Bersih",Pembayaran Liabilitas Sewa,Pembayaran Dividen Kepada Pemegang Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,2785785000000.000000,16840154000000.000000,-12060186000000.000000,-695929000000.000000,-33669000000.000000,,,,-483778000000.000000,,38789000000.000000,,,7222000000.000000,120887000000.000000,,-947705000000.000000,,,2785785000000.000000,-509114000000.000000,-506243000000.000000,-463481000000.000000,,,12924000000.000000,,,,447686000000.000000,,-509114000000.000000,-1994516000000.000000,,,,,,-1994516000000.000000,-1994516000000.000000,282155000000.000000,2968000000.000000,437224000000.000000,722347000000.000000
12M 2009,3280710000000.000000,19704297000000.000000,-13849849000000.000000,-718456000000.000000,-72923000000.000000,,,,-587192000000.000000,,31620000000.000000,,,5660000000.000000,,-4554000000.000000,-1227893000000.000000,,,3280710000000.000000,-700047000000.000000,-563129000000.000000,-140994000000.000000,,,4076000000.000000,,,,,,-700047000000.000000,-2436028000000.000000,,,,,,-2436028000000.000000,-2436028000000.000000,144635000000.000000,-8660000000.000000,722347000000.000000,858322000000.000000
12M 2010,3619189000000.000000,21263743000000.000000,-14903716000000.000000,-849176000000.000000,-26642000000.000000,,,,-643432000000.000000,,37145000000.000000,-29927000000.000000,,4127000000.000000,,,-1232933000000.000000,,,3619189000000.000000,-1310024000000.000000,-1238520000000.000000,-73872000000.000000,,,2368000000.000000,,,,,,-1310024000000.000000,-2847461000000.000000,,190000000000.000000,,190000000000.000000,,-3037461000000.000000,-2847461000000.000000,-538296000000.000000,-2267000000.000000,858322000000.000000,317759000000.000000
12M 2011,5461876000000.000000,25200151000000.000000,-16842494000000.000000,-834310000000.000000,-20076000000.000000,,,,-740521000000.000000,,26701000000.000000,-26500000000.000000,,3398000000.000000,,,-1304473000000.000000,,,5461876000000.000000,-1433138000000.000000,-1600786000000.000000,-91438000000.000000,,175679000000.000000,83407000000.000000,,,,,,-1433138000000.000000,-4010747000000.000000,,699160000000.000000,-190000000000.000000,509160000000.000000,,-4519907000000.000000,-4010747000000.000000,17991000000.000000,393000000.000000,317759000000.000000,336143000000.000000
12M 2012,5191646000000.000000,29559749000000.000000,-20919599000000.000000,-1051221000000.000000,-23133000000.000000,,,,-867927000000.000000,,30083000000.000000,-68887000000.000000,,,,,-1484624000000.000000,17205000000.000000,,5191646000000.000000,-1102030000000.000000,-1112389000000.000000,-32642000000.000000,30679000000.000000,,16515000000.000000,,,,,-4193000000.000000,-1102030000000.000000,-4196937000000.000000,,1040000000000.000000,-699160000000.000000,340840000000.000000,,-4537777000000.000000,-4196937000000.000000,-107321000000.000000,868000000.000000,336143000000.000000,229690000000.000000
12M 2013,6241679000000.000000,32815801000000.000000,-22215474000000.000000,-1236602000000.000000,-33149000000.000000,,,,-1274424000000.000000,,11737000000.000000,-20107000000.000000,,,,,-1806103000000.000000,,,6241679000000.000000,-1129148000000.000000,-1149550000000.000000,-35499000000.000000,,,4082000000.000000,,,57194000000.000000,,-5375000000.000000,-1129148000000.000000,-5121735000000.000000,,976792000000.000000,-1040000000000.000000,-63208000000.000000,,-5058527000000.000000,-5121735000000.000000,-9204000000.000000,40716000000.000000,229690000000.000000,261202000000.000000
12M 2014,6470380000000.000000,37489026000000.000000,-26008556000000.000000,-1196494000000.000000,-31500000000.000000,,,,-1836023000000.000000,,9080000000.000000,-96064000000.000000,,,,,-1859089000000.000000,,,6470380000000.000000,-1014599000000.000000,-1125906000000.000000,,,,118965000000.000000,,,,,-7658000000.000000,-1014599000000.000000,-4853509000000.000000,,1250000000000.000000,-976792000000.000000,273208000000.000000,,-5126717000000.000000,-4853509000000.000000,602272000000.000000,-4347000000.000000,261202000000.000000,859127000000.000000
12M 2015,6299051000000.000000,39597509000000.000000,-27530887000000.000000,-1271640000000.000000,-39083000000.000000,,,,-2430214000000.000000,,8476000000.000000,-120527000000.000000,,-3974000000.000000,,,-1910609000000.000000,,,6299051000000.000000,-1429245000000.000000,-1472444000000.000000,,,,35638000000.000000,,7561000000.000000,,,,-1429245000000.000000,-5142332000000.000000,450000000000.000000,,,450000000000.000000,,-5592332000000.000000,-5142332000000.000000,-272526000000.000000,41558000000.000000,859127000000.000000,628159000000.000000
12M 2016,6684219000000.000000,43386819000000.000000,-29625520000000.000000,-1497467000000.000000,-48406000000.000000,,,,-3320491000000.000000,,6057000000.000000,-143244000000.000000,,-6635000000.000000,,,-2066894000000.000000,,,6684219000000.000000,-1779098000000.000000,-1787056000000.000000,,,,7958000000.000000,,,,,,-1779098000000.000000,-5150214000000.000000,692970000000.000000,,,692970000000.000000,,-5843184000000.000000,-5150214000000.000000,-245093000000.000000,-9231000000.000000,628159000000.000000,373835000000.000000
12M 2017,7059862000000.000000,44072342000000.000000,-30712887000000.000000,-1546135000000.000000,-42669000000.000000,,,,-2191174000000.000000,,2566000000.000000,-127682000000.000000,,11550000000.000000,,,-2406049000000.000000,,,7059862000000.000000,-1601761000000.000000,-1606734000000.000000,-2255000000.000000,,,7228000000.000000,,,,,,-1601761000000.000000,-5437015000000.000000,1057030000000.000000,,,1057030000000.000000,,-6494045000000.000000,-5437015000000.000000,21086000000.000000,9863000000.000000,373835000000.000000,404784000000.000000
12M 2018,7914537000000.000000,45483545000000.000000,-30674878000000.000000,-1614213000000.000000,-42262000000.000000,,,,-2804332000000.000000,,8704000000.000000,-108642000000.000000,,7201000000.000000,,,-2340586000000.000000,,,7914537000000.000000,1942485000000.000000,-998329000000.000000,-66028000000.000000,,,12209000000.000000,195479000000.000000,2799154000000.000000,,,,1942485000000.000000,-9916201000000.000000,-2990000000000.000000,,,-2990000000000.000000,,-6926201000000.000000,-9916201000000.000000,-59179000000.000000,6062000000.000000,404784000000.000000,351667000000.000000
12M 2019,8669069000000.000000,46658008000000.000000,-29940845000000.000000,-1712441000000.000000,-52024000000.000000,,,,-2939363000000.000000,,7307000000.000000,-230230000000.000000,,-872000000.000000,,,-3120471000000.000000,,,8669069000000.000000,-1446367000000.000000,-1448845000000.000000,,,,2478000000.000000,,,,,,-1446367000000.000000,-6937190000000.000000,2460000000000.000000,,,2460000000000.000000,-220773000000.000000,-9176417000000.000000,-6937190000000.000000,285512000000.000000,-8530000000.000000,351667000000.000000,628649000000.000000
12M 2020,8363993000000.000000,47136495000000.000000,-31326497000000.000000,-1812689000000.000000,-501059000000.000000,,-37549000000.000000,,-3161414000000.000000,,4647000000.000000,-248790000000.000000,,3885000000.000000,,,-1693036000000.000000,,,8363993000000.000000,-690216000000.000000,-649743000000.000000,-42207000000.000000,,,1734000000.000000,,,,,,-690216000000.000000,-7458509000000.000000,95000000000.000000,,,95000000000.000000,-182440000000.000000,-7371069000000.000000,-7458509000000.000000,215268000000.000000,159000000.000000,628649000000.000000,844076000000.000000
12M 2021,7902091000000.000000,44102256000000.000000,-29019040000000.000000,-1730940000000.000000,-238794000000.000000,,-41448000000.000000,,-3135084000000.000000,,2017000000.000000,-184876000000.000000,,-3849000000.000000,,,-1848151000000.000000,,,7902091000000.000000,-681255000000.000000,-585163000000.000000,-101564000000.000000,,,5472000000.000000,,,,,,-681255000000.000000,-7739754000000.000000,-1165000000000.000000,,,-1165000000000.000000,-232418000000.000000,-6342336000000.000000,-7739754000000.000000,-518918000000.000000,39000000.000000,844076000000.000000,325197000000.000000
