Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Laba (Rugi) Selisih Kurs,Keuntungan Atas Penjualan Entitas Anak,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,15577811000000.000000,-7946674000000.000000,7631137000000.000000,-4200039000000.000000,-3277894000000.000000,-922145000000.000000,,-4200039000000.000000,3431098000000.000000,17307000000.000000,38792000000.000000,,6446000000.000000,-59956000000.000000,,32025000000.000000,17307000000.000000,3448405000000.000000,-1036643000000.000000,2411762000000.000000,-4531000000.000000,2407231000000.000000,,,,2407231000000.000000,2407231000000.000000,2411762000000.000000,-4531000000.000000,2407231000000.000000,,,,
12M 2009,18246872000000.000000,-9200878000000.000000,9045994000000.000000,-4831103000000.000000,-3735597000000.000000,-1095506000000.000000,,-4831103000000.000000,4214891000000.000000,33699000000.000000,30842000000.000000,,444000000.000000,2413000000.000000,,,33699000000.000000,4248590000000.000000,-1205236000000.000000,3043354000000.000000,753000000.000000,3044107000000.000000,,,,3044107000000.000000,3044107000000.000000,3043354000000.000000,753000000.000000,3044107000000.000000,,,,
12M 2010,19690239000000.000000,-9485274000000.000000,10204965000000.000000,-5662340000000.000000,-4523283000000.000000,-1139057000000.000000,,-5662340000000.000000,4542625000000.000000,-3982000000.000000,36395000000.000000,-29927000000.000000,318000000.000000,-10768000000.000000,,,-3982000000.000000,4538643000000.000000,-1153995000000.000000,3384648000000.000000,2322000000.000000,3386970000000.000000,,,,3386970000000.000000,3386970000000.000000,3384648000000.000000,2322000000.000000,3386970000000.000000,,,,
12M 2011,23469218000000.000000,-11462805000000.000000,12006413000000.000000,-6551003000000.000000,-5243477000000.000000,-1307526000000.000000,,-6551003000000.000000,5455410000000.000000,119389000000.000000,33189000000.000000,-26500000000.000000,769000000.000000,-831000000.000000,,112762000000.000000,119389000000.000000,5574799000000.000000,-1410495000000.000000,4164304000000.000000,,4164304000000.000000,,,,4164304000000.000000,4164304000000.000000,4163369000000.000000,935000000.000000,4164304000000.000000,4164304000000.000000,4163369000000.000000,935000000.000000,4164304000000.000000
12M 2012,27303248000000.000000,-13414122000000.000000,13889126000000.000000,-7391019000000.000000,-5889372000000.000000,-1544946000000.000000,43299000000.000000,-7391019000000.000000,6498107000000.000000,-31342000000.000000,37545000000.000000,-68887000000.000000,,,,,-31342000000.000000,6466765000000.000000,-1627620000000.000000,4839145000000.000000,,4839145000000.000000,,,,4839145000000.000000,4839145000000.000000,4839277000000.000000,-132000000.000000,4839145000000.000000,4839145000000.000000,4839277000000.000000,-132000000.000000,4839145000000.000000
12M 2013,30757435000000.000000,-14978947000000.000000,15778488000000.000000,-8614043000000.000000,-6627850000000.000000,-2028895000000.000000,42702000000.000000,-8614043000000.000000,7164445000000.000000,-5637000000.000000,14470000000.000000,-20107000000.000000,,,,,-5637000000.000000,7158808000000.000000,-1806183000000.000000,5352625000000.000000,,5352625000000.000000,,,,5352625000000.000000,5352625000000.000000,5352625000000.000000,,5352625000000.000000,5352625000000.000000,5352625000000.000000,,5352625000000.000000
12M 2014,34511534000000.000000,-17412413000000.000000,17099121000000.000000,-9336793000000.000000,-6613992000000.000000,-2705822000000.000000,-16979000000.000000,-9336793000000.000000,7762328000000.000000,-85606000000.000000,10458000000.000000,-96064000000.000000,,,,,-85606000000.000000,7676722000000.000000,-1938199000000.000000,5738523000000.000000,,5738523000000.000000,,,,5738523000000.000000,5738523000000.000000,5738523000000.000000,,5738523000000.000000,5738523000000.000000,5738523000000.000000,,5738523000000.000000
12M 2015,36484030000000.000000,-17835061000000.000000,18648969000000.000000,-10709568000000.000000,-7239165000000.000000,-3465924000000.000000,-4479000000.000000,-10709568000000.000000,7939401000000.000000,-109911000000.000000,10616000000.000000,-120527000000.000000,,,,,-109911000000.000000,7829490000000.000000,-1977685000000.000000,5851805000000.000000,,5851805000000.000000,12581000000.000000,12581000000.000000,12581000000.000000,5864386000000.000000,5851805000000.000000,5851805000000.000000,,5851805000000.000000,5864386000000.000000,5864386000000.000000,,5864386000000.000000
12M 2016,40053732000000.000000,-19594636000000.000000,20459096000000.000000,-11751435000000.000000,-7791556000000.000000,-3960830000000.000000,951000000.000000,-11751435000000.000000,8707661000000.000000,-135776000000.000000,7468000000.000000,-143244000000.000000,,,,,-135776000000.000000,8571885000000.000000,-2181213000000.000000,6390672000000.000000,,6390672000000.000000,-433165000000.000000,-433165000000.000000,-433165000000.000000,5957507000000.000000,6390672000000.000000,6390672000000.000000,,6390672000000.000000,5957507000000.000000,5957507000000.000000,,5957507000000.000000
12M 2017,41204510000000.000000,-19984776000000.000000,21219734000000.000000,-11723970000000.000000,-7839387000000.000000,-3875371000000.000000,-9212000000.000000,-11723970000000.000000,9495764000000.000000,-124103000000.000000,3579000000.000000,-127682000000.000000,,,,,-124103000000.000000,9371661000000.000000,-2367099000000.000000,7004562000000.000000,,7004562000000.000000,102668000000.000000,102668000000.000000,102668000000.000000,7107230000000.000000,7004562000000.000000,7004562000000.000000,,7004562000000.000000,7107230000000.000000,7107230000000.000000,,7107230000000.000000
