Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Beban Penyusutan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2011,1737846000000.000000,-1317721000000.000000,420125000000.000000,-67448000000.000000,-23816000000.000000,-43632000000.000000,,-67448000000.000000,352677000000.000000,-245680000000.000000,-204878000000.000000,,-40802000000.000000,-245680000000.000000,106997000000.000000,-41658000000.000000,65339000000.000000,,65339000000.000000,65339000000.000000,65339000000.000000,,65339000000.000000,65339000000.000000,65339000000.000000,,65339000000.000000
12M 2012,2393592000000.000000,-1743996000000.000000,649596000000.000000,-154273000000.000000,-86006000000.000000,-68267000000.000000,,-154273000000.000000,495323000000.000000,-373994000000.000000,-208530000000.000000,,-165464000000.000000,-373994000000.000000,121329000000.000000,-39480000000.000000,81849000000.000000,,81849000000.000000,81849000000.000000,81849000000.000000,,81849000000.000000,81849000000.000000,81849000000.000000,,81849000000.000000
12M 2013,3019904000000.000000,-2425195000000.000000,594709000000.000000,-155250000000.000000,-81429000000.000000,-73821000000.000000,,-155250000000.000000,439459000000.000000,-1029652000000.000000,-220505000000.000000,-635965000000.000000,-173182000000.000000,-1029652000000.000000,-590193000000.000000,103213000000.000000,-486980000000.000000,,-486980000000.000000,-486980000000.000000,-486980000000.000000,,-486980000000.000000,-486980000000.000000,-486980000000.000000,,-486980000000.000000
12M 2014,3279203000000.000000,-2887898000000.000000,391305000000.000000,-146230000000.000000,-67032000000.000000,-79198000000.000000,,-146230000000.000000,245075000000.000000,-434900000000.000000,-176165000000.000000,-168416000000.000000,-90319000000.000000,-434900000000.000000,-189825000000.000000,35093000000.000000,-154732000000.000000,,-154732000000.000000,-154732000000.000000,-154732000000.000000,,-154732000000.000000,-154732000000.000000,-154732000000.000000,,-154732000000.000000
12M 2015,3234983000000.000000,-3047522000000.000000,187461000000.000000,-136309000000.000000,-55756000000.000000,-80553000000.000000,,-136309000000.000000,51152000000.000000,-874656000000.000000,-206533000000.000000,-526918000000.000000,-141205000000.000000,-874656000000.000000,-823504000000.000000,47027000000.000000,-776477000000.000000,571008000000.000000,-205469000000.000000,-776477000000.000000,-776477000000.000000,,-776477000000.000000,-205469000000.000000,-205469000000.000000,,-205469000000.000000
12M 2016,3000238000000.000000,-2939716000000.000000,60522000000.000000,-146307000000.000000,-33115000000.000000,-113192000000.000000,,-146307000000.000000,-85785000000.000000,-168772000000.000000,-236211000000.000000,195613000000.000000,-128174000000.000000,-168772000000.000000,-254557000000.000000,57115000000.000000,-197442000000.000000,-12883000000.000000,-210325000000.000000,-197442000000.000000,-197442000000.000000,,-197442000000.000000,-210325000000.000000,-210325000000.000000,,-210325000000.000000
12M 2017,2655673000000.000000,-2425658000000.000000,230015000000.000000,-130661000000.000000,-62833000000.000000,-67828000000.000000,,-130661000000.000000,99354000000.000000,-276577000000.000000,-185877000000.000000,-66583000000.000000,-24117000000.000000,-276577000000.000000,-177223000000.000000,-112114000000.000000,-289337000000.000000,-70484000000.000000,-359821000000.000000,-289337000000.000000,-289337000000.000000,,-289337000000.000000,-359821000000.000000,-359821000000.000000,,-359821000000.000000
12M 2018,2583238000000.000000,-2425281000000.000000,157957000000.000000,-128936000000.000000,-59640000000.000000,-69296000000.000000,,-128936000000.000000,29021000000.000000,-327410000000.000000,-198604000000.000000,-113498000000.000000,-15308000000.000000,-327410000000.000000,-298389000000.000000,70275000000.000000,-228114000000.000000,96960000000.000000,-131154000000.000000,-228114000000.000000,-228114000000.000000,,-228114000000.000000,-131154000000.000000,-131154000000.000000,,-131154000000.000000
12M 2019,2452679000000.000000,-2326699000000.000000,125980000000.000000,-97459000000.000000,-46589000000.000000,-50870000000.000000,,-97459000000.000000,28521000000.000000,-150200000000.000000,-157871000000.000000,26064000000.000000,-18393000000.000000,-150200000000.000000,-121679000000.000000,46356000000.000000,-75323000000.000000,-128000000.000000,-75451000000.000000,-75323000000.000000,-75323000000.000000,,-75323000000.000000,-75451000000.000000,-75451000000.000000,,-75451000000.000000
12M 2020,2015371000000.000000,-1935457000000.000000,79914000000.000000,-89262000000.000000,-42672000000.000000,-46590000000.000000,,-89262000000.000000,-9348000000.000000,-210129000000.000000,-83353000000.000000,-34899000000.000000,-91877000000.000000,-210129000000.000000,-219477000000.000000,18859000000.000000,-200618000000.000000,12235000000.000000,-188383000000.000000,-200618000000.000000,-200088000000.000000,-530000000.000000,-200618000000.000000,-188383000000.000000,-188844000000.000000,461000000.000000,-188383000000.000000
12M 2021,1460559000000.000000,-1441139000000.000000,19420000000.000000,-66884000000.000000,-25672000000.000000,-41212000000.000000,,-66884000000.000000,-47464000000.000000,-184456000000.000000,-64416000000.000000,-8719000000.000000,-111321000000.000000,-184456000000.000000,-231920000000.000000,50272000000.000000,-181648000000.000000,2689000000.000000,-178959000000.000000,-181648000000.000000,-181852000000.000000,204000000.000000,-181648000000.000000,-178959000000.000000,-179381000000.000000,422000000.000000,-178959000000.000000
12M 2022,1114894000000.000000,-1242151000000.000000,-127257000000.000000,-54786000000.000000,-16718000000.000000,-38068000000.000000,,-54786000000.000000,-182043000000.000000,-129448000000.000000,-47293000000.000000,-31600000000.000000,-50555000000.000000,-129448000000.000000,-311491000000.000000,66101000000.000000,-245390000000.000000,384000000.000000,-245006000000.000000,-245390000000.000000,-244693000000.000000,-697000000.000000,-245390000000.000000,-245006000000.000000,-244340000000.000000,-666000000.000000,-245006000000.000000
12M 2023,741049000000.000000,-922421000000.000000,-181372000000.000000,-32841000000.000000,-420000000.000000,-32421000000.000000,,-32841000000.000000,-214213000000.000000,-105058000000.000000,-48148000000.000000,-2222000000.000000,-54688000000.000000,-105058000000.000000,-319271000000.000000,44444000000.000000,-274827000000.000000,852000000.000000,-273975000000.000000,-274827000000.000000,-274827000000.000000,,-274827000000.000000,-273975000000.000000,-274044000000.000000,69000000.000000,-273975000000.000000
12M 2024,703780000000.000000,-737720000000.000000,-33940000000.000000,-36460000000.000000,,-36460000000.000000,,-36460000000.000000,-70400000000.000000,-66881000000.000000,-22008000000.000000,-11491000000.000000,-33382000000.000000,-66881000000.000000,-137281000000.000000,20560000000.000000,-116721000000.000000,-5808000000.000000,-122529000000.000000,-116721000000.000000,-116721000000.000000,,-116721000000.000000,-122529000000.000000,-122529000000.000000,,-122529000000.000000
