Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Dari Pihak Berelasi,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Senior Notes,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Pihak Berelasi,Pihak Ketiga,Total Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2011,,,34810000000.000000,235269000000.000000,,,235269000000.000000,27738000000.000000,,,27738000000.000000,145865000000.000000,122254000000.000000,565936000000.000000,,71398000000.000000,1825821000000.000000,,,984508000000.000000,2881727000000.000000,3447663000000.000000,,,923966000000.000000,68136000000.000000,,53525000000.000000,385425000000.000000,438950000000.000000,35825000000.000000,,,35825000000.000000,164069000000.000000,36593000000.000000,123833000000.000000,,7372000000.000000,1980000000.000000,,,1980000000.000000,9352000000.000000,47208000000.000000,923966000000.000000,1565466000000.000000,1447957000000.000000,92433000000.000000,,,1410000000.000000,,,1410000000.000000,1410000000.000000,23666000000.000000,1565466000000.000000,2489432000000.000000,,621622000000.000000,13942000000.000000,322667000000.000000,,322667000000.000000,322667000000.000000,,,958231000000.000000,3447663000000.000000,6216220000.000000
12M 2012,,,36002000000.000000,301335000000.000000,,,301335000000.000000,25341000000.000000,,,25341000000.000000,477393000000.000000,412710000000.000000,1252781000000.000000,,95289000000.000000,2466727000000.000000,,,1124628000000.000000,3686644000000.000000,4939425000000.000000,,,1040628000000.000000,38043000000.000000,,61829000000.000000,704283000000.000000,766112000000.000000,39568000000.000000,,,39568000000.000000,27383000000.000000,10576000000.000000,110780000000.000000,,,2450000000.000000,,,2450000000.000000,2450000000.000000,45716000000.000000,1040628000000.000000,1637889000000.000000,1505896000000.000000,98723000000.000000,,,2824000000.000000,,,2824000000.000000,2824000000.000000,30446000000.000000,1637889000000.000000,2678517000000.000000,,706389000000.000000,1150003000000.000000,404516000000.000000,100000000.000000,404416000000.000000,404516000000.000000,,,2260908000000.000000,4939425000000.000000,7063886000.000000
12M 2013,,,513262000000.000000,366234000000.000000,,,366234000000.000000,25759000000.000000,,,25759000000.000000,440030000000.000000,122870000000.000000,1468155000000.000000,,20070000000.000000,3055488000000.000000,43144000000.000000,,1349171000000.000000,4467873000000.000000,5936028000000.000000,,,1305969000000.000000,10000000000.000000,,103878000000.000000,836114000000.000000,939992000000.000000,,1104000000.000000,54308000000.000000,55412000000.000000,,76582000000.000000,117515000000.000000,,,,2198000000.000000,846000000.000000,3044000000.000000,3044000000.000000,103424000000.000000,1305969000000.000000,2884386000000.000000,,,,2842897000000.000000,,2984000000.000000,274000000.000000,3258000000.000000,2846155000000.000000,38231000000.000000,2884386000000.000000,4190355000000.000000,,706389000000.000000,1150003000000.000000,-110719000000.000000,200000000.000000,-110919000000.000000,-110719000000.000000,,,1745673000000.000000,5936028000000.000000,7063886000.000000
12M 2014,,,65839000000.000000,455869000000.000000,,,455869000000.000000,6473000000.000000,,,6473000000.000000,401662000000.000000,122728000000.000000,1052571000000.000000,,14695000000.000000,3345741000000.000000,78237000000.000000,,1384143000000.000000,4822816000000.000000,5875387000000.000000,,,1295950000000.000000,109575000000.000000,,211886000000.000000,643953000000.000000,855839000000.000000,,7206000000.000000,56731000000.000000,63937000000.000000,,10948000000.000000,106066000000.000000,,,,3207000000.000000,274000000.000000,3481000000.000000,3481000000.000000,146104000000.000000,1295950000000.000000,2988496000000.000000,,,,2942718000000.000000,,2108000000.000000,,2108000000.000000,2944826000000.000000,43670000000.000000,2988496000000.000000,4284446000000.000000,,706389000000.000000,1150003000000.000000,-265451000000.000000,200000000.000000,-265651000000.000000,-265451000000.000000,,,1590941000000.000000,5875387000000.000000,7063886000.000000
12M 2015,,,46514000000.000000,483714000000.000000,1324000000.000000,482390000000.000000,483714000000.000000,19656000000.000000,,,19656000000.000000,311546000000.000000,132126000000.000000,993556000000.000000,,2490000000.000000,4047623000000.000000,122850000000.000000,,1402374000000.000000,5575337000000.000000,6568893000000.000000,,,5140769000000.000000,110360000000.000000,,126722000000.000000,880843000000.000000,1007565000000.000000,,337735000000.000000,82376000000.000000,420111000000.000000,,60026000000.000000,67752000000.000000,,3336601000000.000000,,3451000000.000000,,3451000000.000000,3340052000000.000000,134903000000.000000,5140769000000.000000,39468000000.000000,,,,,,3632000000.000000,,3632000000.000000,3632000000.000000,35836000000.000000,39468000000.000000,5180237000000.000000,,706389000000.000000,1150003000000.000000,-1037958000000.000000,200000000.000000,-1038158000000.000000,-1037958000000.000000,,570222000000.000000,1388656000000.000000,6568893000000.000000,7063886000.000000
12M 2016,,,79080000000.000000,327973000000.000000,5473000000.000000,322500000000.000000,327973000000.000000,14494000000.000000,,,14494000000.000000,227233000000.000000,103610000000.000000,752390000000.000000,,58456000000.000000,3966308000000.000000,181579000000.000000,,389791000000.000000,4596134000000.000000,5348524000000.000000,,,1233468000000.000000,87334000000.000000,,127521000000.000000,622747000000.000000,750268000000.000000,,7782000000.000000,71720000000.000000,79502000000.000000,,11513000000.000000,105610000000.000000,,134146000000.000000,,4235000000.000000,,4235000000.000000,138381000000.000000,60860000000.000000,1233468000000.000000,2845665000000.000000,,103000000.000000,,2073543000000.000000,,2539000000.000000,,2539000000.000000,2076082000000.000000,769480000000.000000,2845665000000.000000,4079133000000.000000,,777027000000.000000,1178653000000.000000,-1243637000000.000000,200000000.000000,-1243837000000.000000,-1243637000000.000000,1000000.000000,557347000000.000000,1269391000000.000000,5348524000000.000000,7770274600.000000
12M 2017,,,39535000000.000000,330318000000.000000,9991000000.000000,320327000000.000000,330318000000.000000,7457000000.000000,,,7457000000.000000,198487000000.000000,124578000000.000000,700375000000.000000,,43514000000.000000,3782705000000.000000,69311000000.000000,,351483000000.000000,4247013000000.000000,4947388000000.000000,,,1121544000000.000000,320358000000.000000,,28198000000.000000,97364000000.000000,125562000000.000000,,155000000.000000,17757000000.000000,17912000000.000000,,14767000000.000000,36878000000.000000,,592159000000.000000,,2581000000.000000,,2581000000.000000,594740000000.000000,11327000000.000000,1121544000000.000000,1623054000000.000000,,,,1559210000000.000000,,1072000000.000000,,1072000000.000000,1560282000000.000000,62772000000.000000,1623054000000.000000,2744598000000.000000,,906532000000.000000,2342368000000.000000,-1532974000000.000000,200000000.000000,-1533174000000.000000,-1532974000000.000000,1000000.000000,486863000000.000000,2202790000000.000000,4947388000000.000000,9065320366.000000
12M 2018,,,68349000000.000000,334095000000.000000,8043000000.000000,326052000000.000000,334095000000.000000,8467000000.000000,,,8467000000.000000,191246000000.000000,104015000000.000000,706172000000.000000,,34051000000.000000,3804212000000.000000,135147000000.000000,,213828000000.000000,4187238000000.000000,4893410000000.000000,,,2490767000000.000000,333219000000.000000,,161265000000.000000,187226000000.000000,348491000000.000000,,6693000000.000000,6960000000.000000,13653000000.000000,,29720000000.000000,32988000000.000000,,1718606000000.000000,,2153000000.000000,,2153000000.000000,1720759000000.000000,11937000000.000000,2490767000000.000000,331007000000.000000,,,,,,7666000000.000000,,7666000000.000000,7666000000.000000,323341000000.000000,331007000000.000000,2821774000000.000000,,906532000000.000000,2342368000000.000000,-1761088000000.000000,200000000.000000,-1761288000000.000000,-1761088000000.000000,1000000.000000,583823000000.000000,2071636000000.000000,4893410000000.000000,9065320366.000000
12M 2019,,,70769000000.000000,312569000000.000000,3727000000.000000,308842000000.000000,312569000000.000000,15610000000.000000,,,15610000000.000000,135146000000.000000,132592000000.000000,666686000000.000000,,27022000000.000000,3341350000000.000000,181999000000.000000,,142578000000.000000,3692949000000.000000,4359635000000.000000,,,711372000000.000000,21891000000.000000,,113701000000.000000,242810000000.000000,356511000000.000000,,7455000000.000000,5837000000.000000,13292000000.000000,,37035000000.000000,44955000000.000000,,224692000000.000000,,1699000000.000000,,1699000000.000000,226391000000.000000,11297000000.000000,711372000000.000000,804858000000.000000,,,,525086000000.000000,,6749000000.000000,,6749000000.000000,531835000000.000000,273023000000.000000,804858000000.000000,1516230000000.000000,,997185000000.000000,3098935000000.000000,-1836411000000.000000,200000000.000000,-1836611000000.000000,-1836411000000.000000,1000000.000000,583695000000.000000,2843405000000.000000,4359635000000.000000,9971852402.000000
12M 2020,,,56433000000.000000,453725000000.000000,6604000000.000000,447121000000.000000,453725000000.000000,81893000000.000000,60548000000.000000,21345000000.000000,81893000000.000000,288257000000.000000,220538000000.000000,1100846000000.000000,,,3148406000000.000000,201334000000.000000,7534000000.000000,136006000000.000000,3493280000000.000000,4594126000000.000000,,,886784000000.000000,,,216251000000.000000,316386000000.000000,532637000000.000000,,13378000000.000000,12633000000.000000,26011000000.000000,,35220000000.000000,54002000000.000000,,227809000000.000000,,1582000000.000000,,1582000000.000000,229391000000.000000,9523000000.000000,886784000000.000000,1049733000000.000000,,203000000.000000,,348555000000.000000,,5167000000.000000,,5167000000.000000,353722000000.000000,695808000000.000000,1049733000000.000000,1936517000000.000000,,997185000000.000000,3098935000000.000000,-2037029000000.000000,200000000.000000,-2037229000000.000000,-2037029000000.000000,2588000000.000000,595930000000.000000,2657609000000.000000,4594126000000.000000,9971852402.000000
