Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Kepada Pemasok Dan Lainnya,Penerimaan Restitusi Pajak Penghasilan,Pembayaran Pajak Penghasilan,Pembayaran Bunga Dan Biaya Bank,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pencairan Aset Keuangan Lainnya,Penurunan Piutang Dari Pihak Berelasi - Non Usaha,Penerimaan Bunga,Hasil Penjualan Aset Tetap,"Perolehan Dekoder, Antena Dan Kartu Tayang",Perolehan Aset Tetap,Uang Muka Untuk Perolehan Aset Tetap,Penempatan Aset Keuangan Lainnya,Pembayaran Bunga,Kenaikan Piutang Dari Pihak Berelasi - Non Usaha,Penerimaan (Pembayaran) Piutang Pihak Berelasi,Penarikan Pada Rekening Yang Dibatasi Penggunaannya,Penempatan Pada Rekening Yang Dibatasi Penggunaannya,Pembayaran Biaya Dibayar Dimuka Jangka Panjang,Penempatan Uang Jaminan,Penerimaan Uang Muka Setoran Modal,Penempatan Pada Reksadana,Penurunan (Kenaikan) Aset Tidak Berwujud,Kenaikan Aset Lainnya Dan Uang Muka,Akuisisi Entitas Anak,Penerimaan Kas Dari Akuisisi Atas Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Hasil Penawaran Umum,Penerimaan Dari Utang Bank,Kenaikan Utang Lain-Lain Kepada Pihak Berelasi,Penurunan Utang Lain-Lain Kepada Pihak Berelasi,Penerimaan (Pembayaran) Utang Pihak Berelasi,Pembayaran Utang Bank,Pembayaran Bunga,Pembayaran Biaya Emisi Saham,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang,Pembayaran Biaya Transaksi Atas Penerimaan Utang Bank Jangka Panjang,Pelunasan Obligasi Yang Dijaminkan Dan Bersifat Senior,Pembayaran Dividen,Penambahan Setoran Modal,Penerimaan Uang Muka Setoran Modal,Pembayaran Sewa Guna Usaha,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Tahun,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Tahun
12M 2011,611642000000.000000,1639920000000.000000,-240826000000.000000,-700584000000.000000,,-64788000000.000000,-22080000000.000000,611642000000.000000,-640433000000.000000,,91436000000.000000,1601000000.000000,70000000.000000,,-537664000000.000000,,,-101263000000.000000,-94613000000.000000,,,,,,,,,,,,-640433000000.000000,47240000000.000000,,397841000000.000000,90448000000.000000,-13234000000.000000,,-359279000000.000000,-66127000000.000000,,,,,,,,,-2409000000.000000,47240000000.000000,18449000000.000000,16361000000.000000,,34810000000.000000
12M 2012,584973000000.000000,2326034000000.000000,-353232000000.000000,-1334466000000.000000,,-32108000000.000000,-21255000000.000000,584973000000.000000,-1470503000000.000000,435000000000.000000,8462000000.000000,1654000000.000000,1578000000.000000,,-1074742000000.000000,,-695491000000.000000,-102375000000.000000,-44589000000.000000,,,,,,,,,,,,-1470503000000.000000,886722000000.000000,1240434000000.000000,95631000000.000000,25735000000.000000,-266257000000.000000,,-126797000000.000000,-66852000000.000000,-11270000000.000000,,,,,,,,-3902000000.000000,886722000000.000000,1192000000.000000,34810000000.000000,,36002000000.000000
12M 2013,991777000000.000000,3004601000000.000000,-454367000000.000000,-1469257000000.000000,,-65274000000.000000,-23926000000.000000,991777000000.000000,-1122012000000.000000,224961000000.000000,18209000000.000000,1790000000.000000,461000000.000000,,-1230675000000.000000,-28321000000.000000,,-123197000000.000000,-17597000000.000000,,127206000000.000000,-32145000000.000000,-62704000000.000000,,,,,,,,-1122012000000.000000,604324000000.000000,,129268000000.000000,3972000000.000000,-3324000000.000000,,-180813000000.000000,-80449000000.000000,,2943445000000.000000,,-120243000000.000000,-2056111000000.000000,-25305000000.000000,,,-6116000000.000000,604324000000.000000,474089000000.000000,36002000000.000000,3171000000.000000,513262000000.000000
12M 2014,822501000000.000000,3223929000000.000000,-464943000000.000000,-1921973000000.000000,,-12458000000.000000,-2054000000.000000,822501000000.000000,-1168059000000.000000,,4980000000.000000,8284000000.000000,620000000.000000,,-1132960000000.000000,-36521000000.000000,,,-10891000000.000000,,,-1571000000.000000,,,,,,,,,-1168059000000.000000,-102910000000.000000,,125917000000.000000,22003000000.000000,-82260000000.000000,,-27387000000.000000,-133768000000.000000,,,,,,-2950000000.000000,,,-4465000000.000000,-102910000000.000000,-448468000000.000000,513262000000.000000,1045000000.000000,65839000000.000000
12M 2015,1026339000000.000000,3190080000000.000000,-515859000000.000000,-1640980000000.000000,12921000000.000000,-13824000000.000000,-5999000000.000000,1026339000000.000000,-1138112000000.000000,,1785000000.000000,2235000000.000000,4322000000.000000,,-1066234000000.000000,,-80115000000.000000,,-5000000.000000,,,,,-100000000.000000,,,,,,,-1138112000000.000000,94313000000.000000,,171020000000.000000,330703000000.000000,-95084000000.000000,,-170235000000.000000,-158053000000.000000,,25000000000.000000,-1488000000.000000,-255000000.000000,,,,,-7295000000.000000,94313000000.000000,-17460000000.000000,65839000000.000000,-1865000000.000000,46514000000.000000
12M 2016,1138712000000.000000,3064625000000.000000,-546402000000.000000,-1368414000000.000000,12788000000.000000,-4123000000.000000,-19762000000.000000,1138712000000.000000,-651486000000.000000,,23872000000.000000,2673000000.000000,1861000000.000000,,-676992000000.000000,-3000000000.000000,,,,,,,,100000000.000000,,,,,,,-651486000000.000000,-455641000000.000000,,193204000000.000000,2310000000.000000,-428242000000.000000,,-216230000000.000000,-174998000000.000000,,2284120000000.000000,-3355757000000.000000,-98858000000.000000,,,789226000000.000000,555816000000.000000,-6232000000.000000,-455641000000.000000,31585000000.000000,47097000000.000000,398000000.000000,79080000000.000000
12M 2017,671427000000.000000,2610836000000.000000,-491714000000.000000,-1421385000000.000000,,-9797000000.000000,-16513000000.000000,671427000000.000000,-656819000000.000000,114000000.000000,14942000000.000000,4670000000.000000,4386000000.000000,,-652731000000.000000,-28200000000.000000,,,,,,,,,,,,,,,-656819000000.000000,-54137000000.000000,,,,-294614000000.000000,,-19731000000.000000,-141766000000.000000,,,-166272000000.000000,,,,1291184000000.000000,-719816000000.000000,-3122000000.000000,-54137000000.000000,-39529000000.000000,79080000000.000000,-16000000.000000,39535000000.000000
12M 2018,852943000000.000000,2579060000000.000000,-495167000000.000000,-1217333000000.000000,,-3718000000.000000,-9899000000.000000,852943000000.000000,-700665000000.000000,,9464000000.000000,1911000000.000000,3792000000.000000,,-745832000000.000000,30000000000.000000,,,,,,,,,,,,,,,-700665000000.000000,-123660000000.000000,,,,-17120000000.000000,,360344000000.000000,-159168000000.000000,,,-581832000000.000000,,,,,267950000000.000000,6166000000.000000,-123660000000.000000,28618000000.000000,39535000000.000000,196000000.000000,68349000000.000000
12M 2019,954376000000.000000,2466422000000.000000,-464095000000.000000,-1036882000000.000000,,-8364000000.000000,-2705000000.000000,954376000000.000000,-363749000000.000000,,7030000000.000000,941000000.000000,1213000000.000000,,-372933000000.000000,,,,,,,,,,,,,,,,-363749000000.000000,-588494000000.000000,,,,-46802000000.000000,,-307771000000.000000,-140992000000.000000,,,-879535000000.000000,,,,847220000000.000000,-57680000000.000000,-2934000000.000000,-588494000000.000000,2133000000.000000,68349000000.000000,287000000.000000,70769000000.000000
12M 2020,622977000000.000000,1883647000000.000000,-445462000000.000000,-795911000000.000000,,-18250000000.000000,-1047000000.000000,622977000000.000000,-723375000000.000000,,-36403000000.000000,598000000.000000,388000000.000000,,-510640000000.000000,,,,,,,,,,,,-40745000000.000000,-134838000000.000000,-2500000000.000000,765000000.000000,-723375000000.000000,85291000000.000000,,,,-37366000000.000000,,-22354000000.000000,-64647000000.000000,,,-217082000000.000000,,,,,428439000000.000000,-1699000000.000000,85291000000.000000,-15107000000.000000,70769000000.000000,771000000.000000,56433000000.000000
