Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2021,129960253456.000000,-69039989109.000000,60920264347.000000,-44613957093.000000,-17437380228.000000,-27176576865.000000,,-44613957093.000000,16306307254.000000,-13623838052.000000,63254980.000000,-906657403.000000,-112308308.000000,-12668127321.000000,-13623838052.000000,2682469202.000000,-2374215845.000000,-3251044322.000000,876828477.000000,-2374215845.000000,308253357.000000,-8870243.000000,299383114.000000,308253357.000000,308253357.000000,,308253357.000000,299383114.000000,299383114.000000,,299383114.000000
12M 2022,93291941130.000000,-54229702352.000000,39062238778.000000,-36178410364.000000,-19152527405.000000,-17025882959.000000,,-36178410364.000000,2883828414.000000,1643755341.000000,23738592.000000,-1203470857.000000,-1554328019.000000,4377815625.000000,1643755341.000000,4527583755.000000,-1693419922.000000,-2285845100.000000,592425178.000000,-1693419922.000000,2834163833.000000,-1154430.000000,2833009403.000000,2834163833.000000,2834164463.000000,-630.000000,2834163833.000000,2833009403.000000,2833009403.000000,,2833009403.000000
12M 2023,136699123757.000000,-80634876288.000000,56064247469.000000,-49260635593.000000,-22504939353.000000,-26755696240.000000,,-49260635593.000000,6803611876.000000,-572696509.000000,1953671.000000,501876086.000000,-2153249822.000000,1076723556.000000,-572696509.000000,6230915367.000000,-4041400464.000000,-3532547260.000000,-508853204.000000,-4041400464.000000,2189514903.000000,-300080394.000000,1889434509.000000,2189514903.000000,2189532265.000000,-17362.000000,2189514903.000000,1889434509.000000,1889434509.000000,,1889434509.000000
12M 2024,147637344655.000000,-90208739270.000000,57428605385.000000,-47675120158.000000,-24826544123.000000,-22848576035.000000,,-47675120158.000000,9753485227.000000,-4463970576.000000,212163768.000000,-1289427679.000000,-3040734717.000000,-345971948.000000,-4463970576.000000,5289514651.000000,-2337220098.000000,-2535139444.000000,197919346.000000,-2337220098.000000,2952294553.000000,121840824.000000,3074135377.000000,2952294553.000000,2952279209.000000,15344.000000,2952294553.000000,3074135377.000000,3074120049.000000,15328.000000,3074135377.000000
