Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pembayaran Untuk Beban Usaha,Pembayaran Operasional Lainnya,Penerimaan Pendapatan Bunga,Pembayaran Untuk Biaya Keuangan,Penerimaan Dari Penghasilan Keuangan,Penerimaan Tagihan Pajak Penghasilan,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Perolehan Aset Tetap,Pelepasan Penyertaan Pada Entitas Asosiasi,Penyertaan Pada Entitas Asosiasi,Perolehan Aset Takberwujud,Penerimaan Pembayaran Atas Pemberian Pinjaman Kepada Pihak Berelasi,Perolehan Aset Hak Guna,Penjualan Aset Tetap,Perolehan Beban Ditangguhkan,Penempatan Investasi Jangka Panjang,Peningkatan Aset Keuangan Lancar Lainnya,Pemberian Pinjaman Kepada Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Utang Bank Jangka Pendek,Penerimaan Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Kepada Pihak Berelasi,Penerimaan Utang Pembelian Aset Tetap,Pembayaran Utang Pembelian Aset Tetap,Penerimaan Liabilitas Sewa,Pembayaran Utang Kepada Pihak Ketiga,Pembayaran Utang Kepada Pihak Berelasi,Penerimaan Utang Dari Pihak Ketiga,Penerimaan Utang Dari Pihak Berelasi,Pembayaran Dividen Kas,Pembayaran Liabilitas Sewa,Penerimaan Uang Muka Setoran Modal,Penambahan Modal Disetor,Penerbitan Modal Saham,Pembayaran Biaya Emisi Saham,Penerimaan Hasil Penerbitan Saham Pada Penawaran Umum Perdana Saham,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kenaikan (Penurunan) Utang Bank Jangka Pendek - Kredit Rekening Koran,Kas Dan Bank Entitas Anak Yang Didekonsolidasi,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2021,-20630653844.000000,167142667264.000000,-129844057005.000000,-9136427068.000000,-27236080503.000000,-13088516851.000000,63254980.000000,-112308308.000000,,,-8419186353.000000,-20630653844.000000,-10393788219.000000,-11710173312.000000,,,,,,1316385093.000000,,,,,-10393788219.000000,33664610023.000000,,,,,,,,,,,,9030973443.000000,24937251408.000000,,-303614828.000000,,,,,,33664610023.000000,2640167960.000000,,,8957602791.000000,11597770751.000000
12M 2022,-15046759588.000000,74624119005.000000,-57301560232.000000,-11636235632.000000,-14326957655.000000,-390111282.000000,23738592.000000,-1554328019.000000,,,-4485424365.000000,-15046759588.000000,-5043764814.000000,-3280361454.000000,,-2400000000.000000,,,-612703074.000000,5147357629.000000,-3898057915.000000,,,,-5043764814.000000,9320279818.000000,,18562783624.000000,,,,,,,,-25446878857.000000,-18640667890.000000,,,,-559861059.000000,,,35404904000.000000,,,9320279818.000000,-10770244584.000000,,,11597770751.000000,827526167.000000
12M 2023,-14827694584.000000,127356104862.000000,-104423953879.000000,-14783760997.000000,-17515287099.000000,3756850953.000000,1953671.000000,-2153249822.000000,,,-7066352273.000000,-14827694584.000000,-21620755663.000000,-19405074047.000000,4404323350.000000,,-6147183497.000000,,-713055703.000000,240234234.000000,,,,,-21620755663.000000,39237804163.000000,,2759099207.000000,,,,,,,,,,,18863078240.000000,,-547469284.000000,18163096000.000000,,,,,39237804163.000000,2789353916.000000,,,827526167.000000,3616880083.000000
12M 2024,-13680346916.000000,154226387968.000000,-118779554146.000000,-16769993119.000000,-18359116045.000000,-1392312972.000000,212163768.000000,-3040734717.000000,,,-9777187653.000000,-13680346916.000000,-6854926728.000000,-6809422552.000000,,,-438346462.000000,,,392842286.000000,,,,,-6854926728.000000,59472035135.000000,,2650686472.000000,,,,,,,,,-10754132384.000000,,,,-581827420.000000,,,71400000000.000000,-3242691533.000000,,59472035135.000000,38936761491.000000,,,3616880083.000000,42553641574.000000
