Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Total Piutang Lain-Lain,Aset Tetap,Investasi Pada Entitas Asosiasi,Investasi Jangka Panjang,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Bank,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2021,,,11597770751.000000,,7437817257.000000,,7437817257.000000,7437817257.000000,,,,,30497651493.000000,9330897108.000000,58864136609.000000,,,,,30781451309.000000,2430000000.000000,,2565089273.000000,352835524.000000,36129376106.000000,94993512715.000000,,,83819974968.000000,,5391087381.000000,26630691348.000000,32021778729.000000,,7141046614.000000,1446878858.000000,8587925472.000000,3614183487.000000,512095735.000000,,,373552016.000000,,284814529.000000,658366545.000000,38425625000.000000,83819974968.000000,1941514879.000000,,1000000000.000000,1000000000.000000,,415931273.000000,,,415931273.000000,,525583606.000000,1941514879.000000,85761489847.000000,,11432000000.000000,,-2755143774.000000,,-2755143774.000000,-2755143774.000000,,555166642.000000,9232022868.000000,94993512715.000000,1000.000000
12M 2022,,,827526167.000000,,17015173418.000000,789937271.000000,16225236147.000000,17015173418.000000,,,,,35300080110.000000,6531489774.000000,59674269469.000000,,9184621276.000000,,9184621276.000000,24825186300.000000,5952032075.000000,,3157840060.000000,5936527085.000000,49056206796.000000,108730476265.000000,,,60482080236.000000,,8149227077.000000,26891378255.000000,35040605332.000000,,3429000000.000000,,3429000000.000000,905871601.000000,1282593227.000000,18562783624.000000,,487907386.000000,,182160031.000000,670067417.000000,591159035.000000,60482080236.000000,777459758.000000,,,,,297198444.000000,,,297198444.000000,,480261314.000000,777459758.000000,61259539994.000000,,46836904000.000000,,79020689.000000,,79020689.000000,79020689.000000,999370.000000,554012212.000000,47470936271.000000,108730476265.000000,4097.000000
12M 2023,,,3616880083.000000,,33326247434.000000,22330650.000000,33303916784.000000,33326247434.000000,,,,,55391701471.000000,18560930859.000000,110895759847.000000,,,,,35549810324.000000,,,2733624916.000000,11108037161.000000,49391472401.000000,160287232248.000000,,,90178992546.000000,,1225454373.000000,37248380835.000000,38473835208.000000,,435000000.000000,,435000000.000000,1127577034.000000,2900757469.000000,21321882831.000000,,368191317.000000,,229438530.000000,597629847.000000,25322310157.000000,90178992546.000000,20748138923.000000,,18863078240.000000,18863078240.000000,,296405229.000000,,342520450.000000,638925679.000000,,1246135004.000000,20748138923.000000,110927131469.000000,,46836904000.000000,,2269182324.000000,200000000.000000,2069182324.000000,2269182324.000000,82638.000000,253931818.000000,49360100780.000000,160287232249.000000,3950000000.000000
12M 2024,,,42553641574.000000,,19584957553.000000,129530972.000000,19455426581.000000,19584957553.000000,,,,,71852237955.000000,25054370584.000000,159045207666.000000,,337522420.000000,,337522420.000000,33134725636.000000,,,2897178901.000000,8184687388.000000,44554114345.000000,203599322011.000000,,,52623349270.000000,,43893597.000000,26419326108.000000,26463219705.000000,,,,,312000702.000000,586483989.000000,23972569303.000000,,1029397320.000000,,252710663.000000,1282107983.000000,6967588.000000,52623349270.000000,12221332117.000000,,8881468277.000000,8881468277.000000,,1715201131.000000,,89809787.000000,1805010918.000000,,1534852922.000000,12221332117.000000,64844681387.000000,,79000000000.000000,54157308467.000000,5221461533.000000,400000000.000000,4821461533.000000,5221461533.000000,97997.000000,375772627.000000,138754640624.000000,203599322011.000000,3950000000.000000
