Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,6.04,308.06,6.04,308.06,517 B,"13,921 B","14,438 B","10,939 B","1,899 B"
12M 2009,8.06,483.97,8.06,483.97,"1,112 B","11,780 B","12,892 B","6,298 B","5,534 B"
12M 2010,7.73,572.10,7.73,572.10,"2,045 B","12,439 B","14,484 B","3,418 B","9,823 B"
12M 2011,4.86,653.41,4.86,653.41,891 B,"10,630 B","11,521 B","1,165 B","11,173 B"
12M 2012,5.25,876.53,5.25,875.37,954 B,"8,965 B","9,919 B","(5,238 B)","14,612 B"
12M 2013,3.49,1280.81,3.53,1267.88,"5,050 B","7,610 B","12,660 B","(3,431 B)","10,914 B"
12M 2014,4.22,1420.19,4.30,1394.04,"1,084 B","22,597 B","23,681 B","8,552 B","9,582 B"
12M 2015,1.60,1718.78,1.60,1716.59,"1,678 B","35,846 B","37,524 B","21,860 B","14,557 B"
12M 2016,1.54,1753.21,1.54,1750.64,"3,641 B","35,478 B","39,119 B","21,597 B","17,592 B"
12M 2017,0.99,1770.60,0.99,1768.24,310 B,"32,173 B","32,483 B","18,578 B","18,173 B"
12M 2018,1.38,1537.94,1.38,1535.22,"11,123 B","39,997 B","51,120 B","32,074 B","12,585 B"
12M 2019,1.48,1468.50,1.48,1466.30,"3,077 B","35,581 B","38,659 B","24,196 B","15,085 B"
12M 2020,1.27,1299.36,1.28,1297.43,"1,429 B","34,671 B","36,100 B","19,469 B","11,603 B"
12M 2021,0.92,1487.41,0.93,1485.91,265 B,"34,579 B","34,843 B","13,379 B","18,708 B"
12M 2022,1.04,1694.30,1.04,1692.73,261 B,"32,765 B","33,026 B","10,454 B","19,019 B"
12M 2023,0.66,1718.85,0.66,1717.27,"9,185 B","14,139 B","23,324 B","4,107 B","6,639 B"
12M 2024,0.84,1883.56,0.84,1882.08,"2,786 B","17,087 B","19,873 B","(2,475 B)","13,773 B"
