Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Sewa Pembiayaan,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Usaha,Piutang Lain-Lain,Piutang Sewa Pembiayaan,Aset Tetap,Aset Minyak Dan Gas Bumi,Aset Pajak Tangguhan,Aset Eksplorasi Dan Evaluasi,Goodwill,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Beban Akrual,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Derivatif,Utang Obligasi,Utang Sewa Pembiayaan,Utang Pajak,Others,Total Utang Pajak,Utang Surat Promes,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Pemegang Saham,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Utang Lain-Lain,Liabilitas Derivatif,Utang Sewa Pembiayaan,Utang Pajak,Utang Bank Jangka Panjang,Guaranteed Notes,Utang Pemegang Saham,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Panjang,Utang Obligasi,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain Jangka Panjang,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,3499801390503.000000,,1588974619313.000000,,,1588974619313.000000,,21046986465.000000,,,21046986465.000000,14521800031.000000,72312730973.000000,5196657527285.000000,,,,,17613478595741.000000,,89601092410.000000,,,2650843226203.000000,20353922914354.000000,25550580441639.000000,,,3297977346109.000000,,698965686039.000000,,,698965686039.000000,1345645765040.000000,588887769330.000000,,,588887769330.000000,5127085431.000000,,,147263925955.000000,,147263925955.000000,,,354407114314.000000,157680000000.000000,,512087114314.000000,,3297977346109.000000,14210682121368.000000,28520157424.000000,,1049138602385.000000,,,9297771420658.000000,2965845269423.000000,608523811151.000000,,,,,,260882860327.000000,14210682121368.000000,17508659467477.000000,,2296718596500.000000,1809063250664.000000,2796960587941.000000,2679868791329.000000,117091796612.000000,2796960587941.000000,966663804736.000000,172514734321.000000,8041920974162.000000,25550580441639.000000,22967185965.000000
12M 2009,,,6593237069338.000000,,1650388514530.000000,,,1650388514530.000000,,60811440659.000000,,,60811440659.000000,14120479466.000000,944843490481.000000,9263400994474.000000,,,,,17329189330120.000000,,112265592367.000000,,,1965583875039.000000,19407038797526.000000,28670439792000.000000,,,3729795011315.000000,225600000000.000000,828310747572.000000,,,828310747572.000000,821306134671.000000,259933712204.000000,,,259933712204.000000,,,,708494870137.000000,,708494870137.000000,,,769589546731.000000,116560000000.000000,,886149546731.000000,,3729795011315.000000,12162831372302.000000,56091570036.000000,,1174924527400.000000,,,9971716709888.000000,,633313721692.000000,,,,,,326784843286.000000,12162831372302.000000,15892626383617.000000,,2424150819600.000000,1709790833464.000000,8022834786260.000000,2427650973042.000000,5595183813218.000000,8022834786260.000000,1045733018130.000000,-424696049071.000000,12777813408383.000000,28670439792000.000000,24241508196.000000
12M 2010,,,11065594698455.000000,,1891593890275.000000,,,1891593890275.000000,,55300191303.000000,,,55300191303.000000,14046340060.000000,832144249266.000000,13858679369359.000000,,,,,16781896739636.000000,,141023733291.000000,,,1305831151787.000000,18228751624714.000000,32087430994073.000000,,,4035777167686.000000,,643990887988.000000,,,643990887988.000000,702388957911.000000,224889254013.000000,,,224889254013.000000,,,,419319414673.000000,,419319414673.000000,,,2045188653101.000000,,,2045188653101.000000,,4035777167686.000000,12950699379431.000000,48371809750.000000,,1695882571498.000000,,,10742889051604.000000,,,,,,,,463555946579.000000,12950699379431.000000,16986476547117.000000,,2424150819600.000000,1709790833464.000000,10317326908456.000000,4763213088130.000000,5554113820326.000000,10317326908456.000000,1232381430192.000000,-582695544756.000000,15100954446956.000000,32087430994073.000000,24241508196.000000
12M 2011,,,10356369383888.000000,247339377520.000000,1990088296402.000000,,,1990088296402.000000,,53465009139.000000,,,53465009139.000000,11836043989.000000,997197353018.000000,13656295463956.000000,,,,,15866649691328.000000,,188512050099.000000,,,1264988606842.000000,17320150348269.000000,30976445812225.000000,,,2483316997394.000000,,554504673797.000000,,,554504673797.000000,655328741835.000000,188557478965.000000,,,188557478965.000000,,,,193930617283.000000,,193930617283.000000,,,890995485514.000000,,,890995485514.000000,,2483316997394.000000,11308416836316.000000,23448724509.000000,,1616967611921.000000,,,9013375035835.000000,,,,,,,,654625464051.000000,11308416836316.000000,13791733833710.000000,,2424150819600.000000,1709790833464.000000,12257198929014.000000,7009383145502.000000,5247815783512.000000,12257198929014.000000,1344956997164.000000,-551385600727.000000,17184711978515.000000,30976445812225.000000,24241508196.000000
12M 2012,,,1567458346.000000,108286034.000000,258652097.000000,,,258652097.000000,,5068328.000000,,,5068328.000000,2445065.000000,41908167.000000,1983818037.000000,,,,,1693759814.000000,,38264346.000000,,2887788.000000,189432334.000000,1924344282.000000,3908162319.000000,,,472749424.000000,,189130962.000000,,,189130962.000000,42257980.000000,24800904.000000,,,24800904.000000,,,,80629393.000000,,80629393.000000,,,98627228.000000,,,98627228.000000,37302957.000000,472749424.000000,1080620917.000000,650855.000000,,87115630.000000,,,840006527.000000,,,,,,,,152847905.000000,1080620917.000000,1553370341.000000,,344018831.000000,192555960.000000,1742268787.000000,1092941286.000000,649327501.000000,1742268787.000000,157447622.000000,-81499222.000000,2354791978.000000,3908162319.000000,24241508196.000000
12M 2013,,,1319168247.000000,85384831.000000,279956482.000000,,,279956482.000000,,35862770.000000,,,35862770.000000,14615268.000000,45540250.000000,1780527848.000000,,,40265562.000000,,1837231368.000000,432617966.000000,28867269.000000,53057.000000,25710029.000000,217901896.000000,2582647147.000000,4363174995.000000,,,885798906.000000,300000000.000000,158320476.000000,,,158320476.000000,180125591.000000,57609234.000000,,,57609234.000000,,,,40140967.000000,,40140967.000000,,,113980602.000000,,,113980602.000000,35622036.000000,885798906.000000,750149566.000000,571231.000000,13994894.000000,11927017.000000,,,611976149.000000,,,,,,,,111680275.000000,750149566.000000,1635948472.000000,,344018831.000000,157254312.000000,2096615050.000000,1477639771.000000,618975279.000000,2096615050.000000,181822251.000000,-52483921.000000,2727226523.000000,4363174995.000000,24241508196.000000
12M 2014,,,1216028736.000000,92588146.000000,324971319.000000,,,324971319.000000,,87178046.000000,,,87178046.000000,65367426.000000,74681648.000000,1860815321.000000,,,40536515.000000,,2485091623.000000,1416588326.000000,37897272.000000,12744097.000000,50944217.000000,310878988.000000,4354681038.000000,6215496359.000000,,,1090616756.000000,,137655427.000000,,,137655427.000000,668658891.000000,114848136.000000,,,114848136.000000,,,,41052974.000000,,41052974.000000,,,87127922.000000,,,87127922.000000,41273406.000000,1090616756.000000,2161809828.000000,132626476.000000,12457390.000000,11005055.000000,,,473038896.000000,,,,,1332255514.000000,1332255514.000000,,200426497.000000,2161809828.000000,3252426584.000000,,344018831.000000,157254312.000000,2317402215.000000,1892288752.000000,425113463.000000,2317402215.000000,195808065.000000,-51413648.000000,2963069775.000000,6215496359.000000,24241508196.000000
12M 2015,,,1135502538.000000,64669022.000000,286594569.000000,,,286594569.000000,,100659573.000000,,,100659573.000000,43453022.000000,91652113.000000,1722530837.000000,,241365278.000000,275839353.000000,,1928752090.000000,1636331976.000000,75598358.000000,49947246.000000,3851047.000000,560806076.000000,4772491424.000000,6495022261.000000,,,667320181.000000,,116996612.000000,,,116996612.000000,,84667261.000000,,,84667261.000000,,,,21467084.000000,,21467084.000000,,,121621548.000000,,,121621548.000000,322567676.000000,667320181.000000,2804898026.000000,94128626.000000,,11330750.000000,,,,,,,1253416592.000000,1333756692.000000,2587173284.000000,,112265366.000000,2804898026.000000,3472218207.000000,,344018831.000000,284339313.000000,2428351784.000000,2343765418.000000,84586366.000000,2428351784.000000,2447929.000000,-36353803.000000,3022804054.000000,6495022261.000000,24241508196.000000
12M 2016,,,1304043250.000000,68832771.000000,321164700.000000,110001213.000000,211163487.000000,321164700.000000,,234041757.000000,,,234041757.000000,65293227.000000,131298524.000000,2124674229.000000,,222642103.000000,228013045.000000,,1828630994.000000,1708665674.000000,77050565.000000,52594652.000000,4627160.000000,587254546.000000,4709478739.000000,6834152968.000000,,,815371887.000000,100000000.000000,,25605442.000000,86154305.000000,111759747.000000,,107408420.000000,,,107408420.000000,,,,,42691113.000000,42691113.000000,,,170987760.000000,,,170987760.000000,282524847.000000,815371887.000000,2848587747.000000,84645847.000000,,8828746.000000,,,,,,,1296315710.000000,1335343701.000000,2631659411.000000,,123453743.000000,2848587747.000000,3663959634.000000,,344018831.000000,284339313.000000,2564574258.000000,2576863351.000000,-12289093.000000,2564574258.000000,7018625.000000,-29757693.000000,3170193334.000000,6834152968.000000,24241508196.000000
12M 2017,,,1026328911.000000,70663096.000000,339661163.000000,144552889.000000,195108274.000000,339661163.000000,,189639392.000000,,,189639392.000000,60820710.000000,120934721.000000,1808047993.000000,,209108527.000000,227946810.000000,,1706413816.000000,1594911817.000000,63272391.000000,76779800.000000,4235907.000000,602411930.000000,4485080998.000000,6293128991.000000,,,466661068.000000,,,25495995.000000,69685084.000000,95181079.000000,,94494730.000000,,,94494730.000000,,,,,31658296.000000,31658296.000000,,,22857361.000000,,,22857361.000000,222469602.000000,466661068.000000,2639555044.000000,123528183.000000,,5083381.000000,,,,,,,413732667.000000,1955926183.000000,2369658850.000000,,141284630.000000,2639555044.000000,3106216112.000000,,344018831.000000,284339313.000000,2571000681.000000,2427854334.000000,143146347.000000,2571000681.000000,18761936.000000,-31207882.000000,3186912879.000000,6293128991.000000,24241508196.000000
