Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Distribusi Dan Transmisi,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Keuntungan (Rugi) Atas Transaksi Derivatif,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba Dari Ventura Bersama,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,12793848602673.000000,-5227443734194.000000,7566404868479.000000,-2909153082859.000000,-2096715952797.000000,-812437130062.000000,,-2909153082859.000000,4657251785620.000000,-3375761461429.000000,-2508223548563.000000,-505303396498.000000,,59042820686.000000,-547212033095.000000,,125934696041.000000,-3375761461429.000000,1281490324191.000000,-476266931177.000000,805223393014.000000,-171363709301.000000,633859683713.000000,,,633859683713.000000,805223393014.000000,-171363709301.000000,633859683713.000000,,,,
12M 2009,18024278937525.000000,-7219991855761.000000,10804287081764.000000,-3128261379124.000000,-2111132841658.000000,-1017128537466.000000,,-3128261379124.000000,7676025702640.000000,571146651527.000000,1244543558431.000000,-280588295986.000000,,160066035359.000000,-558262115674.000000,,5387469397.000000,571146651527.000000,8247172354167.000000,-1814303974948.000000,6432868379219.000000,-203824882900.000000,6229043496319.000000,,,6229043496319.000000,6432868379219.000000,-203824882900.000000,6229043496319.000000,,,,
12M 2010,19765716397448.000000,-7223570218717.000000,12542146178731.000000,-3506421334979.000000,-2261967929111.000000,-1244453405868.000000,,-3506421334979.000000,9035724843752.000000,-972551306506.000000,-368690358455.000000,-561586461826.000000,,248716444072.000000,-371631844355.000000,,80640914058.000000,-972551306506.000000,8063173537246.000000,-1599773802938.000000,6463399734308.000000,-224038463829.000000,6239361270479.000000,,,6239361270479.000000,6463399734308.000000,-224038463829.000000,6239361270479.000000,,,,
12M 2011,19567407240330.000000,-7793750922430.000000,11773656317900.000000,-3935038705035.000000,-2496077905748.000000,-1555200315071.000000,116239515784.000000,-3935038705035.000000,7838617612865.000000,-184428670563.000000,-239492818832.000000,-2100455818.000000,-6080189200.000000,307175118588.000000,-243930325301.000000,,,-184428670563.000000,7654188942302.000000,-1535979281279.000000,6118209661023.000000,,6118209661023.000000,45253364215.000000,6163463025238.000000,6118209661023.000000,5933063233665.000000,185146427358.000000,6118209661023.000000,6163463025238.000000,5964373177694.000000,199089847544.000000,6163463025238.000000
12M 2012,2576493037.000000,-1104101733.000000,1472391304.000000,-453907944.000000,-269894769.000000,-204389934.000000,20376759.000000,-453907944.000000,1018483360.000000,129824667.000000,65101054.000000,49757553.000000,8718596.000000,27824136.000000,-21576672.000000,,,129824667.000000,1148308027.000000,-233051777.000000,915256250.000000,,915256250.000000,-757566.000000,914498684.000000,915256250.000000,890885456.000000,24370794.000000,915256250.000000,914498684.000000,889696452.000000,24802232.000000,914498684.000000
12M 2013,3001516630.000000,-1583522145.000000,1417994485.000000,-484309228.000000,-292558975.000000,-216617353.000000,24867100.000000,-484309228.000000,933685257.000000,191396412.000000,83899214.000000,70178350.000000,32272194.000000,26910239.000000,-21863585.000000,,,191396412.000000,1125081669.000000,-231197149.000000,893884520.000000,,893884520.000000,-5669151.000000,888215369.000000,893884520.000000,860533234.000000,33351286.000000,893884520.000000,888215369.000000,854246887.000000,33968482.000000,888215369.000000
12M 2014,3408590061.000000,-1943781551.000000,1464808510.000000,-482749572.000000,-301040403.000000,-223926062.000000,42216893.000000,-482749572.000000,982058938.000000,-3293510.000000,47452904.000000,2181174.000000,30906198.000000,26032902.000000,-75575385.000000,,-34291303.000000,-3293510.000000,978765428.000000,-231093948.000000,747671480.000000,,747671480.000000,612602.000000,748284082.000000,747671480.000000,722754065.000000,24917415.000000,747671480.000000,748284082.000000,723824337.000000,24459745.000000,748284082.000000
12M 2015,3068790845.000000,-2105680228.000000,963110617.000000,-397619856.000000,-198752380.000000,-190418733.000000,-8448743.000000,-397619856.000000,565490761.000000,-122357405.000000,-14304070.000000,-6656089.000000,,18439067.000000,-119162853.000000,48780684.000000,-49454144.000000,-122357405.000000,443133356.000000,-40374452.000000,402758904.000000,,402758904.000000,15852504.000000,418611408.000000,402758904.000000,401199880.000000,1559024.000000,402758904.000000,418611408.000000,416193057.000000,2418351.000000,418611408.000000
12M 2016,2934778710.000000,-2047838771.000000,886939939.000000,-442697716.000000,-220401617.000000,-234003179.000000,11707080.000000,-442697716.000000,444242223.000000,-59257077.000000,-5120175.000000,-4526823.000000,,17838004.000000,-132404898.000000,57713446.000000,7243369.000000,-59257077.000000,384985146.000000,-76401230.000000,308583916.000000,,308583916.000000,6664827.000000,315248743.000000,308583916.000000,304324421.000000,4259495.000000,308583916.000000,315248743.000000,310669477.000000,4579266.000000,315248743.000000
12M 2017,2969591811.000000,-2172360007.000000,797231804.000000,-420215320.000000,-237150171.000000,-202506628.000000,19441479.000000,-420215320.000000,377016484.000000,-101466462.000000,-7404933.000000,-2660198.000000,,17313232.000000,-147175165.000000,38460602.000000,,-101466462.000000,275550022.000000,-127766011.000000,147784011.000000,,147784011.000000,-1525231.000000,146258780.000000,147784011.000000,143146347.000000,4637664.000000,147784011.000000,146258780.000000,141696158.000000,4562622.000000,146258780.000000
12M 2018,3870266738.000000,-2560766539.000000,1309500199.000000,-664191251.000000,-437777037.000000,-251687465.000000,25273251.000000,-664191251.000000,645308948.000000,-60404663.000000,-18833597.000000,4596145.000000,,34562801.000000,-153429529.000000,79875917.000000,-7176400.000000,-60404663.000000,584904285.000000,-220265625.000000,364638660.000000,,364638660.000000,-27802676.000000,336835984.000000,364638660.000000,304991574.000000,59647086.000000,364638660.000000,336835984.000000,276566961.000000,60269023.000000,336835984.000000
