Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Penerimaan Bunga,Pembayaran Bunga Dan Beban Keuangan,Pembayaran Bunga Atas Sewa,Pembayaran Pajak Penghasilan Badan,Pembayaran Untuk Beban Operasi Dan Aktivitas Operasi Lainnya,Pembayaran Sengketa Pajak,Penerimaan Sengketa Pajak,Penambahan Piutang Lain-Lain Jangka Panjang,Pembayaran Kepada Karyawan,Pembayaran Tantiem,Penempatan Pada Kas Yang Dibatasi Penggunaannya,Pembayaran Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan (Pengurangan) Kas Yang Dibatasi Penggunaannya,Pencairan Pada Kas Yang Dibatasi Penggunaannya Dan Refundable Security Deposits Yang Terkait Akuisisi Bisnis,Pembayaran Untuk Akuisisi Entitas Anak,Penempatan Bank Garansi,Penerimaan Dividen Dari Entitas Asosiasi,Penerimaan Dividen Dari Ventura Bersama,Penerimaan Dividen Dan Pengembalian Modal Dari Ventura Bersama,Pembayaran Promissory Notes Terkait Akuisisi Pertagas,Akuisisi Entitas Anak Tidak Langsung,Penerimaan Dari Penjualan Aset Keuangan,Penambahan Kerjasama Operasi Minyak Dan Gas Bumi Atau Kontrak Jasa/Perjanjian Partisipasi,Perolehan Aset Tetap,Penambahan Aset Minyak Dan Gas Bumi,Penambahan Piutang Carried,Penambahan Aset Eksplorasi Dan Evaluasi,Penambahan Penyertaan Saham,Penambahan Investasi Jangka Pendek,Pengurangan Investasi Jangka Pendek,Penerimaan Pengembalian Piutang Lain-Lain Jangka Panjang,Penambahan Investasi Kepada Entitas Pengendalian Bersama,Penerimaan Pelunasan Promissory Notes Dari Ventura Bersama,Penerimaan Pembayaran Piutang,Pembayaran Untuk Kombinasi Entitas Sepengendali,Laba (Rugi) Atas Penjualan Aset Tetap,Penambahan Beban Ditangguhkan,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Pinjaman Bank Jangka Pendek,Pembayaran Pinjaman Bank Jangka Pendek,Penerimaan Pinjaman Bank Jangka Panjang,Pembayaran Pinjaman Bank Jangka Panjang,Pembayaran Biaya Transaksi Utang Bank,Penerimaan Pinjaman Dari Ventura Bersama,Pembayaran Sewa Pembiayaan,Penjualan Saham Treasuri,Penerimaan Atas Penyertaan Saham Oleh Kepentingan Nonpengendali Entitas Anak,Pembayaran Dividen,Pembayaran Dividen Interim,Penerimaan Pinjaman Sindikasi,Pembayaran Liabilitas Sewa,Pembayaran Pinjaman,Pembayaran Pinjaman Dari Pemegang Saham,Penerimaan Pinjaman Pemegang Saham Dari Pihak Berelasi,Pembelian Kembali Obligasi,Penerimaan Hasil Obligasi,Pembayaran Obligasi,Pembayaran Atas Derivatif,Hasil Dari Konversi Opsi Saham,Pembayaran Untuk Program Kemitraan Dan Bina Lingkungan,Pembayaran Atas Pembelian Kembali Saham Beredar,Hasil Pinjaman Utang,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,3778938944245.000000,13613399840756.000000,-6724084999692.000000,117154222287.000000,-466723802544.000000,,-1039058187334.000000,-1207569095333.000000,,,,-403553659695.000000,-18202742248.000000,,-92422631952.000000,3778938944245.000000,-1231966356497.000000,120892824402.000000,,,,,,,,,,,-1352736521499.000000,,,,,,,,,,,,,-122659400.000000,-1231966356497.000000,-525056707501.000000,,,,,,,,,,-786282470324.000000,,,,,-317764308186.000000,,,,,,562425299521.000000,19066017738.000000,-2501246250.000000,,-525056707501.000000,245681219334.000000,2267597099581.000000,1232204290922.000000,3499801390503.000000
12M 2009,6952934696174.000000,17870079335250.000000,-7274827643323.000000,268864006968.000000,-518448751289.000000,,-1418952174046.000000,-1529454103964.000000,,,,-431827599645.000000,-19619221311.000000,,7120847534.000000,6952934696174.000000,-1824353065582.000000,-24439618661.000000,,,,,,,,,,,-1799490678021.000000,,,,,,,,,,,,,-422768900.000000,-1824353065582.000000,-1297276698413.000000,,,,,,,,,40000000.000000,-1000000000000.000000,-242396581960.000000,,,,-2938000818453.000000,,,,,,,-3169298000.000000,,2886250000000.000000,-1297276698413.000000,-737869253344.000000,3093435678835.000000,3499801390503.000000,6593237069338.000000
12M 2010,9545180246741.000000,20325283524334.000000,-7195282481830.000000,297309515278.000000,-279134309202.000000,,-837119592343.000000,-1590245168622.000000,,,,-481046120576.000000,-30080000000.000000,,-664505120298.000000,9545180246741.000000,-1370539372260.000000,-28916953675.000000,,,,,,,,,,,-1139198992238.000000,,,,-200000000000.000000,,,,,,,,,-2423426347.000000,-1370539372260.000000,-3445630659841.000000,,,,,,,,,,-3495358711863.000000,-247244488099.000000,,,,-1795051372471.000000,,,,,,,-155726087408.000000,,2247750000000.000000,-3445630659841.000000,-256652585523.000000,4472357629117.000000,6593237069338.000000,11065594698455.000000
12M 2011,8314370418396.000000,19497510272100.000000,-7712824282102.000000,371297600103.000000,-194375843689.000000,,-2135628313001.000000,-990216227811.000000,,,,-521392787204.000000,,,,8314370418396.000000,-1159183303631.000000,-19983862301.000000,,,,,,,,,,,-686185070520.000000,,,,-220000000000.000000,-233006256250.000000,,,,,,,,-8114560.000000,-1159183303631.000000,-7844291943165.000000,,,,,,,,,710000000.000000,-3575782155327.000000,-263485084590.000000,,,,-3655310307715.000000,,,,,-102788262253.000000,,-249574450820.000000,,1938317540.000000,-7844291943165.000000,-20120486167.000000,-709225314567.000000,11065594698455.000000,10356369383888.000000
12M 2012,1166418421.000000,2585937818.000000,-957261487.000000,28611949.000000,-22163413.000000,,-221120643.000000,-187800150.000000,,,,-59785653.000000,,,,1166418421.000000,-250293578.000000,-4933727.000000,,,,,,,,,,,-159296204.000000,,,,-12228398.000000,-73826325.000000,,,,,,,,-8924.000000,-250293578.000000,-460259866.000000,,,,,,,,,4715.000000,-327730116.000000,,,,,-81338968.000000,,,,,-26099109.000000,,-25096388.000000,,,-460259866.000000,-29768495.000000,426096482.000000,1141361864.000000,1567458346.000000
12M 2013,828875029.000000,2954338709.000000,-1537213811.000000,26123918.000000,-17599905.000000,,-330351685.000000,-211762229.000000,,,,-54659968.000000,,,,828875029.000000,-666538259.000000,7315152.000000,,,,2498684.000000,,,,-259851818.000000,,-103344086.000000,-206784857.000000,-110553335.000000,,,,4182001.000000,,,,,,,,,-666538259.000000,-330685965.000000,300000000.000000,,,,,,,,5172.000000,-510620916.000000,,,,,-115059958.000000,,,,,-5010263.000000,,,,,-330685965.000000,-79940904.000000,-248290099.000000,1567458346.000000,1319168247.000000
12M 2014,896663945.000000,3392711746.000000,-1729849094.000000,27104609.000000,-70938305.000000,,-271931473.000000,-386978130.000000,,,,-63455408.000000,,,,896663945.000000,-1351123295.000000,1061689.000000,,,,16136097.000000,,,,-673354245.000000,,-184780264.000000,-310917533.000000,-195320605.000000,,-3948434.000000,,,,,,,,,,,-1351123295.000000,469728520.000000,500000000.000000,-800000000.000000,,,,,,,,-454456178.000000,,,,,-114074014.000000,,,1336999500.000000,,1259212.000000,,,,,469728520.000000,-118408681.000000,-103139511.000000,1319168247.000000,1216028736.000000
12M 2015,528440038.000000,3058651519.000000,-1786658619.000000,15346823.000000,-111457047.000000,,-172735799.000000,-387494587.000000,,,,-87212252.000000,,,,528440038.000000,-1122060581.000000,,,,,,66828198.000000,,,,,-70890494.000000,-495929434.000000,-438047121.000000,-178451512.000000,-45651253.000000,,26366407.000000,,,,13714628.000000,,,,,-1122060581.000000,594880389.000000,,,,-80066273.000000,,,,,523.000000,-268723467.000000,,950000000.000000,,,,,,,,-6330394.000000,,,,,594880389.000000,3292475.000000,4552321.000000,1130950217.000000,1135502538.000000
12M 2016,655546283.000000,2966046617.000000,-1746010090.000000,20892973.000000,-133191010.000000,,-93744198.000000,-280845582.000000,,,,-77602427.000000,,,,655546283.000000,-500527338.000000,,,,,,71947539.000000,,,,,-23796271.000000,-166523511.000000,-256514025.000000,-69269467.000000,-2647406.000000,,,,,-53724197.000000,,,,,,-500527338.000000,5389376.000000,,,,-121177638.000000,,,,251054.000000,,-166655213.000000,,300000000.000000,,,,,,,,-7028827.000000,,,,,5389376.000000,8132391.000000,168540712.000000,1135502538.000000,1304043250.000000
12M 2017,577904469.000000,2990145383.000000,-1863740045.000000,12166608.000000,-133664617.000000,,-142107666.000000,-200385856.000000,,,,-84509338.000000,,,,577904469.000000,-189377353.000000,-18000000.000000,,,-11752000.000000,,79497174.000000,,,,,,-107763708.000000,-129521794.000000,,-24185148.000000,,,,,,,22348123.000000,,,,-189377353.000000,-647858950.000000,,-100000000.000000,,-1029733463.000000,,,,,,-136719924.000000,,,,,,,,625000000.000000,,-6405563.000000,,,,,-647858950.000000,-18382505.000000,-277714339.000000,1304043250.000000,1026328911.000000
