Period,Aset,Kas Dan Setara Kas,Others,Total Kas Dan Setara Kas,Pinjaman Yang Diberikan,Pihak Ketiga,Pihak Berelasi,Others,Total Pinjaman Yang Diberikan,Piutang Sewa Pembiayaan,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Sewa Pembiayaan,Piutang Premi,Pihak Ketiga,Pihak Berelasi,Total Piutang Premi,Piutang Pembiayaan Konsumen,Pihak Ketiga,Pihak Berelasi,Others,Total Piutang Pembiayaan Konsumen,Piutang Reasuransi,Aset Reasuransi,Others,Total Piutang Lain-Lain,Investasi Pada Entitas Asosiasi,Aset Tetap,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Adjustment,Liabilitas Dan Ekuitas,Liabilitas,Simpanan Nasabah,Pihak Ketiga,Pihak Berelasi,Total Simpanan Nasabah,Simpanan Dari Bank Lain,Pihak Ketiga,Pihak Berelasi,Total Simpanan Dari Bank Lain,Liabilitas Derivatif,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Derivatif,Liabilitas Akseptasi,Pihak Ketiga,Pihak Berelasi,Total Liabilitas Akseptasi,Surat Berharga Yang Diterbitkan,Pihak Ketiga,Pihak Berelasi,Total Surat Berharga Yang Diterbitkan,Pinjaman Yang Diterima,Pihak Ketiga,Pihak Berelasi,Total Pinjaman Yang Diterima,Utang Reasuransi,Pihak Ketiga,Pihak Berelasi,Total Utang Reasuransi,Obligasi Subordinasi,Utang Klaim,Utang Pajak,Beban Akrual,Utang Sewa Pembiayaan,Utang Lain-Lain,Liabilitas Kontrak Asuransi,Premi Yang Belum Merupakan Pendapatan,Estimasi Liabilitas Klaim,Liabilitas Manfaat Polis Masa Depan,Others,Total Liabilitas Kontrak Asuransi,Liabilitas Pajak Tangguhan,Dana Syirkah Temporer,Others,Total Dana Syirkah Temporer,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,15811000000.000000,15811000000.000000,,,,,,,,,,,,8463000000.000000,7244000000.000000,15707000000.000000,,,,,,83000000.000000,,56918000000.000000,28459000000.000000,,18673000000.000000,,25670000000.000000,6714844000000.000000,6790788000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,16233000000.000000,,,16233000000.000000,,6629000000.000000,6067000000.000000,2163000000.000000,,28181000000.000000,1689975000000.000000,56832000000.000000,58096000000.000000,1556230000000.000000,18817000000.000000,1689975000000.000000,,,,,100092000000.000000,1849340000000.000000,,1009517000000.000000,26563000000.000000,1747941000000.000000,24000000000.000000,1723941000000.000000,1747941000000.000000,2160560000000.000000,-3133000000.000000,4941448000000.000000,6790788000000.000000,4068255171.000000
12M 2009,,,28043000000.000000,28043000000.000000,,,,,,,,,,,,12340000000.000000,9185000000.000000,21525000000.000000,,,,,,1138000000.000000,,58514000000.000000,29257000000.000000,,21380000000.000000,,22290000000.000000,8006682000000.000000,8101058000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,21112000000.000000,,,21112000000.000000,,9705000000.000000,4985000000.000000,7322000000.000000,,25239000000.000000,2368281000000.000000,70511000000.000000,47953000000.000000,2225185000000.000000,24632000000.000000,2368281000000.000000,,,,,104156000000.000000,2540800000000.000000,,1009534000000.000000,26563000000.000000,2148109000000.000000,27000000000.000000,2121109000000.000000,2148109000000.000000,2365145000000.000000,10907000000.000000,5560258000000.000000,8101058000000.000000,4068323920.000000
12M 2010,,,69214000000.000000,69214000000.000000,,,,,,,,,,,,16240000000.000000,28606000000.000000,44846000000.000000,,,,,,7901000000.000000,,16468000000.000000,8234000000.000000,,29097000000.000000,,8308000000.000000,9199616000000.000000,9358982000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,26280000000.000000,,,26280000000.000000,,9144000000.000000,5974000000.000000,13202000000.000000,,16818000000.000000,2619192000000.000000,83037000000.000000,47794000000.000000,2448796000000.000000,39565000000.000000,2619192000000.000000,,,,,57740000000.000000,2748350000000.000000,,1009534000000.000000,26563000000.000000,2723376000000.000000,29000000000.000000,2694376000000.000000,2723376000000.000000,2775691000000.000000,75468000000.000000,6610632000000.000000,9358982000000.000000,4068323920.000000
12M 2011,,,85626000000.000000,85626000000.000000,,,,,,,,,,,,23355000000.000000,23088000000.000000,46443000000.000000,,,,,,16670000000.000000,,24842000000.000000,12421000000.000000,,32558000000.000000,,10104000000.000000,11381370000000.000000,11572771000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,29845000000.000000,26733000000.000000,3112000000.000000,29845000000.000000,,20438000000.000000,5394000000.000000,10462000000.000000,,22691000000.000000,2367685000000.000000,86889000000.000000,55771000000.000000,2169724000000.000000,55301000000.000000,2367685000000.000000,,,,,1070769000000.000000,3527284000000.000000,,1017081000000.000000,26563000000.000000,3636620000000.000000,31000000000.000000,3605620000000.000000,3636620000000.000000,3372861000000.000000,-7638000000.000000,8045487000000.000000,11572771000000.000000,4068323920.000000
12M 2012,,1216816000000.000000,,1216816000000.000000,,,,,,,,,,,54907000000.000000,,,54907000000.000000,,,,,,19829000000.000000,77034000000.000000,,16245000000.000000,7850614000000.000000,39584000000.000000,,10723000000.000000,3789586000000.000000,13059093000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,34858000000.000000,,,34858000000.000000,,33937000000.000000,6250000000.000000,21544000000.000000,,33440000000.000000,3565158000000.000000,110284000000.000000,86725000000.000000,3240670000000.000000,127479000000.000000,3565158000000.000000,,,,,49011000000.000000,3744198000000.000000,,1017081000000.000000,33334000000.000000,4416331000000.000000,33000000000.000000,4383331000000.000000,4416331000000.000000,3842938000000.000000,5211000000.000000,9314895000000.000000,13059093000000.000000,4068323920.000000
12M 2013,,3863816000000.000000,,3863816000000.000000,,,,,,,,,,,64456000000.000000,,,64456000000.000000,,,,,,15839000000.000000,182629000000.000000,,11878000000.000000,8915164000000.000000,36933000000.000000,,7738000000.000000,4653691000000.000000,17740266000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,49865000000.000000,,,49865000000.000000,,27600000000.000000,10774000000.000000,41573000000.000000,,32337000000.000000,3618213000000.000000,128692000000.000000,186493000000.000000,3238077000000.000000,64951000000.000000,3618213000000.000000,24000000.000000,,,,60010000000.000000,3840396000000.000000,,1017081000000.000000,46736000000.000000,5158322000000.000000,35000000000.000000,5123322000000.000000,5158322000000.000000,6770381000000.000000,907350000000.000000,13899870000000.000000,17740266000000.000000,4068323920.000000
12M 2014,,6614470000000.000000,,6614470000000.000000,,,,,,,,,,,119872000000.000000,,,119872000000.000000,,,,,,25171000000.000000,221608000000.000000,,74440000000.000000,10093225000000.000000,40097000000.000000,369550000000.000000,8031000000.000000,3792337000000.000000,21284361000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,91092000000.000000,,,91092000000.000000,,36740000000.000000,12853000000.000000,44790000000.000000,,58717000000.000000,5080834000000.000000,180682000000.000000,167302000000.000000,4655867000000.000000,76983000000.000000,5080834000000.000000,,,,,87143000000.000000,5412169000000.000000,,1017081000000.000000,47668000000.000000,6089906000000.000000,37000000000.000000,6052906000000.000000,6089906000000.000000,7929867000000.000000,787670000000.000000,15872192000000.000000,21284361000000.000000,4068323920.000000
12M 2015,,5834795000000.000000,,5834795000000.000000,,,,,,,,,,,130666000000.000000,,,130666000000.000000,,,,,,45271000000.000000,255415000000.000000,,9093000000.000000,,112682000000.000000,343617000000.000000,18390000000.000000,16356785000000.000000,23097621000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,107858000000.000000,,,107858000000.000000,,48585000000.000000,7062000000.000000,72965000000.000000,541000000.000000,102663000000.000000,4859435000000.000000,360882000000.000000,269330000000.000000,3948499000000.000000,280724000000.000000,4859435000000.000000,1256000000.000000,,,,148798000000.000000,5349163000000.000000,,1017081000000.000000,102227000000.000000,6692877000000.000000,39000000000.000000,6653877000000.000000,6692877000000.000000,9154029000000.000000,782244000000.000000,17748458000000.000000,23097621000000.000000,4068323920.000000
12M 2016,,5673473000000.000000,,5673473000000.000000,,,,,,,,,,,13036000000.000000,,,13036000000.000000,,,,,,32981000000.000000,17332000000.000000,,125827000000.000000,,252976000000.000000,317684000000.000000,,20826529000000.000000,27134011000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,32919000000.000000,,,32919000000.000000,,52092000000.000000,2074000000.000000,55694000000.000000,,53881000000.000000,4054276000000.000000,14740000000.000000,34856000000.000000,3997746000000.000000,6934000000.000000,4054276000000.000000,4711000000.000000,,,,341227000000.000000,4596874000000.000000,,1017081000000.000000,47668000000.000000,8242989000000.000000,41000000000.000000,8201989000000.000000,8242989000000.000000,10688396000000.000000,2541003000000.000000,22537137000000.000000,27134011000000.000000,4068323920.000000
12M 2017,,4063744000000.000000,,4063744000000.000000,,,,,,,,,,,20234000000.000000,,,20234000000.000000,,,,,,19382000000.000000,25338000000.000000,,26635000000.000000,,257490000000.000000,291751000000.000000,,24218053000000.000000,28895992000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,41421000000.000000,,,41421000000.000000,,52341000000.000000,27292000000.000000,55814000000.000000,,47721000000.000000,3893351000000.000000,19043000000.000000,53319000000.000000,3804398000000.000000,16591000000.000000,3893351000000.000000,18707000000.000000,,,,386259000000.000000,4522906000000.000000,,1017081000000.000000,47668000000.000000,9287762000000.000000,43000000000.000000,9244762000000.000000,9287762000000.000000,11461526000000.000000,2559049000000.000000,24373086000000.000000,28895992000000.000000,4068323920.000000
12M 2018,,3937552000000.000000,,3937552000000.000000,,,,,,,,,,,29421000000.000000,,,29421000000.000000,,,,,,44370000000.000000,23105000000.000000,,21520000000.000000,,249611000000.000000,267218000000.000000,,25657777000000.000000,30209054000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,58724000000.000000,,,58724000000.000000,,61102000000.000000,3845000000.000000,46231000000.000000,,46810000000.000000,3892945000000.000000,24842000000.000000,52718000000.000000,3814179000000.000000,1206000000.000000,3892945000000.000000,3266000000.000000,,,,370511000000.000000,4483434000000.000000,,1017081000000.000000,47668000000.000000,10552807000000.000000,45000000000.000000,10507807000000.000000,10552807000000.000000,10751400000000.000000,3356664000000.000000,25725620000000.000000,30209054000000.000000,4068323920.000000
12M 2019,,4206298000000.000000,,4206298000000.000000,,,,,,,,,,,41428000000.000000,,,41428000000.000000,,,,,,72078000000.000000,39607000000.000000,,34318000000.000000,,242712000000.000000,249695000000.000000,,27392916000000.000000,32244734000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,82023000000.000000,,,82023000000.000000,,74681000000.000000,3596000000.000000,53346000000.000000,,35926000000.000000,3763768000000.000000,29912000000.000000,80203000000.000000,3638092000000.000000,15561000000.000000,3763768000000.000000,11225000000.000000,,,,386399000000.000000,4410964000000.000000,,1017081000000.000000,47668000000.000000,11932192000000.000000,47000000000.000000,11885192000000.000000,11932192000000.000000,11253045000000.000000,3583784000000.000000,27833770000000.000000,32244734000000.000000,4068323920.000000
12M 2020,,6545576000000.000000,,6545576000000.000000,,,,,,,,,,,58744000000.000000,,,58744000000.000000,,,,,,137676000000.000000,68365000000.000000,,50979000000.000000,,256930000000.000000,232172000000.000000,,26912262000000.000000,34211725000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,154654000000.000000,,,154654000000.000000,,95496000000.000000,3840000000.000000,53509000000.000000,,11999000000.000000,3820008000000.000000,32012000000.000000,105707000000.000000,3619057000000.000000,63232000000.000000,3820008000000.000000,20584000000.000000,,,,377579000000.000000,4537669000000.000000,,1017081000000.000000,47668000000.000000,12408540000000.000000,49000000000.000000,12359540000000.000000,12408540000000.000000,12059616000000.000000,4141151000000.000000,29674056000000.000000,34211725000000.000000,4068323920.000000
12M 2021,,7119949000000.000000,,7119949000000.000000,,,,,,,,,,,89495000000.000000,,,89495000000.000000,,,,,,190295000000.000000,69001000000.000000,,35787000000.000000,,248447000000.000000,214649000000.000000,,27343643000000.000000,35275479000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,78564000000.000000,,,78564000000.000000,,66318000000.000000,4428000000.000000,63134000000.000000,,13172000000.000000,4030757000000.000000,36593000000.000000,138798000000.000000,3823835000000.000000,31531000000.000000,4030757000000.000000,9908000000.000000,,,,210286000000.000000,4476567000000.000000,,1017081000000.000000,47668000000.000000,13227863000000.000000,51000000000.000000,13176863000000.000000,13227863000000.000000,12393360000000.000000,4112940000000.000000,30798912000000.000000,35275479000000.000000,4068323920.000000
