Period,Arus Kas Dari Aktivitas Operasi,"Bunga, Provisi Dan Komisi","Bunga, Hadiah, Provisi Dan Komisi Dana Yang Dibayar",Keuntungan Dari Transaksi Valuta Asing,Penerimaan Premi Asuransi,Penerimaan Klaim Asuransi,Penerimaan Lain-Lain,Pembayaran Premi Reasuransi,Pembayaran Klaim Dan Manfaat,Pembayaran Komisi Asuransi,Pembayaran Biaya Akuisisi,Pembayaran Beban Usaha Dan Pajak,Pembayaran Beban Usaha,Pajak Penghasilan Dan Lain-Lain,Pembayaran Pajak Penghasilan,Pembayaran Lain-Lain,Total Pajak Penghasilan Dan Lain-Lain,Penurunan (Kenaikan) Aset Operasi:,Efek-Efek (Diukur Pada Nilai Wajar Melalui Laba Rugi),Kredit,Efek Yang Dibeli Dengan Janji Dijual Kembali,Piutang Sewa Pembiayaan,Piutang Pembiayaan Konsumen,Piutang Jual Dan Sewa-Balik,Tagihan Anjak Piutang,Aset Lain-Lain,Total Penurunan (Kenaikan) Aset Operasi:,Kenaikan (Penurunan) Liabilitas Operasi:,Liabilitas Segera,Simpanan,Simpanan Dari Bank Lain,Liabilitas Akseptasi,Efek Yang Dijual Dengan Janji Dibeli Kembali,Liabilitas Lain-Lain,Total Kenaikan (Penurunan) Liabilitas Operasi:,Kenaikan Dana Syirkah Temporer,Total Pembayaran Beban Usaha Dan Pajak,Penerimaan Pendapatan Non-Operasional,Pembayaran Beban Non-Operasional,Beban Operasional Lainnya,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Hasil Investasi,Pembelian Efek-Efek (Selain Diukur Pada Nilai Wajar Melalui Laba Rugi),Efek-Efek Jatuh Tempo (Selain Diukur Pada Nilai Wajar Melalui Laba Rugi),Pencairan Rekening Escrow,"Pencairan Deposito, Reksadana Dan Obligasi",Pencairan Deposito,Pencairan Reksadana,"Total Pencairan Deposito, Reksadana Dan Obligasi",Hasil Penjualan Surat Berharga,Setoran Sementara,Penjualan Aset Tetap,Penerimaan Hasil Pelepasan Entitas Anak,Penerimaan Cicilan Pinjaman Polis,Uang Muka Pembelian Saham,Penempatan Investasi Surat Berharga,"Penempatan Investasi Dalam Deposito, Reksadana Dan Efek Yang Dibeli Dengan Janji Dijual Kembali, Dan Pembelian Saham",Penempatan Investasi Dalam Deposito,Penempatan Investasi Reksadana,"Total Penempatan Investasi Dalam Deposito, Reksadana Dan Efek Yang Dibeli Dengan Janji Dijual Kembali, Dan Pembelian Saham",Penempatan Rekening Escrow,Uang Muka Penjualan Saham Repo,"Penerimaan Bunga Deposito, Obligasi Dan Reksadana",Pencairan Escrow,Pembelian Investasi Obligasi,Penambahan Properti Investasi,Pembelian Saham Dari Entitas Non-Pengendali,Penerimaan Pinjaman Polis,Penambahan Investasi Pada Entitas Asosiasi,Pemberian Pinjaman Polis,Perolehan Aset Takberwujud,Perolehan Aset Tetap,Hasil Penjualan Saham,Penempatan Di Saham,Penerimaan Deviden,Pendapatan Sewa,Hasil Pelunasan Obligasi,Lain-Lain,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Pelaksanaan Waran,Penerbitan Surat Berharga,Penerbitan Obligasi Subordinasi,Penerimaan Pinjaman Yang Diterima Dari Entitas Anak,Pelunasan Pinjaman Yang Diterima Dari Entitas Anak,Hasil Penjualan Kembali Saham Treasuri,Pelunasan Obligasi Subordinasi Yang Diterbitkan,Pembayaran Dividen Oleh Entitas Anak Ke Kepentingan Nonpengendali,Penerimaan Dari Entitas Non-Pengendali,Pelunasan Surat Berharga Yang Diterbitkan,Penerimaan Tambahan Modal Dari Hasil Penawaran Umum Terbatas,Penerimaan Setoran Modal Saham Entitas Anak Oleh Pihak Non-Sepengendali,Penjualan Saham Yang Diperoleh Kembali,Biaya Emisi Saham,Biaya Emisi Obligasi Yang Diterbitkan,Biaya Emisi Obligasi Subordinasi Yang Diterbitkan,Penjualan Saham Repo,Pembayaran Liabilitas Sewa,Setoran Modal,Penerimaan Deviden,Pembayaran Deviden,Pembayaran Hutang Guna Usaha,Lain-Lain,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2008,-396852000000.000000,,,,1324240000000.000000,5766000000.000000,,-38170000000.000000,-1513885000000.000000,-21069000000.000000,-71939000000.000000,,-69747000000.000000,,-8561000000.000000,-3487000000.000000,-12048000000.000000,,,,,,,,,,,,,,,,,,,,-81795000000.000000,,,,-396852000000.000000,369978000000.000000,185318000000.000000,,,,,7493393000000.000000,,7493393000000.000000,,,519000000.000000,,,,-2838918000000.000000,,-3979096000000.000000,,-3979096000000.000000,,,,,-467362000000.000000,,,8333000000.000000,,-19688000000.000000,,-12521000000.000000,,,,,,,369978000000.000000,-17794000000.000000,370000000.000000,,,,,-18164000000.000000,,,,,,,,,,,,,,,,,,-17794000000.000000,-44668000000.000000,60479000000.000000,,15811000000.000000
12M 2009,126800000000.000000,,,,1171295000000.000000,14561000000.000000,,-50389000000.000000,-816827000000.000000,-22583000000.000000,-99936000000.000000,,-58018000000.000000,,-12707000000.000000,1404000000.000000,-11303000000.000000,,,,,,,,,,,,,,,,,,,,-69321000000.000000,,,,126800000000.000000,-115601000000.000000,176530000000.000000,,,,,6089282000000.000000,,6089282000000.000000,,,272000000.000000,,,,-870763000000.000000,,-5519106000000.000000,,-5519106000000.000000,,,,,,,,34096000000.000000,,-18105000000.000000,,-7807000000.000000,,,,,,,-115601000000.000000,1033000000.000000,1033000000.000000,,,,,,,,,,,,,,,,,,,,,,,1033000000.000000,12232000000.000000,15811000000.000000,,28043000000.000000
12M 2010,24982000000.000000,,,,1530286000000.000000,12220000000.000000,54471000000.000000,-59677000000.000000,-1259197000000.000000,-11713000000.000000,-122535000000.000000,,-118873000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-118873000000.000000,,,,24982000000.000000,-37785000000.000000,88902000000.000000,,,,,11436561000000.000000,,11436561000000.000000,,,583000000.000000,,,,-1172085000000.000000,,-10375980000000.000000,,-10375980000000.000000,,,,,,,,14188000000.000000,,-16734000000.000000,,-13220000000.000000,,,,,,,-37785000000.000000,55150000000.000000,,,,,,,,,,,,,,,,,,,,55150000000.000000,,,,55150000000.000000,42347000000.000000,28043000000.000000,-1176000000.000000,69214000000.000000
12M 2011,799021000000.000000,,,,2616153000000.000000,21639000000.000000,33430000000.000000,-75533000000.000000,-1550037000000.000000,-10981000000.000000,-122454000000.000000,,-91128000000.000000,,-22068000000.000000,,-22068000000.000000,,,,,,,,,,,,,,,,,,,,-113196000000.000000,,,,799021000000.000000,-1253258000000.000000,189975000000.000000,,,,,1779221000000.000000,,1779221000000.000000,22527343000000.000000,,130000000.000000,,29545000000.000000,,-2708545000000.000000,,-22571381000000.000000,,-22571381000000.000000,,,,,,-2901000000.000000,,,,-37478000000.000000,,-9445000000.000000,6568000000.000000,-456290000000.000000,,,,,-1253258000000.000000,475155000000.000000,,,,,,,,,,,499251000000.000000,,,-8234000000.000000,,,,,,4329000000.000000,-20191000000.000000,,,475155000000.000000,20918000000.000000,69214000000.000000,-1013000000.000000,89119000000.000000
12M 2012,7349000000.000000,,,,2440872000000.000000,35003000000.000000,25325000000.000000,-91547000000.000000,-2107095000000.000000,,-163624000000.000000,,-109140000000.000000,,-22445000000.000000,,-22445000000.000000,,,,,,,,,,,,,,,,,,,,-131585000000.000000,,,,7349000000.000000,-472908000000.000000,205656000000.000000,,,,,1724258000000.000000,,1724258000000.000000,1785784000000.000000,,1101000000.000000,,61532000000.000000,,-4184199000000.000000,,,,,,,,,,,,,,-54495000000.000000,,-12545000000.000000,,,,,,,-472908000000.000000,-10536000000.000000,,,,,,,,,,,,,,,,,,,,1575000000.000000,-12111000000.000000,,,-10536000000.000000,-476095000000.000000,1691483000000.000000,1428000000.000000,1216816000000.000000
12M 2013,-206873000000.000000,,,,3490369000000.000000,47079000000.000000,26335000000.000000,-97998000000.000000,-3317347000000.000000,,-161355000000.000000,,-172359000000.000000,,-21597000000.000000,,-21597000000.000000,,,,,,,,,,,,,,,,,,,,-193956000000.000000,,,,-206873000000.000000,-493544000000.000000,325289000000.000000,,,,,11441770000000.000000,,11441770000000.000000,1021436000000.000000,,685000000.000000,,120263000000.000000,,-13218915000000.000000,,,,,,,,,,,,,,-175246000000.000000,,-8826000000.000000,,,,,,,-493544000000.000000,3354574000000.000000,,,,,,,,,,,,3326471000000.000000,37304000000.000000,,,,,,,11140000000.000000,-20341000000.000000,,,3354574000000.000000,2654157000000.000000,1216816000000.000000,-7157000000.000000,3863816000000.000000
12M 2014,974288000000.000000,,,,3938249000000.000000,84763000000.000000,34546000000.000000,-117604000000.000000,-2495261000000.000000,,-169680000000.000000,,-255171000000.000000,,-45554000000.000000,,-45554000000.000000,,,,,,,,,,,,,,,,,,,,-300725000000.000000,,,,974288000000.000000,1480568000000.000000,815640000000.000000,,,,,9818929000000.000000,,9818929000000.000000,372869000000.000000,,1315000000.000000,,185179000000.000000,,-9156886000000.000000,,,,,,,,,,,,,-21060000000.000000,-136749000000.000000,-389000000000.000000,-9669000000.000000,,,,,,,1480568000000.000000,294417000000.000000,,,,,,,,,,,,313649000000.000000,1476000000.000000,,,,,,,570000000.000000,-21278000000.000000,,,294417000000.000000,2749273000000.000000,3863816000000.000000,1381000000.000000,6614470000000.000000
12M 2015,-736845000000.000000,,,,4637888000000.000000,92819000000.000000,3566000000.000000,-303272000000.000000,-4527990000000.000000,,-241955000000.000000,,-357632000000.000000,,-40269000000.000000,,-40269000000.000000,,,,,,,,,,,,,,,,,,,,-397901000000.000000,,,,-736845000000.000000,-827186000000.000000,855248000000.000000,,,,,15023215000000.000000,,15023215000000.000000,327250000000.000000,,1248000000.000000,,317080000000.000000,,-17024425000000.000000,,,,,,,,,,,,,,-314260000000.000000,,-12542000000.000000,,,,,,,-827186000000.000000,-57067000000.000000,,,,,,,,,,,,,,,,,,,,12916000000.000000,-69483000000.000000,-500000000.000000,,-57067000000.000000,-1621098000000.000000,7444284000000.000000,11609000000.000000,5834795000000.000000
12M 2016,-265644000000.000000,,,,3614859000000.000000,50814000000.000000,20237000000.000000,-70036000000.000000,-3326569000000.000000,,-214073000000.000000,,-340876000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-340876000000.000000,,,,-265644000000.000000,190094000000.000000,642351000000.000000,,,,,16378962000000.000000,,16378962000000.000000,208136000000.000000,,351000000.000000,1084382000000.000000,220066000000.000000,,-18122811000000.000000,,,,,,,,,,,,,,-217332000000.000000,,-4011000000.000000,,,,,,,190094000000.000000,-85340000000.000000,,,,,,,,,,,,,,,,,,,,,-85340000000.000000,,,-85340000000.000000,-160890000000.000000,5834795000000.000000,-432000000.000000,5673473000000.000000
12M 2017,-436096000000.000000,,,,4195976000000.000000,72166000000.000000,65261000000.000000,-91533000000.000000,-4147792000000.000000,,-228406000000.000000,,-301768000000.000000,,,,,,,,,,,,,,,,,,,,,,,,-301768000000.000000,,,,-436096000000.000000,-1077629000000.000000,715865000000.000000,,,,,24882004000000.000000,,24882004000000.000000,700444000000.000000,,1383000000.000000,92488000000.000000,283454000000.000000,,-27461218000000.000000,,,,,,,,,,,,,,-277514000000.000000,,-14535000000.000000,,,,,,,-1077629000000.000000,-96854000000.000000,,,,,,,,,,,,,,,,,,,,1313000000.000000,-98167000000.000000,,,-96854000000.000000,-1610579000000.000000,5674755000000.000000,-432000000.000000,4063744000000.000000
