Period,Total Pendapatan,Provisi Dan Komisi Kredit,Beban Bunga,Premi Bruto,Premi Reasuransi,Penurunan (Kenaikan) Premi Yang Belum Merupakan Pendapatan,Kenaikan Pendapatan Premi Disesikan Kepada Reasurandur,Pendapatan Komisi,Hasil Investasi,Laba Penjualan Efek,Laba Yang Belum Direalisasikan Dari Efek Dan Reksa Dana Pada Nilai Wajar Melalui Laba Atau Rugi,Others,Total Pendapatan,Total Beban Usaha,Klaim Bruto,Klaim Reasuransi,Perubahan Bersih Estimasi Liabilitas Klaim,Kenaikan Manfaat Polis Masa Depan,Pendapatan Non-Operasional,Beban Komisi,Beban Akuisisi,Beban Usaha,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Adjustment,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1403595000000.000000,,,1315476000000.000000,-60702000000.000000,-10957000000.000000,,,154336000000.000000,,,5442000000.000000,1403595000000.000000,-910864000000.000000,-1495461000000.000000,5769000000.000000,-1478000000.000000,750637000000.000000,,-22549000000.000000,-72810000000.000000,-74972000000.000000,,-910864000000.000000,492731000000.000000,,,,492731000000.000000,-19869000000.000000,-19869000000.000000,,-19869000000.000000,472862000000.000000,-158047000000.000000,,314815000000.000000,,,,,,314815000000.000000,472862000000.000000,-158047000000.000000,314815000000.000000,,,,
12M 2009,2285864000000.000000,,,1191336000000.000000,-77320000000.000000,-13679000000.000000,,,1177947000000.000000,,,7580000000.000000,2285864000000.000000,-1671613000000.000000,-820073000000.000000,16973000000.000000,7033000000.000000,-665845000000.000000,,-24247000000.000000,-100808000000.000000,-84646000000.000000,,-1671613000000.000000,614251000000.000000,,,,614251000000.000000,-14423000000.000000,-14423000000.000000,,-14423000000.000000,599828000000.000000,-199660000000.000000,,400168000000.000000,,,,,,400168000000.000000,599828000000.000000,-199660000000.000000,400168000000.000000,,,,
12M 2010,2629005000000.000000,,,1551505000000.000000,-68053000000.000000,-12526000000.000000,,,1193636000000.000000,,,-35557000000.000000,2629005000000.000000,-1720426000000.000000,-1258811000000.000000,19770000000.000000,1255000000.000000,-224708000000.000000,,-28737000000.000000,-123407000000.000000,-105788000000.000000,,-1720426000000.000000,908579000000.000000,,,,908579000000.000000,-27540000000.000000,-27540000000.000000,,-27540000000.000000,881039000000.000000,,,881039000000.000000,-305191000000.000000,,-305191000000.000000,-305191000000.000000,575848000000.000000,881039000000.000000,881039000000.000000,,881039000000.000000,575848000000.000000,575848000000.000000,,575848000000.000000
12M 2011,3645784000000.000000,,,2622783000000.000000,-82599000000.000000,-3991000000.000000,,,1079539000000.000000,,,30052000000.000000,3645784000000.000000,-2559153000000.000000,-1533253000000.000000,30551000000.000000,-526000000.000000,-533483000000.000000,,-32111000000.000000,-128980000000.000000,-115501000000.000000,-245850000000.000000,-2559153000000.000000,1086631000000.000000,,,,1086631000000.000000,-12158000000.000000,-13954000000.000000,1796000000.000000,-12158000000.000000,1074473000000.000000,,,1074473000000.000000,-9230000000.000000,,-9230000000.000000,-9230000000.000000,1065243000000.000000,1074473000000.000000,679504000000.000000,394969000000.000000,1074473000000.000000,1065243000000.000000,679236000000.000000,386007000000.000000,1065243000000.000000
12M 2012,2750063000000.000000,,,2465005000000.000000,-98396000000.000000,711000000.000000,-7667000000.000000,7592000000.000000,232428000000.000000,21580000000.000000,99891000000.000000,28919000000.000000,2750063000000.000000,-2466644000000.000000,-2118569000000.000000,40558000000.000000,-1123000000.000000,-49048000000.000000,,,-189987000000.000000,-149423000000.000000,948000000.000000,-2466644000000.000000,258364000000.000000,1019537000000.000000,1019537000000.000000,1019537000000.000000,1277901000000.000000,-13733000000.000000,-14354000000.000000,621000000.000000,-13733000000.000000,1264168000000.000000,,,1264168000000.000000,29972000000.000000,,29972000000.000000,29972000000.000000,1294140000000.000000,1264168000000.000000,789649000000.000000,474519000000.000000,1264168000000.000000,1294140000000.000000,819621000000.000000,474519000000.000000,1294140000000.000000
12M 2013,3836395000000.000000,,,3527613000000.000000,-130912000000.000000,-18441000000.000000,21872000000.000000,11701000000.000000,447475000000.000000,2977000000.000000,-39828000000.000000,13938000000.000000,3836395000000.000000,-3661699000000.000000,-3310010000000.000000,48483000000.000000,,,,,-187554000000.000000,-199020000000.000000,-13598000000.000000,-3661699000000.000000,241788000000.000000,1107312000000.000000,1107312000000.000000,1107312000000.000000,1349100000000.000000,-19565000000.000000,-19565000000.000000,,-19565000000.000000,1329535000000.000000,,,1329535000000.000000,-93044000000.000000,,-93044000000.000000,-93044000000.000000,1236491000000.000000,1329535000000.000000,797824000000.000000,531711000000.000000,1329535000000.000000,1236491000000.000000,758430000000.000000,478061000000.000000,1236491000000.000000
12M 2014,4748510000000.000000,,,4002136000000.000000,-214095000000.000000,-51990000000.000000,53226000000.000000,2117000000.000000,668014000000.000000,80472000000.000000,206158000000.000000,2472000000.000000,4748510000000.000000,-4212088000000.000000,-2502174000000.000000,121068000000.000000,,,,,-8943000000.000000,-409193000000.000000,-1412846000000.000000,-4212088000000.000000,536422000000.000000,1127394000000.000000,1127394000000.000000,1127394000000.000000,1663816000000.000000,-25498000000.000000,-25498000000.000000,,-25498000000.000000,1638318000000.000000,,,1638318000000.000000,40070000000.000000,,40070000000.000000,40070000000.000000,1678388000000.000000,1638318000000.000000,934005000000.000000,704313000000.000000,1638318000000.000000,1678388000000.000000,956741000000.000000,721647000000.000000,1678388000000.000000
12M 2015,5240137000000.000000,,,4681913000000.000000,-300910000000.000000,12215000000.000000,-11363000000.000000,,964554000000.000000,26732000000.000000,-158271000000.000000,25267000000.000000,5240137000000.000000,-4607256000000.000000,-4541400000000.000000,107703000000.000000,,,,,-292894000000.000000,-589729000000.000000,709064000000.000000,-4607256000000.000000,632881000000.000000,654149000000.000000,654149000000.000000,654149000000.000000,1287030000000.000000,-18534000000.000000,-25212000000.000000,6678000000.000000,-18534000000.000000,1268496000000.000000,,,1268496000000.000000,282000000.000000,,282000000.000000,282000000.000000,1268778000000.000000,1268496000000.000000,625838000000.000000,642658000000.000000,1268496000000.000000,1268778000000.000000,634130000000.000000,634648000000.000000,1268778000000.000000
12M 2016,5174332000000.000000,,,3602671000000.000000,-74821000000.000000,-2615000000.000000,799000000.000000,,738440000000.000000,695259000000.000000,199717000000.000000,14882000000.000000,5174332000000.000000,-4036254000000.000000,-3332354000000.000000,58223000000.000000,,,,,-216882000000.000000,-483944000000.000000,-61297000000.000000,-4036254000000.000000,1138078000000.000000,1172858000000.000000,1172858000000.000000,1172858000000.000000,2310936000000.000000,-447000000.000000,,-447000000.000000,-447000000.000000,2310489000000.000000,,84666000000.000000,2395155000000.000000,3212164000000.000000,,3212164000000.000000,3212164000000.000000,5607319000000.000000,2395155000000.000000,1550112000000.000000,845043000000.000000,2395155000000.000000,5607319000000.000000,3318039000000.000000,2289280000000.000000,5607319000000.000000
12M 2017,5379132000000.000000,,,4209352000000.000000,-100035000000.000000,-4312000000.000000,632000000.000000,,949638000000.000000,66998000000.000000,201336000000.000000,55523000000.000000,5379132000000.000000,-4604449000000.000000,-4148041000000.000000,58567000000.000000,,,,,-262277000000.000000,-426402000000.000000,173704000000.000000,-4604449000000.000000,774683000000.000000,1115205000000.000000,1115205000000.000000,1115205000000.000000,1889888000000.000000,-26400000000.000000,-25143000000.000000,-1257000000.000000,-26400000000.000000,1863488000000.000000,,,1863488000000.000000,70628000000.000000,,70628000000.000000,70628000000.000000,1934116000000.000000,1863488000000.000000,1044773000000.000000,818715000000.000000,1863488000000.000000,1934116000000.000000,1062819000000.000000,871297000000.000000,1934116000000.000000
