Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Properti Investasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Sewa Pembiayaan,Utang Usaha,Utang Pajak,Utang Lain-Lain,Utang Pembiayaan,Beban Akrual,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,,28701555329.000000,,1191163921.000000,1191163921.000000,1191163921.000000,54948002.000000,54948002.000000,,54948002.000000,658708735.000000,1335232549.000000,31941608536.000000,,83828649014.000000,18599316402.000000,468153700.000000,312555000.000000,103208674116.000000,135150282652.000000,,,8366416143.000000,129858146.000000,1672692830.000000,500159870.000000,4506059011.000000,,525858830.000000,1031787456.000000,8366416143.000000,2391316741.000000,286020993.000000,,,2105295748.000000,2391316741.000000,10757732884.000000,,30000000000.000000,18675575000.000000,4306856891.000000,,4306856891.000000,4306856891.000000,71410117877.000000,124392549768.000000,135150282652.000000,6000.000000
12M 2018,,,30776581123.000000,,685674746.000000,685674746.000000,685674746.000000,284054477.000000,284054477.000000,,284054477.000000,909124287.000000,706107445.000000,33361542078.000000,,78083020679.000000,18533951889.000000,1373335252.000000,204190000.000000,98194497820.000000,131556039898.000000,,,5501154562.000000,71093768.000000,1701393220.000000,501713649.000000,1782250210.000000,,559276908.000000,885426807.000000,5501154562.000000,2427601779.000000,106562225.000000,,,2321039554.000000,2427601779.000000,7928756341.000000,,30000000000.000000,18675575000.000000,3541590680.000000,,3541590680.000000,3541590680.000000,71410117877.000000,123627283557.000000,131556039898.000000,6000.000000
12M 2019,,,25439166272.000000,2000000000.000000,489220167.000000,489220167.000000,489220167.000000,6872772161.000000,6872772161.000000,,6872772161.000000,644085417.000000,71467209.000000,35516711226.000000,,72688645150.000000,18468587376.000000,2425142118.000000,204190000.000000,93786564644.000000,129303275870.000000,,,4180360548.000000,25175476.000000,1589268371.000000,512332040.000000,645589760.000000,,540662240.000000,867332661.000000,4180360548.000000,2747302448.000000,81386749.000000,,,2665915699.000000,2747302448.000000,6927662996.000000,,30000000000.000000,18675575000.000000,2289919997.000000,,2289919997.000000,2289919997.000000,71410117877.000000,122375612874.000000,129303275870.000000,6000.000000
12M 2020,,,17891581151.000000,,143557615.000000,143557615.000000,143557615.000000,762106634.000000,730726421.000000,31380213.000000,762106634.000000,589755572.000000,1686289048.000000,21073290020.000000,,71510425775.000000,57178912500.000000,,48207166018.000000,176896504293.000000,197969794313.000000,,,3752142703.000000,4111072.000000,676135410.000000,634665438.000000,395963621.000000,,313100530.000000,1728166632.000000,3752142703.000000,51993962844.000000,41824733519.000000,,8665386135.000000,1503843190.000000,51993962844.000000,55746105547.000000,,30000000000.000000,18675575000.000000,18557071703.000000,,18557071703.000000,18557071703.000000,74991042063.000000,142223688766.000000,197969794313.000000,300000000.000000
12M 2021,,,30597196003.000000,,332580956.000000,332580956.000000,332580956.000000,28315890.000000,,28315890.000000,28315890.000000,286932350.000000,235923233.000000,31480948432.000000,,73476136395.000000,57110562500.000000,,43354877167.000000,173941576062.000000,205422524494.000000,,,8467613812.000000,4795215000.000000,726326557.000000,844427758.000000,388533912.000000,,468567713.000000,1244542872.000000,8467613812.000000,42426706910.000000,34164770060.000000,,6437878457.000000,1824058393.000000,42426706910.000000,50894320722.000000,,45000000000.000000,23183372390.000000,11353789319.000000,100000000.000000,11253789319.000000,11353789319.000000,74991042063.000000,154528203772.000000,205422524494.000000,450000000.000000
12M 2022,,,22558007732.000000,,1993415691.000000,1993415691.000000,1993415691.000000,43030340.000000,,43030340.000000,43030340.000000,539065114.000000,546803438.000000,25680322315.000000,,81275092386.000000,57042212500.000000,,39041963390.000000,177359268276.000000,203039590591.000000,,,13834212295.000000,8520944222.000000,1296489110.000000,631170791.000000,1003950240.000000,,1361267098.000000,1020390834.000000,13834212295.000000,39529570795.000000,31997440240.000000,,6020305837.000000,1511824718.000000,39529570795.000000,53363783090.000000,,45000000000.000000,23183372390.000000,6501393048.000000,200000000.000000,6301393048.000000,6501393048.000000,74991042063.000000,149675807501.000000,203039590591.000000,450000000.000000
12M 2023,,,21121345481.000000,,565556983.000000,565556983.000000,565556983.000000,170756822.000000,103284000.000000,67472822.000000,170756822.000000,708828628.000000,1411751289.000000,23978239203.000000,,105443582915.000000,58931000000.000000,,29270331488.000000,193644914403.000000,217623153606.000000,,,13760100647.000000,6093771033.000000,2301923461.000000,715459005.000000,2109201389.000000,228122224.000000,1771623535.000000,540000000.000000,13760100647.000000,34200886243.000000,26492602309.000000,,6407186596.000000,1301097338.000000,34200886243.000000,47960986890.000000,,45000000000.000000,23183372390.000000,9392753000.000000,300000000.000000,9092753000.000000,9392753000.000000,92086041326.000000,169662166716.000000,217623153606.000000,450000000.000000
12M 2024,,,23851781349.000000,,1429766663.000000,1429766663.000000,1429766663.000000,126417481.000000,108448166.000000,17969315.000000,126417481.000000,843921012.000000,910784687.000000,27162671192.000000,,102273701655.000000,58797805970.000000,,25552362024.000000,186623869649.000000,213786540841.000000,,,11714007677.000000,4007150000.000000,2571751472.000000,647338377.000000,2566528986.000000,97766664.000000,1283472178.000000,540000000.000000,11714007677.000000,33997579266.000000,26492602309.000000,32588896.000000,6282658532.000000,1189729529.000000,33997579266.000000,45711586943.000000,,45000000000.000000,23183372390.000000,7805540182.000000,400000000.000000,7405540182.000000,7805540182.000000,92086041326.000000,168074953898.000000,213786540841.000000,450000000.000000
