Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2017,0.00,20732091.63,0.00,20732091.63,0 B,0 B,0 B,(28 B),24 B
12M 2018,0.00,20604547.26,0.00,20604547.26,0 B,0 B,0 B,(31 B),28 B
12M 2019,0.00,20395935.48,0.00,20395935.48,0 B,0 B,0 B,(25 B),31 B
12M 2020,0.00,474.08,0.00,474.08,0 B,42 B,42 B,24 B,17 B
12M 2021,2.62,343.40,2.62,343.40,5 B,34 B,39 B,8 B,23 B
12M 2022,1.86,332.61,1.86,332.61,9 B,32 B,41 B,18 B,12 B
12M 2023,1.37,377.03,1.37,377.03,6 B,26 B,33 B,12 B,10 B
12M 2024,1.87,373.50,1.87,373.50,4 B,27 B,31 B,7 B,15 B
