Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Aset Tetap,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Pembiayaan Konsumen,Utang Sewa Pembiayaan,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2020,,,24014000000.000000,2839000000.000000,2839000000.000000,,2839000000.000000,,,,,6508000000.000000,688000000.000000,34049000000.000000,,7461000000.000000,,7461000000.000000,7461000000.000000,25000000.000000,62932000000.000000,10101000000.000000,80519000000.000000,114568000000.000000,,,28092000000.000000,27397000000.000000,,,268000000.000000,268000000.000000,,,,,4000000.000000,423000000.000000,,,,,,28092000000.000000,114000000.000000,,,,,114000000.000000,114000000.000000,28206000000.000000,,85629000000.000000,,733000000.000000,,733000000.000000,733000000.000000,,86362000000.000000,114568000000.000000,85629.000000
12M 2021,,,18254000000.000000,8393000000.000000,8393000000.000000,,8393000000.000000,27000000.000000,27000000.000000,,27000000.000000,22882000000.000000,5698000000.000000,55254000000.000000,,6306000000.000000,,6306000000.000000,6306000000.000000,28000000.000000,70018000000.000000,3669000000.000000,80021000000.000000,135275000000.000000,,,40930000000.000000,39296000000.000000,,,,,,,,,3000000.000000,1471000000.000000,,110000000.000000,50000000.000000,160000000.000000,,40930000000.000000,755000000.000000,,229000000.000000,400000000.000000,629000000.000000,126000000.000000,755000000.000000,41685000000.000000,,85629000000.000000,,7931000000.000000,,7931000000.000000,7931000000.000000,29000000.000000,93589000000.000000,135274000000.000000,856290000.000000
12M 2022,,,36428101331.000000,10430396000.000000,10430396000.000000,,10430396000.000000,,,,,58309004880.000000,9839763724.000000,115007265935.000000,,,,,,45717205.000000,73344805684.000000,5339387564.000000,78729910453.000000,193737176388.000000,,,46897800408.000000,45929683360.000000,,776084672.000000,,776084672.000000,,,,,3073126.000000,22538180.000000,,116421070.000000,50000000.000000,166421070.000000,,46897800408.000000,1345819151.000000,,113013674.000000,1025000000.000000,1138013674.000000,207805477.000000,1345819151.000000,48243619559.000000,,107036250000.000000,28937472373.000000,9484471059.000000,1586113167.000000,7898357892.000000,9484471059.000000,35363398.000000,145493556830.000000,193737176389.000000,1070362500.000000
12M 2023,,,31858301496.000000,30704995420.000000,30704995420.000000,,30704995420.000000,,,,,37909546126.000000,16996300704.000000,117469143746.000000,,,,,,83513728.000000,85178456590.000000,16048116128.000000,101310086446.000000,218779230192.000000,,,68764144798.000000,68056609216.000000,,,,,,,,,3226254.000000,541295570.000000,,113013758.000000,50000000.000000,163013758.000000,,68764144798.000000,1354607856.000000,,,975000000.000000,975000000.000000,379607856.000000,1354607856.000000,70118752654.000000,,107036250000.000000,28937472373.000000,12692249924.000000,2086113167.000000,10606136757.000000,12692249924.000000,-5494759.000000,148660477538.000000,218779230192.000000,1070362500.000000
12M 2024,,,51795598666.000000,29857420000.000000,29857420000.000000,,29857420000.000000,,,,,14556283911.000000,16346572634.000000,112555875211.000000,,,,,,104660764.000000,89227401299.000000,19504160383.000000,108836222446.000000,221392097657.000000,,,70531779333.000000,70027997664.000000,,327209963.000000,,327209963.000000,,,,,3481678.000000,123090028.000000,,,50000000.000000,50000000.000000,,70531779333.000000,725730748.000000,,,250000000.000000,250000000.000000,475730748.000000,725730748.000000,71257510081.000000,,107036250000.000000,28937472373.000000,14141370040.000000,2086113167.000000,12055256873.000000,14141370040.000000,19495163.000000,150134587576.000000,221392097657.000000,1070362500.000000
