Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Usaha,Utang Muka Pembelian,Pembayaran Operasi Lainnya,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Kas Dari Pinjaman Kepada Pihak Berelasi,Uang Muka Pembelian,Pinjaman Yang Diberikan Kepada Pihak Berelasi,Perolehan Aset Tetap,Keuntungan Penjualan At,Penambahan Aset Dalam Penyelesaian,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari:,Agio Saham,Utang Bank Jangka Pendek,Utang Lain-Lain Pihak Berelasi,Setoran Modal,Total Penerimaan Dari:,Pembayaran Untuk:,Utang Bank Jangka Pendek,Utang Pembiayaan Konsumen,Utang Sewa,Total Pembayaran Untuk:,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2020,-1605000000.000000,129184000000.000000,-129100000000.000000,-991000000.000000,,-308000000.000000,-390000000.000000,-1605000000.000000,-1792000000.000000,,,-1792000000.000000,,,,-1792000000.000000,25000000000.000000,,,74239000000.000000,,,74239000000.000000,,-49239000000.000000,,,-49239000000.000000,25000000000.000000,21603000000.000000,,15000000.000000,21618000000.000000
12M 2021,-18473000000.000000,183289000000.000000,-193149000000.000000,-3391000000.000000,,-3253000000.000000,-1969000000.000000,-18473000000.000000,926000000.000000,1156000000.000000,,,-230000000.000000,,,926000000.000000,14183000000.000000,,,125134000000.000000,,,125134000000.000000,,-110838000000.000000,-63000000.000000,-50000000.000000,-110951000000.000000,14183000000.000000,-3364000000.000000,,21617000000.000000,18253000000.000000
12M 2022,-37362291985.000000,178832220989.000000,-202995187401.000000,-5507747539.000000,,-4361637914.000000,-3329940120.000000,-37362291985.000000,-882389959.000000,6305692895.000000,-3510000000.000000,,-105810224.000000,,-3572272630.000000,-882389959.000000,56418528373.000000,,28937472373.000000,65230570797.000000,,21407250000.000000,115575293170.000000,,-58597104240.000000,-109660557.000000,-450000000.000000,-59156764797.000000,56418528373.000000,18173846429.000000,,18254254902.000000,36428101331.000000
12M 2023,-17192799572.000000,341725871690.000000,-333224818387.000000,-4790447717.000000,-14007276249.000000,-6202429509.000000,-693699400.000000,-17192799572.000000,-9337505133.000000,,,,-286197973.000000,,-9051307160.000000,-9337505133.000000,21960504870.000000,,,114663227222.000000,,,114663227222.000000,,-92536301366.000000,-116420986.000000,-50000000.000000,-92702722352.000000,21960504870.000000,-4569799835.000000,,36428101331.000000,31858301496.000000
12M 2024,27706324764.000000,300289059985.000000,-258283304193.000000,-4460368755.000000,,-8769023729.000000,-1070038544.000000,27706324764.000000,-9577402284.000000,,-5121600000.000000,,-3220000.000000,,-4452582284.000000,-9577402284.000000,1808374690.000000,,,25961116066.000000,,,25961116066.000000,,-23989727618.000000,-113013758.000000,-50000000.000000,-24152741376.000000,1808374690.000000,19937297170.000000,,31858301496.000000,51795598666.000000
