Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2020,132023000000.000000,-123783000000.000000,8240000000.000000,-1441000000.000000,-141000000.000000,-1300000000.000000,-1441000000.000000,6799000000.000000,-309000000.000000,-309000000.000000,,-309000000.000000,6490000000.000000,-334000000.000000,-359000000.000000,25000000.000000,-334000000.000000,6156000000.000000,,,,6156000000.000000,6156000000.000000,6156000000.000000,,6156000000.000000,6156000000.000000,6156000000.000000,,6156000000.000000
12M 2021,188843000000.000000,-172536000000.000000,16307000000.000000,-3805000000.000000,-1202000000.000000,-2603000000.000000,-3805000000.000000,12502000000.000000,-3262000000.000000,-3503000000.000000,241000000.000000,-3262000000.000000,9240000000.000000,-2042000000.000000,-2053000000.000000,11000000.000000,-2042000000.000000,7198000000.000000,29000000.000000,29000000.000000,29000000.000000,7227000000.000000,7198000000.000000,7198000000.000000,,7198000000.000000,7227000000.000000,7227000000.000000,,7227000000.000000
12M 2022,180869381989.000000,-168167260965.000000,12702121024.000000,-5532939455.000000,-2122634178.000000,-3410305277.000000,-5532939455.000000,7169181569.000000,-5171754915.000000,-5208179420.000000,36424505.000000,-5171754915.000000,1997426654.000000,-443521433.000000,-463352560.000000,19831127.000000,-443521433.000000,1553905221.000000,6530980.000000,6530980.000000,6530980.000000,1560436201.000000,1553905221.000000,1553905221.000000,,1553905221.000000,1560436201.000000,1560436201.000000,,1560436201.000000
12M 2023,360878992832.000000,-344850903480.000000,16028089352.000000,-5702362886.000000,-1451291659.000000,-4251071227.000000,-5702362886.000000,10325726466.000000,-6202429509.000000,-6205106325.000000,2676816.000000,-6202429509.000000,4123296957.000000,-915518092.000000,-941790520.000000,26272428.000000,-915518092.000000,3207778865.000000,-40858157.000000,-40858157.000000,-40858157.000000,3166920708.000000,3207778865.000000,3207778865.000000,,3207778865.000000,3166920709.000000,3166920709.000000,,3166920709.000000
12M 2024,299441484564.000000,-284046968258.000000,15394516306.000000,-4748623317.000000,-335548000.000000,-4413075317.000000,-4748623317.000000,10645892989.000000,-8717825011.000000,-8560615636.000000,-157209375.000000,-8717825011.000000,1928067978.000000,-478947863.000000,-507143339.000000,28195476.000000,-478947863.000000,1449120115.000000,24989922.000000,24989922.000000,24989922.000000,1474110037.000000,1449120116.000000,1449120116.000000,,1449120116.000000,1474110038.000000,1474110038.000000,,1474110038.000000
