Period,Share Outstanding,EPS (Annual),PE Ratio (Annual),Price to Sales (Annual),EBITDA (Annual),Return on Assets (Annual),Return on Equity (Annual),Return on Capital Employed (Annual),Interest Coverage (Annual)
12M 2019,1.15 B,4.29,0.00,0.00,68.96 B,0.67%,1.24%,11.70%,2.29
12M 2020,1.44 B,-5.31,-171.37,13.59,49.87 B,-0.71%,-0.99%,2.27%,0.97
12M 2021,1.44 B,-3.70,-190.54,12.08,48.30 B,-0.51%,-0.70%,1.62%,1.12
12M 2022,1.44 B,4.00,68.00,3.98,59.38 B,0.55%,0.75%,2.46%,2.36
12M 2023,1.44 B,8.16,46.57,5.10,61.99 B,1.20%,1.48%,2.85%,4.46
12M 2024,1.44 B,7.54,36.87,3.34,60.99 B,1.13%,1.35%,2.81%,8.78
