Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2019,125700671039.0,-57827741522.0,67872929517.0,-28490144683.0,-34084500.0,-28653960801.0,-205606588.0,403507206.0,-28490144683.0,39382784834.0,-16388760779.0,791805277.0,-17180566056.0,-16388760779.0,22994024055.0,-18072228337.0,-11224431337.0,-6847797000.0,-18072228337.0,4921795718.0,167160720.0,5088956438.0,4921795718.0,4921907875.0,-112157.0,4921795718.0,5088956438.0,5089068192.0,-111754.0,5088956438.0
12M 2020,96117574668.000000,-51326014563.000000,44791560105.000000,-25442696314.000000,-186123574.000000,-25244540998.000000,-60261239.000000,48229497.000000,-25442696314.000000,19348863791.000000,-18075052039.000000,1825596958.000000,-19900648997.000000,-18075052039.000000,1273811752.000000,-8897787377.000000,-8897787377.000000,,-8897787377.000000,-7623975625.000000,59725917.000000,-7564249708.000000,-7623975625.000000,-7623961710.000000,-13915.000000,-7623975625.000000,-7564249708.000000,-7564235818.000000,-13890.000000,-7564249708.000000
12M 2021,83747116116.000000,-49022186585.000000,34724929531.000000,-18215873382.000000,-122505621.000000,-17502955951.000000,38788137.000000,-629199947.000000,-18215873382.000000,16509056149.000000,-13871897726.000000,924168109.000000,-14796065835.000000,-13871897726.000000,2637158423.000000,-7953227407.000000,-7953227407.000000,,-7953227407.000000,-5316068984.000000,326160480.000000,-4989908504.000000,-5316068984.000000,-5316040489.000000,-28495.000000,-5316068984.000000,-4989908504.000000,-4989880128.000000,-28376.000000,-4989908504.000000
12M 2022,97965210524.000000,-55794867377.000000,42170343147.000000,-17389064604.000000,-88397009.000000,-17974334232.000000,724193512.000000,-50526875.000000,-17389064604.000000,24781278543.000000,-9434983457.000000,1068790258.000000,-10503773715.000000,-9434983457.000000,15346295086.000000,-9612136914.000000,-9612136914.000000,,-9612136914.000000,5734158172.000000,228286954.000000,5962445126.000000,5734158172.000000,5734160637.000000,-2465.000000,5734158172.000000,5962445126.000000,5962447430.000000,-2304.000000,5962445126.000000
12M 2023,106928671183.000000,-59078789345.000000,47849881838.000000,-20302245844.000000,-395599826.000000,-19732998486.000000,-172823904.000000,-823628.000000,-20302245844.000000,27547635994.000000,-5068963545.000000,1107249436.000000,-6176212981.000000,-5068963545.000000,22478672449.000000,-10761160410.000000,-10761160410.000000,,-10761160410.000000,11717512039.000000,28919854.000000,11746431893.000000,11717512039.000000,11717521638.000000,-9599.000000,11717512039.000000,11746431893.000000,11746441316.000000,-9423.000000,11746431893.000000
12M 2024,119352824644.000000,-61181726049.000000,58171098595.000000,-32454589557.000000,-378207970.000000,-32490179417.000000,460533119.000000,-46735289.000000,-32454589557.000000,25716509038.000000,-2704350524.000000,224198999.000000,-2928549523.000000,-2704350524.000000,23012158514.000000,-12193340072.000000,-12193340072.000000,,-12193340072.000000,10818818442.000000,414264577.000000,11233083019.000000,10818818442.000000,10818880900.000000,-62458.000000,10818818442.000000,11233083019.000000,11233145341.000000,-62322.000000,11233083019.000000
