Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Dari Pendapatan Bunga Dan Pendapatan Keuangan Lainnya,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi Lainnya",Pembayaran Beban Bunga Dan Beban Keuangan Lainnya,Pembayaran Pajak Penghasilan,Penerimaan Atas Pengembalian Ppn Tahun 2013,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Properti Investasi,Perolehan Aset Tetap,Penambahan Investasi Pada Entitas Asosiasi,Perolehan Proyek Dalam Penyelesaian,Pencairan (Penempatan) Uang Jaminan,Penambahan Uang Muka Jangka Panjang,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pihak Berelasi,Penerimaan Dari Efek Penawaran Umum Perdana,Agio Saham Sebagai Efek Dari Penawaran Umum Saham Perdana,Penerimaan Dari Kepentingan Non-Pengendali,Pembayaran Ke Pihak Berelasi,Penerimaan Pihak Ketiga,Pembayaran Ke Pihak Ketiga,Penerimaan Dari Pinjaman Konversi,Pembayaran Liabilitas Sewa,Pembayaran Utang Bank,Pembayaran Utang Pembiayaan Konsumen,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2019,54640992102.000000,118859946401.000000,791805276.000000,-58814003772.000000,-17180566056.000000,-2636113883.000000,13619924136.000000,54640992102.000000,-37422336704.000000,-19820396554.000000,-53778000.000000,,-17548162150.000000,,,-37422336704.000000,-19776354288.000000,49978125825.000000,,,,-29421230109.000000,,,,,-40080000000.000000,-253250004.000000,-19776354288.000000,-2557698890.000000,12752782583.000000,10195083693.000000
12M 2020,-70116042166.000000,98860032132.000000,1825596958.000000,-142003234882.000000,-19900648997.000000,-8897787377.000000,,-70116042166.000000,-294667341675.000000,-1762644090.000000,-162919364.000000,,-288418741699.000000,-4323036522.000000,,-294667341675.000000,362686151791.000000,23999988989.000000,14351850000.000000,362929250298.000000,,,,,,,-38405000000.000000,-189937496.000000,362686151791.000000,-2097232050.000000,10195083693.000000,8097851643.000000
12M 2021,32991230774.000000,82201331381.000000,924168109.000000,-27384975474.000000,-14796065835.000000,-7953227407.000000,,32991230774.000000,-8299895573.000000,-421002465.000000,,,-6000000000.000000,-1878893108.000000,,-8299895573.000000,-12126077817.000000,8517168710.000000,,,,-660102588.000000,,-3143939.000000,,,-19980000000.000000,,-12126077817.000000,12565257384.000000,8097851643.000000,20663109027.000000
12M 2022,47532443579.000000,100687345332.000000,1792983770.000000,-34798960482.000000,-10536788127.000000,-9612136914.000000,,47532443579.000000,-5990735836.000000,-52960556.000000,-37775280.000000,,-5900000000.000000,,,-5990735836.000000,-14513226774.000000,5520773226.000000,,,,,,,,-54000000.000000,-19980000000.000000,,-14513226774.000000,27028480969.000000,20663109027.000000,47691589996.000000
12M 2023,54689920887.000000,111037395765.000000,1107249436.000000,-40438921307.000000,-6254642597.000000,-10761160410.000000,,54689920887.000000,-307534315.000000,,-307534315.000000,,,,,-307534315.000000,-81118704462.000000,,,,,-142984868479.000000,12985120602.000000,,70000000000.000000,-167756585.000000,-19980000000.000000,-971200000.000000,-81118704462.000000,-26736317890.000000,47691589996.000000,20955272106.000000
12M 2024,48966460943.000000,125685885791.000000,-2687415583.000000,-62070673464.000000,,-11961335801.000000,,48966460943.000000,-4406626110.000000,-1556128975.000000,-850497135.000000,-2000000000.000000,,,,-4406626110.000000,-38395991078.000000,,,,,-4560000000.000000,-12824303273.000000,,,-215441352.000000,-19980000000.000000,-816246453.000000,-38395991078.000000,6163843755.000000,20955272106.000000,27119115861.000000
