Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok Dan Karyawan,Pendapatan Sewa,Penerimaan Bunga,Pengembalian Kelebihan Pembayaran Pajak,Tembusan Pengampunan Pajak,Denda Pajak,Beban Keuangan,Pajak Penghasilan Badan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penempatan Deposito Berjangka Terbatas Penggunaannya,Penempatan Deposito Berjangka,Pencairan Deposito Berjangka,Penempatan Investasi Pada Entitas Joint Venture,Penempatan Investasi Pada Entitas Anak,Penerimaan Dari Transaksi Pihak Berelasi,Penerimaan Dari Pelepasan Aset Tetap,Penerimaan Dari Pelepasan Entitas Anak,Penerimaan (Pembayaran) Untuk Aset Tidak Lancar Lainnya,Pembayaran Liabilitas Sewa,Penerimaan Dari Divestasi Ventura Bersama,Pembayaran Uang Muka Pembelian Aset Tetap,Perolehan Aset Tetap,Pembayaran Untuk Transaksi Dengan Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Pinjaman Bank Jangka Pendek,Penerimaan Dari Transaksi Pihak Berelasi,Pembayaran Untuk Transaksi Pihak Berelasi,Pembayaran Dividen Kas,Pembayaran Pinjaman Bank Jangka Panjang,Penurunan Liabilitas Sewa,Penurunan (Kenaikan) Dari Aktivitas Pendanaan Lainnya,Penerimaan Liabilitas Pembiayaan Konsumen,Pembayaran Liabilitas Pembiayaan Konsumen,Pembayaran Pinjaman Bank Jangka Pendek,Kenaikan (Penurunan) Piutang Pihak Hubungan Istimewa,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2015,27054273048.000000,266451659660.000000,-228533597727.000000,,69067867.000000,,,,-8214428958.000000,-2718427794.000000,27054273048.000000,-1035815936.000000,,,,,,5891682153.000000,832165344.000000,,-334950775.000000,,,,-1665712658.000000,-5759000000.000000,-1035815936.000000,-31416036223.000000,,,,-1176000000.000000,-2564774864.000000,,,,-1388805148.000000,-26286456211.000000,,-31416036223.000000,-5397579111.000000,3317605432.000000,-6674831.000000,-2086648510.000000
12M 2016,-26558163347.000000,237307944113.000000,-254464364315.000000,186270000.000000,78586197.000000,,-225000.000000,,-6978137352.000000,-2688236990.000000,-26558163347.000000,-5071905790.000000,,,,,,4004000000.000000,1323462737.000000,,-66216089.000000,,,,-4452112339.000000,-5881040099.000000,-5071905790.000000,39465053657.000000,113701775740.000000,,,,,,,,-397659530.000000,-73839062553.000000,,39465053657.000000,7834984520.000000,-2086648510.000000,1648475148.000000,7396811158.000000
12M 2017,-2828731183.000000,249409423414.000000,-243266109171.000000,126818182.000000,124518994.000000,,-1797765.000000,,-6579891617.000000,-2641693220.000000,-2828731183.000000,-260766550.000000,,,,,,7931108551.000000,248946362.000000,,-1507304409.000000,,,,-3991963904.000000,-2941553150.000000,-260766550.000000,5331285392.000000,87817102955.000000,,,,,,,,-385649731.000000,-82100167832.000000,,5331285392.000000,2241787659.000000,7396811158.000000,502723700.000000,10141322517.000000
12M 2018,8176988192.000000,295917026723.000000,-277250799458.000000,287500000.000000,196132919.000000,1310979057.000000,,-1685448024.000000,-7188295570.000000,-3410107455.000000,8176988192.000000,-13403573812.000000,,-10000000000.000000,,-391000000.000000,,111705926.000000,164568182.000000,,-3650000.000000,,,,-2694708998.000000,-590488922.000000,-13403573812.000000,6669593395.000000,123273551004.000000,,,,,,,,-344508921.000000,-116259448688.000000,,6669593395.000000,1443007775.000000,8105322517.000000,-560548553.000000,8987781739.000000
12M 2019,-3005831466.000000,269336605059.000000,-261727889078.000000,535950000.000000,292456628.000000,451831110.000000,,-864332211.000000,-8191519007.000000,-2838933967.000000,-3005831466.000000,4871744910.000000,,,10000000000.000000,-500000000.000000,-901500000.000000,506095120.000000,71354916.000000,,-386424857.000000,,,,-623836745.000000,-3293943524.000000,4871744910.000000,-3808281619.000000,107952019205.000000,,,,,,,,-163370336.000000,-111596930488.000000,,-3808281619.000000,-1942368175.000000,8987781739.000000,-874190870.000000,6171222694.000000
12M 2020,-5612086271.000000,261121639162.000000,-257278484660.000000,360750000.000000,200033186.000000,,,-130636655.000000,-7390807717.000000,-2494579587.000000,-5612086271.000000,-6105990298.000000,,,,,,984449225.000000,2311388849.000000,,-1116569369.000000,,,,-5397192066.000000,-2888066937.000000,-6105990298.000000,12798889638.000000,120801868793.000000,,,,,,,,-185220144.000000,-107817759011.000000,,12798889638.000000,1080813069.000000,6171222694.000000,1033627844.000000,8285663607.000000
12M 2021,-7056399585.000000,229294643326.000000,-226552461289.000000,45454545.000000,421143960.000000,,,-137586189.000000,-7922016870.000000,-2205577068.000000,-7056399585.000000,-4800129592.000000,,,,,,674201130.000000,545034220.000000,,2326313821.000000,-5051878087.000000,1025254996.000000,,-3391702082.000000,-927353590.000000,-4800129592.000000,14494227669.000000,57090667178.000000,,,,,,,,-92522206.000000,-42503917303.000000,,14494227669.000000,2637698492.000000,8285663607.000000,-435935884.000000,10487426215.000000
12M 2022,11298232612.000000,281180890529.000000,-261499121444.000000,101400000.000000,158953724.000000,1866651377.000000,,-50204278.000000,-8287693065.000000,-2172644231.000000,11298232612.000000,-1998786468.000000,,,,,,4955992650.000000,122087214.000000,,193017436.000000,-4754319817.000000,,,-2264005560.000000,-251558391.000000,-1998786468.000000,-8039864037.000000,79434679015.000000,,,,,,,,-51060314.000000,-87423482738.000000,,-8039864037.000000,1259582107.000000,807038532.000000,10487426215.000000,12554046854.000000
12M 2023,28888738018.000000,274826253178.000000,-241351713617.000000,1716400000.000000,775778969.000000,2406333517.000000,,-27992319.000000,-8397626708.000000,-1058695002.000000,28888738018.000000,-7492555395.000000,,,,,,,262532204.000000,,138600628.000000,-1265855553.000000,,,-6627832674.000000,,-7492555395.000000,-27559041415.000000,57415424531.000000,,-4955992650.000000,,,,,,-57699107.000000,-79960774189.000000,,-27559041415.000000,-6162858792.000000,12554046854.000000,-34572655.000000,6356615407.000000
12M 2024,13405847296.000000,283289875003.000000,-262087265693.000000,883360000.000000,788592919.000000,1722555579.000000,,-143229575.000000,-10833665752.000000,-214375185.000000,13405847296.000000,-3937282134.000000,,,,,,,1149324229.000000,,-284907964.000000,-1265433382.000000,,-369421608.000000,-3166843409.000000,,-3937282134.000000,3573798903.000000,59691810882.000000,,,,,,,,-195229472.000000,-55922782507.000000,,3573798903.000000,13042364065.000000,,275466943.000000,13317831008.000000
