Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Beban Penjualan,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2015,253898503677.000000,-167031189996.000000,86867313681.000000,-78023964399.000000,,-78023964399.000000,-78023964399.000000,8843349282.000000,-6063404046.000000,69067867.000000,-8214428958.000000,-934035344.000000,8340472471.000000,-5324480082.000000,-6063404046.000000,2779945236.000000,-1599124893.000000,1180820343.000000,-1529444541.000000,-348624198.000000,1180820343.000000,1703266283.000000,-522445940.000000,1180820343.000000,-348624198.000000,478592770.000000,-827216968.000000,,-348624198.000000
12M 2016,259541346239.000000,-170369325967.000000,89172020272.000000,-82070678363.000000,,-82070678363.000000,-82070678363.000000,7101341909.000000,-5575938921.000000,78586197.000000,-6978137352.000000,1893485176.000000,781003549.000000,-1350876491.000000,-5575938921.000000,1525402988.000000,-413728298.000000,1111674690.000000,81231246672.000000,82342921362.000000,1111674690.000000,1472124712.000000,-360450022.000000,1111674690.000000,82342921362.000000,82150930302.000000,191991060.000000,,82342921362.000000
12M 2017,243363641670.000000,-160393898637.000000,82969743033.000000,-84420812168.000000,,-84420812168.000000,-84420812168.000000,-1451069135.000000,-9808737922.000000,124518994.000000,-6579891617.000000,-741359301.000000,129785414.000000,-2741791412.000000,-9808737922.000000,-11259807057.000000,495029333.000000,-10764777724.000000,4736781794.000000,-6027995930.000000,-10764777724.000000,-10110342005.000000,-654435719.000000,-10764777724.000000,-6027995930.000000,-5496861412.000000,-531134518.000000,,-6027995930.000000
12M 2018,287105961308.000000,-189525310944.000000,97580650364.000000,-85754654983.000000,,-85754654983.000000,-85754654983.000000,11825995381.000000,-9378676377.000000,196132919.000000,-7188295570.000000,-461213513.000000,155587425.000000,-2080887638.000000,-9378676377.000000,2447319004.000000,-2844054130.000000,-396735126.000000,2857004214.000000,2460269088.000000,-396735126.000000,884537199.000000,-1281272325.000000,-396735126.000000,2460269088.000000,3867521545.000000,-1407252457.000000,,2460269088.000000
12M 2019,281109377690.000000,-182172453181.000000,98936924509.000000,-84644051464.000000,,-84644051464.000000,-84644051464.000000,14292873045.000000,-11217635068.000000,292456628.000000,-8191519007.000000,115695120.000000,71199996.000000,-3505467805.000000,-11217635068.000000,3075237977.000000,-1823733662.000000,1251504315.000000,6248627456.000000,7500131771.000000,1251504315.000000,1251515531.000000,-11216.000000,1251504315.000000,7500131771.000000,7500126130.000000,5641.000000,,7500131771.000000
12M 2020,251135073681.000000,-160924558001.000000,90210515680.000000,-87801742427.000000,,-87801742427.000000,-87801742427.000000,2408773253.000000,-1382516432.000000,200033186.000000,-7390807717.000000,-1033627844.000000,2238670099.000000,4603215844.000000,-1382516432.000000,1026256821.000000,1335331039.000000,2361587860.000000,15713608446.000000,18075196306.000000,2361587860.000000,2361562006.000000,25854.000000,2361587860.000000,18075196306.000000,18075175412.000000,20894.000000,,18075196306.000000
12M 2021,239463882155.000000,-153209553261.000000,86254328894.000000,-75841349257.000000,,-75841349257.000000,-75841349257.000000,10412979637.000000,-16215774898.000000,421143960.000000,-7922016870.000000,435935884.000000,545034220.000000,-9695872092.000000,-16215774898.000000,-5802795261.000000,2411415227.000000,-3391380034.000000,6526044745.000000,3134664711.000000,-3391380034.000000,-3391380978.000000,944.000000,-3391380034.000000,3134664711.000000,3134662061.000000,2650.000000,,3134664711.000000
12M 2022,285154421885.000000,-186425786692.000000,98728635193.000000,-82835815714.000000,-75937892224.000000,-6897923490.000000,-82835815714.000000,15892819479.000000,-12181431036.000000,158953724.000000,-8287693065.000000,-807038532.000000,122087214.000000,-3367740377.000000,-12181431036.000000,3711388443.000000,-1488664898.000000,2222723545.000000,-132994410.000000,2089729135.000000,2222723545.000000,2222714098.000000,9447.000000,2222723545.000000,2089729135.000000,2089719301.000000,9834.000000,,2089729135.000000
12M 2023,259866255082.0,-166822984714.0,93043270368.0,-82943804152.0,-77163159490.0,-5780644662.0,-82943804152.0,10099466216.0,-8405529035.0,775778969.0,-8397626708.0,-34572655.0,262532204.0,-1011640845.0,-8405529035.0,1693937181.0,-437657397.0,1256279784.0,-815103561.0,441176223.0,1256279785.0,1256274954.0,4831.0,1256279785.0,441176223.0,441177445.0,3609.0,-4831.0,441176223.0
12M 2024,287085798251.000000,-183099326338.000000,103986471913.000000,-89426881684.000000,-84223018967.000000,-5203862717.000000,-89426881684.000000,14559590229.000000,-10584743840.000000,788592919.000000,-10833665752.000000,275466942.000000,2119763078.000000,-2934901027.000000,-10584743840.000000,3974846389.000000,-2445757554.000000,1529088835.000000,665696083.000000,2194784918.000000,1529088835.000000,1529077787.000000,11048.000000,1529088835.000000,2194784918.000000,2194771892.000000,13026.000000,,2194784918.000000
