Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Tetap,Piutang Pihak Berelasi,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Pajak Tangguhan,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2015,,,7318464061.000000,,49767095123.000000,,,49767095123.000000,2469588547.000000,,,2469588547.000000,68552603554.000000,11811364472.000000,139919115757.000000,,47931661765.000000,9812148831.000000,6453725558.000000,12662779217.000000,76860315371.000000,216779431128.000000,,,107503866184.000000,41479680796.000000,40118995086.000000,,,40118995086.000000,16393963764.000000,,,16393963764.000000,5083055192.000000,4030511816.000000,,397659530.000000,397659530.000000,,107503866184.000000,27205590470.000000,,,493727807.000000,493727807.000000,26711862663.000000,27205590470.000000,134709456654.000000,,58800000000.000000,9493661461.000000,21853695593.000000,,,21853695593.000000,2801941954.000000,-10879324534.000000,82069974474.000000,216779431128.000000,58800000.000000
12M 2016,,,7396811158.000000,,72391021867.000000,,,72391021867.000000,4179076843.000000,,,4179076843.000000,69485180169.000000,9932543047.000000,163384633084.000000,,145559866711.000000,5971654267.000000,,14757575843.000000,166289096821.000000,329673729905.000000,,,121237867356.000000,71937281412.000000,30076542925.000000,,,30076542925.000000,10723142305.000000,,,10723142305.000000,4637310332.000000,3557800094.000000,,305790288.000000,305790288.000000,,121237867356.000000,44087012333.000000,20188827109.000000,,187937519.000000,187937519.000000,23710247705.000000,44087012333.000000,165324879689.000000,,58800000000.000000,9501161461.000000,23325820305.000000,,,23325820305.000000,2922387394.000000,69799481056.000000,164348850216.000000,329673729905.000000,588000000.000000
12M 2017,,,10141322517.000000,,66140460537.000000,,,66140460537.000000,1166691894.000000,,,1166691894.000000,83341028017.000000,19005792740.000000,179795295705.000000,,148859723275.000000,2400895976.000000,,10693355752.000000,161953975003.000000,341749270708.000000,,,133160969139.000000,77654216535.000000,37079457348.000000,,,37079457348.000000,12903731068.000000,,,12903731068.000000,880387396.000000,4372856319.000000,,270320473.000000,270320473.000000,,133160969139.000000,50231491983.000000,20930426634.000000,,171552330.000000,171552330.000000,29129513019.000000,50231491983.000000,183392461122.000000,,58800000000.000000,9537116761.000000,13215478300.000000,,,13215478300.000000,2144650474.000000,74659564051.000000,158356809586.000000,341749270708.000000,588000000.000000
12M 2018,,,8987781739.000000,10000000000.000000,57146592922.000000,,,57146592922.000000,1276222831.000000,,,1276222831.000000,91723060482.000000,23294020329.000000,192427678303.000000,,143491435038.000000,2513408932.000000,61578537.000000,5093580001.000000,151160002508.000000,343587680811.000000,,,134950274894.000000,84979603958.000000,25736846684.000000,,,25736846684.000000,18944515058.000000,,,18944515058.000000,754860464.000000,4371078394.000000,,163370336.000000,163370336.000000,,134950274894.000000,47640327243.000000,21602023572.000000,,219993546.000000,219993546.000000,25818310125.000000,47640327243.000000,182590602137.000000,,58800000000.000000,9537116761.000000,14100015499.000000,,,14100015499.000000,1169358281.000000,77390588133.000000,160997078674.000000,343587680811.000000,588000000.000000
12M 2019,,,6171222694.000000,,68893199273.000000,,,68893199273.000000,3419869593.000000,,,3419869593.000000,86970795409.000000,21876917563.000000,187332004532.000000,,146859679556.000000,1266131700.000000,63896811.000000,4550915710.000000,152740623777.000000,340072628309.000000,,,127039580123.000000,81404840474.000000,27771259760.000000,,,27771259760.000000,15098521263.000000,,,15098521263.000000,1042935365.000000,1549441516.000000,,172581745.000000,172581745.000000,,127039580123.000000,46425370697.000000,22491215307.000000,,47411819.000000,47411819.000000,23886743571.000000,46425370697.000000,173464950820.000000,,58800000000.000000,9521891461.000000,15351531030.000000,,,15351531030.000000,4799994425.000000,78134260573.000000,166607677489.000000,340072628309.000000,588000000.000000
12M 2020,,,8285663607.000000,,46003111769.000000,,,46003111769.000000,16805776273.000000,,,16805776273.000000,78631807448.000000,21812152139.000000,171538511236.000000,,153349028782.000000,1085071676.000000,25987802.000000,18962667606.000000,173422755866.000000,344961267102.000000,,,126018348235.000000,94218971958.000000,13037898324.000000,,,13037898324.000000,8830915345.000000,,,8830915345.000000,1609667056.000000,2734280396.000000,,5586615156.000000,5586615156.000000,,126018348235.000000,56762801157.000000,21135167837.000000,,4847272823.000000,4847272823.000000,30780360497.000000,56762801157.000000,182781149392.000000,,58800000000.000000,9521891461.000000,6947837483.000000,,,6947837483.000000,15319.000000,86910373447.000000,162180117710.000000,344961267102.000000,588000000.000000
12M 2021,,,10487426215.000000,,45698824592.000000,,,45698824592.000000,17705239091.000000,,,17705239091.000000,85628164963.000000,13500141644.000000,173019796505.000000,,162106480270.000000,,81092823.000000,15721311162.000000,177908884255.000000,350928680760.000000,,,139767772976.000000,108971415088.000000,,15924279980.000000,469375587.000000,16393655567.000000,,7278437257.000000,139377521.000000,7417814778.000000,726873172.000000,1544463219.000000,,4713551152.000000,4713551152.000000,,139767772976.000000,45846125363.000000,20599701708.000000,,133721671.000000,133721671.000000,25112701984.000000,45846125363.000000,185613898339.000000,,58800000000.000000,9521891461.000000,3556456505.000000,480372551.000000,3076083954.000000,3556456505.000000,17969.000000,93436416486.000000,165314782421.000000,350928680760.000000,588000000.000000
12M 2022,,,12554046854.000000,,50669333320.000000,50669333320.000000,,50669333320.000000,13718706407.000000,13606525537.000000,112180870.000000,13718706407.000000,80555999787.000000,11716317178.000000,169214403546.000000,,170060930601.000000,,167216293.000000,11648875186.000000,181877022080.000000,351091425626.000000,,,136732316074.000000,100982611366.000000,,16534826070.000000,515451609.000000,17050277679.000000,,6661982594.000000,4955992650.000000,11617975244.000000,3208832855.000000,3786297605.000000,,86321325.000000,86321325.000000,,136732316074.000000,46954597996.000000,21904017130.000000,,48295931.000000,48295931.000000,25002284935.000000,46954597996.000000,183686914070.000000,,58800000000.000000,9521891461.000000,5779170603.000000,480372551.000000,5298798052.000000,5779170603.000000,27803.000000,93303421689.000000,167404511556.000000,351091425626.000000,588000000.000000
12M 2023,,,6356615407.000000,,35709335224.000000,35709335224.000000,,35709335224.000000,10737668820.000000,10369531781.000000,368137039.000000,10737668820.000000,90134351670.000000,13508634352.000000,156446605473.000000,,173833074230.000000,,167216293.000000,15476208867.000000,189476499390.000000,345923104863.000000,,,127816989913.000000,78437261708.000000,,27283228716.000000,651786203.000000,27935014919.000000,,7196834685.000000,673752862.000000,7870587547.000000,8808446778.000000,3451855867.000000,,1313823094.000000,1313823094.000000,,127816989913.000000,50260427170.000000,21807757722.000000,4650046905.000000,,4650046905.000000,23802622543.000000,50260427170.000000,178077417083.000000,,58800000000.000000,9521891461.000000,7035445557.000000,480372551.000000,6555073006.000000,7035445557.000000,31412.000000,92488319350.000000,167845687780.000000,345923104863.000000,588000000.000000
12M 2024,,,19126054628.000000,,39505258472.000000,39505258472.000000,,39505258472.000000,15411300148.000000,14949030108.000000,462270040.000000,15411300148.000000,89229464806.000000,12668204933.000000,175940282987.000000,,171787367064.000000,,384775821.000000,14614769369.000000,186786912254.000000,362727195241.000000,,,142733385039.000000,92690314756.000000,,28198142130.000000,,28198142130.000000,,7897043783.000000,431048322.000000,8328092105.000000,2066048158.000000,10179870504.000000,,1270917386.000000,1270917386.000000,,142733385039.000000,49339702838.000000,24362842030.000000,3967806972.000000,,3967806972.000000,21009053836.000000,49339702838.000000,192073087877.000000,,58800000000.000000,9521891461.000000,8564523344.000000,480372551.000000,8084150793.000000,8564523344.000000,613679104.000000,93154013455.000000,170654107364.000000,362727195241.000000,588000000.000000
