Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Penerimaan Jasa Giro Dll,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Pencairan Bank Garansi,Penerimaan Dari Piutang Lain-Lain,Penerimaan (Pembayaran) Lainnya,Pembayaran Bunga Pinjaman Bank,Pembayaran Bunga Pinjaman Pihak Ketiga,Penerimaan Bunga,Penerimaan Dari (Pembayaran Kepada) Pihak Berelasi,Pembayaran Pajak Penghasilan,Penerimaan (Pembayaran) Lain-Lain,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penjualan Aset Tetap,Perolehan Aset Tetap,Perolehan Aset Tak Berwujud,Pembayaran Novasi Piutang,Penjualan Aset Dimiliki Untuk Dijual,Perolehan Aset Dalam Pelaksanaan,Penambahan Piutang Berelasi,Akuisisi Entitas Anak,Uang Muka Investasi,Kenaikan (Penurunan) Kas Yang Dibatasi Penggunaannya,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Pihak Berelasi,Penerimaan (Penambahan) Pinjaman Pihak Ketiga,Penerimaan Dana Hibah Dari Dinas Pariwisata,Penerimaan Pinjaman Jangka Pendek,Pembayaran Pinjaman Jangka Pendek,Penerimaan Pinjaman Bank,Pembayaran Kembali Utang Bank,Pembayaran Utang Bank,Pembayaran Kembali Utang Pihak Ketiga,Pelaksanaan Waran,Penambahan Utang Bank,Biaya Emisi Saham,Tambahan Modal Dari Aset Pengampunan Pajak,Uang Muka Setoran Modal,Penerimaan Tambahan Setoran Modal,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2014,-18974529003.000000,50323219036.000000,,-26944370769.000000,-19927580834.000000,,,-8599209554.000000,-14080470877.000000,,253883995.000000,,,,-18974529003.000000,-653958119038.000000,,-24234498900.000000,,-259514259008.000000,,,,-356276262846.000000,,-13933098284.000000,-653958119038.000000,680112613741.000000,43706775664.000000,,,,,,-6981482574.000000,,,20750000.000000,13000000000.000000,-5133429349.000000,,,635500000000.000000,680112613741.000000,7179965700.000000,3785403196.000000,,10965368896.000000
12M 2015,-50058909522.000000,70441377907.000000,,-61063694683.000000,-26908759289.000000,,,-3139056497.000000,-24829909453.000000,-4917647059.000000,358779552.000000,,,,-50058909522.000000,650326262.000000,,-8117459757.000000,,,7098000000.000000,,,,,1669786019.000000,650326262.000000,49084390665.000000,52670688335.000000,20000000000.000000,,,,,-23611947670.000000,,,25650000.000000,,,,,,49084390665.000000,-324192595.000000,10965368895.000000,,10641176300.000000
12M 2016,-31824419643.000000,72929865965.000000,,-55662487649.000000,-26004076541.000000,,,,-20166410105.000000,-3938332942.000000,1017021629.000000,,,,-31824419643.000000,-149695049114.000000,,-6884060101.000000,,,,,,,,-142810989013.000000,-149695049114.000000,178920139784.000000,49534106160.000000,24046300000.000000,,,,,-24492040436.000000,,-20000000000.000000,4834113500.000000,,,,,144997660560.000000,178920139784.000000,-2599328973.000000,10641176300.000000,,8041847327.000000
12M 2017,-6160794267.000000,67515807553.000000,,-52863871969.000000,-19100424225.000000,,,,-1309521271.000000,-1523520339.000000,1120735984.000000,,,,-6160794267.000000,109777064653.000000,,-5297236627.000000,,,,,,,-40000000000.000000,155074301280.000000,109777064653.000000,-102107105539.000000,-144039460695.000000,-8833250000.000000,,,,,-155074299274.000000,,,,,-2915085110.000000,10000000.000000,,208744989540.000000,-102107105539.000000,1509164847.000000,8041847327.000000,,9551012174.000000
12M 2018,3576558584.000000,74395272738.000000,,-44491359557.000000,-25141136631.000000,,,,,-1211484648.000000,25266682.000000,,,,3576558584.000000,-1208507394.000000,14000000.000000,-1222507394.000000,,,,,,,,,-1208507394.000000,,,,,,,,,,,,,,,,,,2354051190.000000,9551012174.000000,,11905063364.000000
12M 2019,1110329110.000000,70884810470.000000,,-44271786765.000000,-23435227204.000000,,,,-1972534491.000000,-378040032.000000,283107132.000000,,,,1110329110.000000,-1721769543.000000,,-1681575543.000000,-40194000.000000,,,,,,,,-1721769543.000000,6028938835.000000,,,,,,25000000000.000000,,-1519927558.000000,-17451133607.000000,,,,,,,6028938835.000000,5417498402.000000,11919063364.000000,,17336561766.000000
12M 2020,-3806215148.000000,44766188599.000000,,-28330034002.000000,-18155138526.000000,,,,-2312255326.000000,,234823210.000000,-9799103.000000,,,-3806215148.000000,-2569575980.000000,,-2569575980.000000,,,,,,,,,-2569575980.000000,-1681669244.000000,,,485722066.000000,,,,,-2167391310.000000,,,,,,,,-1681669244.000000,-8057460372.000000,17336561767.000000,,9279101395.000000
12M 2021,576691678.000000,47266846672.000000,,-27740938026.000000,-16982891667.000000,,,,-2051235185.000000,,94568672.000000,,-9658788.000000,,576691678.000000,-1021213145.000000,,-1021213145.000000,,,,,,,,,-1021213145.000000,-1083695655.000000,,,,,,,,-1083695655.000000,,,,,,,,-1083695655.000000,-1528217122.000000,9279101395.000000,,7750884273.000000
12M 2022,11104103489.000000,59968196207.000000,,-34279079415.000000,-22417505215.000000,,9725588444.000000,,-1952434038.000000,,170226093.000000,-1750897.000000,-109137690.000000,,11104103489.000000,-4154634406.000000,4800000.000000,-4159434406.000000,,,,,,,,,-4154634406.000000,-3251086959.000000,,,,,,,,-3251086959.000000,,,,,,,,-3251086959.000000,3698382124.000000,7750884272.000000,,11449266396.000000
12M 2023,2025555141.000000,56510934978.000000,,-33999223954.000000,-18889846311.000000,,,,-1547448733.000000,,97475118.000000,,-146335957.000000,,2025555141.000000,-2342657776.000000,,-2267712776.000000,-74945000.000000,,,,,,,,-2342657776.000000,-4334782619.000000,,,,,,,,-4334782619.000000,,,,,,,,-4334782619.000000,-4651885254.000000,11449266397.000000,,6797381143.000000
