Period,Aset,Aset Lancar,Kas Dan Setara Kas,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Piutang Lain-Lain,Piutang Pihak Berelasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Utang Pajak,Beban Akrual,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Murabahah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Pinjaman Jangka Pendek,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Utang Pihak Berelasi,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank,Utang Murabahah,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2013,,,3785403196.000000,7368484526.000000,,,7368484526.000000,,62644558.000000,,11216532280.000000,,,,,,190326833.000000,18186275658.000000,632921941.000000,379813093.000000,19389337525.000000,30605869805.000000,,,4640915140.000000,268967134.000000,,,268967134.000000,1538827780.000000,,,1538827780.000000,2121264942.000000,434228572.000000,,,,,,277626712.000000,4640915140.000000,2310184273.000000,181392646.000000,,,,,,,,,,2128791627.000000,2310184273.000000,6951099413.000000,,41000000000.000000,,-23178437427.000000,,,-23178437427.000000,,6000000000.000000,23821562573.000000,30772661986.000000,82000000.000000
12M 2014,,,10965368896.000000,13158564627.000000,11603840527.000000,1554724100.000000,13158564627.000000,,103373812.000000,28980126106.000000,53207433441.000000,,3310365528.000000,3310365528.000000,,3310365528.000000,,497196599121.000000,1031934354.000000,379813093.000000,501918712096.000000,555126145537.000000,,,141146975926.000000,,5018556332.000000,,5018556332.000000,,48562931108.000000,1524206429.000000,50087137537.000000,3958251921.000000,51999820490.000000,,28214067041.000000,,28214067041.000000,,1869142605.000000,141146975926.000000,178310857341.000000,,,174964220335.000000,,174964220335.000000,,,,,,3346637006.000000,178310857341.000000,319457833267.000000,,676520750000.000000,-381115753290.000000,-60518230755.000000,,-60518230755.000000,-60518230755.000000,-9890205.000000,791436519.000000,235668312269.000000,555126145536.000000,1353041500.000000
12M 2015,,,10641176300.000000,10166768683.000000,10124358283.000000,42410400.000000,10166768683.000000,,514365146.000000,21881439331.000000,43203749460.000000,,3303675636.000000,3303675636.000000,,3303675636.000000,,460767418457.000000,1182665110.000000,5464759772.000000,470718518975.000000,513922268435.000000,,,207665861901.000000,,17621991486.000000,,17621991486.000000,,92575820555.000000,21524206429.000000,114100026984.000000,1081521347.000000,42028617110.000000,,30154362023.000000,,30154362023.000000,,2679342951.000000,207665861901.000000,153347297001.000000,,,149411977687.000000,,149411977687.000000,,,,,,3935319314.000000,153347297001.000000,361013158902.000000,,676546400000.000000,-381115753290.000000,-143276991652.000000,,-143276991652.000000,-143276991652.000000,-18714212.000000,774168685.000000,152909109531.000000,513922268433.000000,1353092800.000000
12M 2016,,,8041847327.000000,5400968324.000000,5400968324.000000,,5400968324.000000,,409505517.000000,160737011032.000000,174589332200.000000,,3303675636.000000,3303675636.000000,,3303675636.000000,,443406714367.000000,1321622359.000000,5575584456.000000,453607596818.000000,628196929018.000000,,,338857421951.000000,,2519512463.000000,,2519512463.000000,,144289438670.000000,1524206430.000000,145813645100.000000,5567478032.000000,27962966342.000000,,59309999983.000000,95764299291.000000,155074299274.000000,,1919520740.000000,338857421951.000000,29332786927.000000,,,,,,,,24046300000.000000,24046300000.000000,,5286486927.000000,29332786927.000000,368190208878.000000,,681380513500.000000,-373335927523.000000,-193569482825.000000,,-193569482825.000000,-193569482825.000000,-22832290.000000,145554449278.000000,260006720140.000000,628196929018.000000,1362761027.000000
12M 2017,,,9551012174.000000,6255561476.000000,6255561476.000000,,6255561476.000000,,432794903.000000,45610572480.000000,61849941033.000000,,3283365373.000000,3283365373.000000,,3283365373.000000,,413810301482.000000,1562951777.000000,5476479425.000000,424133098057.000000,485983039090.000000,,,30881185647.000000,,1482004171.000000,,1482004171.000000,,229667713.000000,1524206429.000000,1753874142.000000,1741335378.000000,23977215654.000000,,,,,,1926756302.000000,30881185647.000000,22578574719.000000,,,,,,,,16326770123.000000,16326770123.000000,,6251804596.000000,22578574719.000000,53459760366.000000,,1035123163600.000000,-376251012633.000000,-226878764446.000000,,-226878764446.000000,-226878764446.000000,-24702980.000000,554595183.000000,432523278724.000000,485983039090.000000,10351231636.000000
12M 2018,,,11919063364.000000,6459326729.000000,6459326729.000000,,6459326729.000000,,241342900.000000,46858294166.000000,65478027159.000000,,4321517538.000000,4321517538.000000,,4321517538.000000,,392650226505.000000,2352730031.000000,5286619470.000000,404611093544.000000,470089120703.000000,,,50807440321.000000,,828766884.000000,,828766884.000000,,,18975340039.000000,18975340039.000000,1448595076.000000,27340153670.000000,,,,,,2214584652.000000,50807440321.000000,6566532043.000000,,,,,,,,,,149064713.000000,6417467330.000000,6566532043.000000,57373972364.000000,,1035123163600.000000,-376251012633.000000,-247046053456.000000,,-247046053456.000000,-247046053456.000000,-24075250.000000,913126079.000000,412715148340.000000,470089120704.000000,10351231636.000000
12M 2019,,,17336561767.000000,4975607683.000000,4975607683.000000,,4975607683.000000,,245625674.000000,48886950959.000000,71444746083.000000,,4321517538.000000,4321517538.000000,,4321517538.000000,,381229582093.000000,2218640591.000000,5325659718.000000,393095399940.000000,464540146023.000000,,,36946911975.000000,,498492144.000000,,498492144.000000,,,1524206437.000000,1524206437.000000,1019589273.000000,26123693940.000000,,4334782615.000000,,4334782615.000000,,3446147566.000000,36946911975.000000,29249557547.000000,,,19145289826.000000,,19145289826.000000,,,,,2557532373.000000,7546735348.000000,29249557547.000000,66196469522.000000,,1035123163600.000000,-376251012633.000000,-261315212198.000000,-261315212198.000000,,-261315212198.000000,-23336362.000000,810074094.000000,398343676501.000000,464540146023.000000,10351231636.000000
12M 2020,,,9279101395.000000,1527172660.000000,1527172660.000000,,1527172660.000000,,251568089.000000,3613266539.000000,14671108683.000000,,44333067537.000000,4333067537.000000,40000000000.000000,44333067537.000000,,375894026701.000000,1505601552.000000,26739895.000000,421759435685.000000,436430544368.000000,,,33566144841.000000,,713020155.000000,,713020155.000000,,1750897.000000,1524206437.000000,1525957334.000000,1049718001.000000,23606151519.000000,,4334782615.000000,,4334782615.000000,,2336515217.000000,33566144841.000000,33703439111.000000,,,16977898516.000000,,16977898516.000000,,,,,7857615645.000000,8867924950.000000,33703439111.000000,67269583952.000000,,1035123163600.000000,-376251012633.000000,-290335980144.000000,,,-290335980144.000000,-24261887.000000,649051480.000000,369160960416.000000,436430544368.000000,10351231636.000000
12M 2021,,,7750884272.000000,1520897319.000000,1520897319.000000,,1520897319.000000,,308121865.000000,4042333765.000000,13622237221.000000,,44333067537.000000,4333067537.000000,40000000000.000000,44333067537.000000,,364813853681.000000,1577697784.000000,16225203.000000,410740844205.000000,424363081426.000000,,,32550994543.000000,,380846330.000000,,380846330.000000,,1750897.000000,1524206437.000000,1525957334.000000,869639370.000000,23834435077.000000,,3612318845.000000,,3612318845.000000,,2327797587.000000,32550994543.000000,34444448836.000000,,,16616666631.000000,,16616666631.000000,,,,,8647380252.000000,9180401953.000000,34444448836.000000,66995443379.000000,,1035123163600.000000,-376251012633.000000,-302469675618.000000,,,-302469675618.000000,-24011148.000000,989173849.000000,357367638050.000000,424363081429.000000,10351231636.000000
12M 2022,,,11449266398.000000,1368594472.000000,1368594472.000000,,1368594472.000000,,279299584.000000,2960229448.000000,16057389902.000000,,34595929093.000000,,34595929093.000000,34595929093.000000,,359133963420.000000,910841750.000000,6176708.000000,394646910971.000000,410704300873.000000,,,29866799488.000000,,834860633.000000,,834860633.000000,,,,,1492701938.000000,19940863170.000000,,4334782621.000000,,4334782621.000000,,3263591126.000000,29866799488.000000,29966211519.000000,,,12643115896.000000,,12643115896.000000,,,,,11495121947.000000,5827973676.000000,29966211519.000000,59833011007.000000,,1035123163600.000000,-376251012633.000000,-309286449197.000000,,,-309286449197.000000,-23209188.000000,1308797283.000000,350871289865.000000,410704300872.000000,10351231636.000000
