Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Penyesuaian Proforma,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2014,52967059145.000000,-16421092374.000000,36545966771.000000,-59408407544.000000,-59408407544.000000,-59408407544.000000,-22862440773.000000,-17150162062.000000,253883995.000000,-149850318.000000,-10251816594.000000,-7002379145.000000,-17150162062.000000,-40012602835.000000,356870997.000000,,356870997.000000,,356870997.000000,-39655731838.000000,,-39655731838.000000,791595703.000000,,791595703.000000,-38864136135.000000,-39655731838.000000,-39648244829.000000,-7487009.000000,-39655731838.000000,-38864136135.000000,-38856808310.000000,-7327825.000000,-38864136135.000000
12M 2015,66487929222.000000,-17919376286.000000,48568552936.000000,-99521556491.000000,-99521556491.000000,-99521556491.000000,-50953003555.000000,-29595772741.000000,358779552.000000,-169280816.000000,-29747556512.000000,-37714965.000000,-29595772741.000000,-80548776296.000000,89644226.000000,-55330141.000000,144974367.000000,,89644226.000000,-80459132070.000000,,-80459132070.000000,-17269167.000000,,-17269167.000000,-80476401237.000000,-80459132070.000000,-80450309395.000000,-8822675.000000,-80459132070.000000,-80476401237.000000,-80467577229.000000,-8824008.000000,-80476401237.000000
12M 2016,71841945609.000000,-38181636008.000000,33660309601.000000,-67939219351.000000,-67939219351.000000,-67939219351.000000,-34278909750.000000,-19089118301.000000,1017021628.000000,187793.000000,-24104743046.000000,3998415324.000000,-19089118301.000000,-53368028051.000000,46690147.000000,,,,46690147.000000,-53321337904.000000,,-53321337904.000000,-217375547.000000,,-217375547.000000,-53538713451.000000,-53321337904.000000,-53317215407.000000,-4122497.000000,-53321337904.000000,-53538713451.000000,-53534595373.000000,-4118078.000000,-53538713451.000000
12M 2017,68363165142.000000,-37964752613.000000,30398412529.000000,-64197867710.000000,-64197867710.000000,-64197867710.000000,-33799455181.000000,584780031.000000,1120735984.000000,-1060640475.000000,-2833041610.000000,3357726132.000000,584780031.000000,-33214675150.000000,-96476331.000000,-333740960.000000,237264629.000000,,-96476331.000000,-33311151481.000000,,-33311151481.000000,-12194365.000000,,-12194365.000000,-33323345846.000000,-33311151481.000000,-33309281621.000000,-1869860.000000,-33311151481.000000,-33323345846.000000,-33321475156.000000,-1870690.000000,-33323345846.000000
12M 2018,75625195827.000000,-34302559618.000000,41322636209.000000,-60471887783.000000,-60471887783.000000,-60471887783.000000,-19149251574.000000,-1777610149.000000,25266682.000000,-1195801739.000000,-1211484648.000000,604409556.000000,-1777610149.000000,-20926861723.000000,760217992.000000,,760217992.000000,,760217992.000000,-20166643731.000000,,-20166643731.000000,358513347.000000,,358513347.000000,-19808130384.000000,-20166643732.000000,-20167289011.000000,645279.000000,-20166643732.000000,-19808130384.000000,-19808758115.000000,627731.000000,-19808130384.000000
12M 2019,68169528509.000000,-32007382351.000000,36162146158.000000,-46302015915.000000,-46302015915.000000,-46302015915.000000,-10139869757.000000,-1551630117.000000,283107132.000000,341112961.000000,-3005676564.000000,829826354.000000,-1551630117.000000,-11691499874.000000,-2576910815.000000,,-2576910815.000000,,-2576910815.000000,-14268410689.000000,,-14268410689.000000,-103061150.000000,,-103061150.000000,-14371471839.000000,-14268410688.000000,-14269158742.000000,748054.000000,-14268410688.000000,-14371471838.000000,-14372210726.000000,738888.000000,-14371471838.000000
12M 2020,42427385926.000000,-21274782785.000000,21152603141.000000,-43227161271.000000,-43227161271.000000,-43227161271.000000,-22074558130.000000,-888615193.000000,234823210.000000,94565318.000000,-2533670401.000000,1315666680.000000,-888615193.000000,-22963173323.000000,-6058534808.000000,,-6058534808.000000,,-6058534808.000000,-29021708131.000000,,-29021708131.000000,-161007954.000000,,-161007954.000000,-29182716085.000000,-29021708131.000000,-29020767946.000000,-940185.000000,-29021708131.000000,-29182716085.000000,-29181790559.000000,-925526.000000,-29182716085.000000
12M 2021,47269288960.000000,-22730389437.000000,24538899523.000000,-34586150669.000000,-34586150669.000000,-34586150669.000000,-10047251146.000000,-1454770834.000000,94568672.000000,3780078.000000,-2255210788.000000,702091204.000000,-1454770834.000000,-11502021980.000000,-631401273.000000,-9658788.000000,-621742485.000000,,-631401273.000000,-12133423253.000000,,-12133423253.000000,340100885.000000,,340100885.000000,-11793322368.000000,-12133423253.000000,-12133695476.000000,272223.000000,-12133423253.000000,-11793322367.000000,-11793573106.000000,250739.000000,-11793322367.000000
12M 2022,58868549821.000000,-25775802344.000000,33092747477.000000,-37400108332.000000,-37400108332.000000,-37400108332.000000,-4307360855.000000,250910101.000000,170226093.000000,24265366.000000,-2118440158.000000,2174858800.000000,250910101.000000,-4056450754.000000,-3363291062.000000,-109137690.000000,-3254153372.000000,,-3363291062.000000,-7419741816.000000,,-7419741816.000000,-29474124.000000,,-29474124.000000,-7449215940.000000,-7419741814.000000,-7420543009.000000,801195.000000,-7419741814.000000,-7449215938.000000,-7450017898.000000,801960.000000,-7449215938.000000
12M 2023,54335550562.000000,-26214933895.000000,28120616667.000000,-34812837014.000000,-34812837014.000000,-34812837014.000000,-6692220347.000000,-715631948.000000,97475117.000000,-9114233.000000,-1671070311.000000,867077479.000000,-715631948.000000,-7407852295.000000,-3252494372.000000,-146335957.000000,-3106158415.000000,,-3252494372.000000,-10660346667.000000,,-10660346667.000000,-60878367.000000,-60878367.000000,-60878367.000000,-10721225034.000000,-10660346667.000000,-10660582427.000000,235760.000000,-10660346667.000000,-10721225034.000000,-10721464240.000000,239206.000000,-10721225034.000000
