Period,Aset,Kas Dan Setara Kas,Deposito Berjangka,Investasi Pada Entitas Asosiasi,Properti Investasi,Piutang Premi,Piutang Reasuransi,Piutang Lain-Lain,Aset Tetap,Aset Reasuransi,Aset Tak Berwujud,Aset Pajak Tangguhan,Others,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Utang Reasuransi,Utang Klaim,Beban Akrual,Utang Lain-Lain,Pinjaman Yang Diterima,Utang Pembiayaan Konsumen,Liabilitas Kontrak Asuransi,Estimasi Liabilitas Klaim,Premi Yang Belum Merupakan Pendapatan,Liabilitas Pajak Tangguhan,Others,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2017,,16236394.000000,60879285.000000,8741447.000000,159469677.000000,103803334.000000,13254976.000000,12134951.000000,76383911.000000,243067929.000000,2359446.000000,9334177.000000,386239858.000000,1091905385.000000,,,74959729.000000,5496302.000000,8476654.000000,13170112.000000,268674.000000,11339574.000000,,190950640.000000,168645665.000000,,141862133.000000,615169483.000000,,78148103.000000,-2748756.000000,298942830.000000,45415999.000000,253526831.000000,298942830.000000,27905239.000000,74488485.000000,476735901.000000,1091905384.000000,1600000000.000000
12M 2018,,8660657.000000,119177410.000000,9005624.000000,156729560.000000,97681149.000000,14331514.000000,10467245.000000,68623038.000000,318787616.000000,1953569.000000,13949534.000000,384887482.000000,1204254398.000000,,,78010676.000000,2916800.000000,9079788.000000,13132051.000000,,10361330.000000,,315988300.000000,126969010.000000,,134846167.000000,691304122.000000,,79403065.000000,46322634.000000,311293622.000000,73738196.000000,237555426.000000,311293622.000000,21745011.000000,54185944.000000,512950276.000000,1204254398.000000,1777777800.000000
12M 2019,,223654671000.000000,2354659811000.000000,138420945000.000000,2063790193000.000000,1500513813000.000000,255102846000.000000,186335370000.000000,1351996001000.000000,7151091942000.000000,48042542000.000000,187621978000.000000,5273276519000.000000,20734506631000.000000,,,1073678440000.000000,236821514000.000000,154819546000.000000,176147978000.000000,8871936000.000000,208272427000.000000,9328942540000.000000,,,,1269883227000.000000,12457437608000.000000,,177777780000.000000,623793318000.000000,3893609471000.000000,413313271000.000000,3480296200000.000000,3893609471000.000000,696277783000.000000,2885610671000.000000,8277069023000.000000,20734506631000.000000,1777777800.000000
12M 2020,,318092437000.000000,1962332879000.000000,141761482000.000000,1990304046000.000000,1357511784000.000000,477239169000.000000,154119267000.000000,1433657253000.000000,6414551673000.000000,23212339000.000000,220383460000.000000,4966928866000.000000,19460094655000.000000,,,1278809470000.000000,135091433000.000000,97083090000.000000,265929235000.000000,7789882000.000000,186346113000.000000,8610418712000.000000,,,,420063773000.000000,11001531708000.000000,,177777780000.000000,625432789000.000000,5110489179000.000000,413313271000.000000,4697175908000.000000,5110489179000.000000,689205219000.000000,1855657980000.000000,8458562947000.000000,19460094655000.000000,1777777800.000000
12M 2021,,545991675000.000000,2330847573000.000000,148547057000.000000,2293619974000.000000,1871820028000.000000,687020496000.000000,188674959000.000000,1258070256000.000000,6125300194000.000000,21700154000.000000,231498394000.000000,4484965252000.000000,20188056012000.000000,,,1724054740000.000000,118188910000.000000,111155631000.000000,206668743000.000000,43326065000.000000,158955645000.000000,8560323315000.000000,,,,475651547000.000000,11398324596000.000000,,177777780000.000000,625432789000.000000,5347764052000.000000,413313271000.000000,4934450781000.000000,5347764052000.000000,694407751000.000000,1944349044000.000000,8789731416000.000000,20188056012000.000000,1777777800.000000
12M 2022,,608986099000.000000,1836714472000.000000,162313843000.000000,2292877995000.000000,2075334496000.000000,387892121000.000000,214226869000.000000,1443394444000.000000,6660510096000.000000,35568701000.000000,244381919000.000000,5619104413000.000000,21581305468000.000000,,,1461086212000.000000,129055750000.000000,137516459000.000000,263685403000.000000,121346712000.000000,68616376000.000000,9797252044000.000000,,,,430648212000.000000,12409207168000.000000,,177778780000.000000,625460209000.000000,5575893032000.000000,413313271000.000000,5162579761000.000000,5575893032000.000000,732768875000.000000,2060197404000.000000,9172098300000.000000,21581305468000.000000,1777787800.000000
12M 2023,,537857224000.000000,3080099520000.000000,166639022000.000000,2317627368000.000000,1859030780000.000000,655594034000.000000,266796478000.000000,1614302861000.000000,7262059610000.000000,113420431000.000000,281650749000.000000,6982864538000.000000,25137942615000.000000,,,1891733387000.000000,313786300000.000000,290477838000.000000,270437331000.000000,296149553000.000000,45513893000.000000,11147535021000.000000,,,,602451059000.000000,14858084382000.000000,,177778780000.000000,625460209000.000000,6675387289000.000000,413313271000.000000,6262074018000.000000,6675387289000.000000,697595127000.000000,2103636828000.000000,10279858233000.000000,25137942615000.000000,3555575600.000000
12M 2024,,358000320000.000000,2160840127000.000000,177265802000.000000,1179943393000.000000,1616850321000.000000,486022965000.000000,335086216000.000000,2906940891000.000000,8023804564000.000000,123678966000.000000,293205718000.000000,8688431249000.000000,26350070532000.000000,,,1835027181000.000000,155449063000.000000,289365193000.000000,251399834000.000000,527075229000.000000,117815784000.000000,12171114196000.000000,,,,494274480000.000000,15841520960000.000000,,177778780000.000000,625460209000.000000,6992217107000.000000,413313271000.000000,6578903836000.000000,6992217107000.000000,737078872000.000000,1976014604000.000000,10508549572000.000000,26350070532000.000000,3555575600.000000
