Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Dari Pelanggan,Pembayaran Kepada Pemasok,Pembayaran Kepada Karyawan,Penerimaan (Pembayaran) Kas Kepada Pihak Ketiga Lainnya,Pembayaran Pajak Penghasilan,Penerimaan Penghasilan Keuangan,Pembayaran Biaya Keuangan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Pembayaran (Penambahan) Piutang Pihak Berelasi,Perolehan Aset Tetap,Pembayaran Untuk Perolehan Aset Takberwujud,Pembayaran Uang Muka Aset Tetap,Penjualan Aset Tetap,Perolehan Entitas Anak,Penjualan Saham Entitas Anak,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penambahan (Pembayaran) Utang Pihak Berelasi,Penerimaan Dari Konversi Waran,Penerimaan Dari Utang Lain-Lain Jangka Panjang,Penerimaan Dari Utang Lain-Lain - Pihak Ketiga,Pelepasan Entitas Anak,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Liabilitas Sewa,Pembayaran Dividen,Investasi Ke Entitas Anak,Pembayaran Utang Pembiayaan Konsumen,Penerimaan Pinjaman Jangka Pendek,Penerimaan Untuk Obligas,Biaya Emisi Dari Obligasi,Penerimaan Dari Utang Pihak Berelasi,Pembayaran Untuk Utang Pihak Berelasi,Penerimaan Uang Muka Setoran Modal,Penerimaan Dari Pmthmetd,Penerimaan Pinjaman,Penerimaan Pinjaman Lainnya,Pembayaran Pinjaman Jangka Pendek,Penerimaan Dari Penerbitan Modal Saham Melalui Initial Public Offering,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2017,1162304096.000000,4909183829.000000,-2905077476.000000,-564239203.000000,-270431003.000000,,2691618.000000,-9823669.000000,1162304096.000000,-97000000.000000,,-97000000.000000,,,,,,-97000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,1065304096.000000,250131973.000000,1315436069.000000
12M 2018,-484568559.000000,4658813775.000000,-1137380587.000000,-636323220.000000,-3367544003.000000,,208256.000000,-2342780.000000,-484568559.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-484568559.000000,1315436069.000000,830867510.000000
12M 2019,7495890513.000000,9759411077.000000,-317101533.000000,-1527109882.000000,-414724778.000000,,3449741.000000,-8034112.000000,7495890513.000000,-25009747737.000000,-18191260237.000000,-3191487500.000000,,,,-3627000000.000000,,-25009747737.000000,23060000000.000000,,,,,,,,-1940000000.000000,,,,25000000000.000000,,,,,,,,,,,23060000000.000000,5546142776.000000,830867510.000000,6377010286.000000
12M 2020,-17986739739.000000,57365251847.000000,-17568472686.000000,-5465879392.000000,-41831895173.000000,-2933129204.000000,1968500.000000,-7554583631.000000,-17986739739.000000,-26202577965.000000,10278037002.000000,-36480614967.000000,,,,,,-26202577965.000000,64024800847.000000,-17801157153.000000,,,,,,,-1149888000.000000,,,,,,,,,,,,,,82975846000.000000,64024800847.000000,19835483143.000000,6377010287.000000,26212493430.000000
12M 2021,107984911317.000000,385389459582.000000,-234408565925.000000,-9315803610.000000,-22471810198.000000,-578486808.000000,76930834.000000,-10706812558.000000,107984911317.000000,-291389640911.000000,34058139504.000000,-325447780415.000000,,,,,,-291389640911.000000,167757710321.000000,7596037502.000000,71218547340.000000,,,420000000.000000,130145877920.000000,,-41622752441.000000,,,,,,,,,,,,,,,167757710321.000000,-15647019273.000000,26212493430.000000,10565474157.000000
12M 2022,55297950779.000000,483065381879.000000,-345447531245.000000,-9994274366.000000,-40316718455.000000,-576806685.000000,45721331.000000,-31477821680.000000,55297950779.000000,-329276853510.000000,113677320657.000000,-498014337645.000000,,,43780163478.000000,,11280000000.000000,-329276853510.000000,284342203816.000000,,590.000000,,,,279757802093.000000,-26161969219.000000,-2325973206.000000,,,-542046266.000000,,,,17204560994.000000,-21725565270.000000,,38135394100.000000,,,,,284342203816.000000,10363301085.000000,10565474157.000000,20928775242.000000
12M 2023,224815346982.000000,469345060901.000000,-145075454216.000000,-15331936405.000000,-41000392108.000000,-2908593670.000000,23943280.000000,-40237280800.000000,224815346982.000000,-204797971333.000000,120400198799.000000,-236813734078.000000,,-88384436054.000000,,,,-204797971333.000000,-873611761.000000,,,,,,100715730401.000000,-147610848369.000000,-63229646361.000000,,,-594833481.000000,,,,4239964161.000000,,71783331590.000000,,33822690298.000000,,,,-873611761.000000,19143763888.000000,20928775242.000000,40072539130.000000
12M 2024,418779785086.000000,629038090265.000000,-184639808695.000000,-16953228623.000000,44114156770.000000,-2825105087.000000,538954781.000000,-50493274325.000000,418779785086.000000,-1477352017163.000000,,-1168091705205.000000,,-310773400000.000000,1513088042.000000,,,-1477352017163.000000,1039495635537.000000,,,,319375000000.000000,,61528268753.000000,-23069357059.000000,-50191494983.000000,,,1073632739.000000,,600000000000.000000,-5781054615.000000,52260654099.000000,,,,84299986603.000000,,,,1039495635537.000000,-21577512965.000000,40072539130.000000,18495026165.000000
