Period,Total Pendapatan,Pendapatan Pembiayaan Konsumen,Pendapatan Sewa Pembiayaan,Pendapatan Sewa Operasi,Total Pendapatan,Total Beban Usaha,Beban Umum Dan Administrasi,Pembentukan Cadangan Kerugian Penurunan Nilai,Beban Bunga,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Total Beban Pajak Penghasilan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2016,33811699523.000000,28083793756.000000,4943187775.000000,784717992.000000,33811699523.000000,-22299569511.000000,-17998620770.000000,,-4300948741.000000,-22299569511.000000,11512130012.000000,1833173096.000000,1833173096.000000,1833173096.000000,13345303108.000000,-2696371532.000000,-2892534644.000000,196163112.000000,,-2696371532.000000,10648931576.000000,136795046.000000,10785726622.000000,10648931576.000000,10648931576.000000,,10648931576.000000,10785726622.000000,10785726622.000000,,10785726622.000000
12M 2017,36837043215.000000,30177015858.000000,6037850717.000000,622176640.000000,36837043215.000000,-21522927165.000000,-19443257329.000000,,-2079669836.000000,-21522927165.000000,15314116050.000000,1646764161.000000,1646764161.000000,1646764161.000000,16960880211.000000,-3615559619.000000,-3812424974.000000,196865355.000000,,-3615559619.000000,13345320592.000000,353482324.000000,13698802916.000000,13345320592.000000,13345320592.000000,,13345320592.000000,13698802916.000000,13698802916.000000,,13698802916.000000
12M 2018,43772365813.000000,39152086168.000000,4206856129.000000,413423516.000000,43772365813.000000,-21244540448.000000,-18762758162.000000,,-2481782286.000000,-21244540448.000000,22527825365.000000,426876132.000000,426876132.000000,426876132.000000,22954701497.000000,-5323934681.000000,-5409735664.000000,85800983.000000,,-5323934681.000000,17630766816.000000,62220016.000000,17692986832.000000,17630766816.000000,17630766816.000000,,17630766816.000000,17692986832.000000,17692986832.000000,,17692986832.000000
12M 2019,47282483355.000000,43409258852.000000,3415606897.000000,457617606.000000,47282483355.000000,-26842334051.000000,-20283859627.000000,-5558393880.000000,-1000080544.000000,-26842334051.000000,20440149304.000000,1355824325.000000,1355824325.000000,1355824325.000000,21795973629.000000,-4841282216.000000,-6553951692.000000,1712669476.000000,,-4841282216.000000,16954691413.000000,952000803.000000,17906692216.000000,16954691413.000000,16954691413.000000,,16954691413.000000,17906692216.000000,17906692216.000000,,17906692216.000000
12M 2020,48253258379.000000,43963610320.000000,3845198678.000000,444449381.000000,48253258379.000000,-26774588935.000000,-18808193549.000000,-7272180077.000000,-694215309.000000,-26774588935.000000,21478669444.000000,1569146554.000000,1569146554.000000,1569146554.000000,23047815998.000000,-4908324463.000000,-6272283507.000000,1363959044.000000,,-4908324463.000000,18139491535.000000,245022100.000000,18384513635.000000,18139491535.000000,18139491535.000000,,18139491535.000000,18384513635.000000,18384513635.000000,,18384513635.000000
12M 2021,44843639471.000000,38946626946.000000,5434029101.000000,462983424.000000,44843639471.000000,-19398008829.000000,-18831712629.000000,,-566296200.000000,-19398008829.000000,25445630642.000000,4211549768.000000,4211549768.000000,4211549768.000000,29657180410.000000,-5750362610.000000,-5724621581.000000,-25741029.000000,,-5750362610.000000,23906817800.000000,128662480.000000,24035480280.000000,23906817800.000000,23906817800.000000,,23906817800.000000,24035480280.000000,24035480280.000000,,24035480280.000000
12M 2022,45764231601.000000,38271094224.000000,7079939899.000000,413197478.000000,45764231601.000000,-20187490199.000000,-19700495706.000000,,-486994493.000000,-20187490199.000000,25576741402.000000,3876695016.000000,3876695016.000000,3876695016.000000,29453436418.000000,-5561072928.000000,-5752447838.000000,191374910.000000,,-5561072928.000000,23892363490.000000,316424626.000000,24208788116.000000,23892363490.000000,23892363490.000000,,23892363490.000000,24208788116.000000,24208788116.000000,,24208788116.000000
12M 2023,53328712183.000000,39857357031.000000,13041928322.000000,429426830.000000,53328712183.000000,-22280315399.000000,-21033387739.000000,,-1246927660.000000,-22280315399.000000,31048396784.000000,1811338084.000000,1811338084.000000,1811338084.000000,32859734868.000000,-6865582502.000000,-7062262680.000000,196680178.000000,,-6865582502.000000,25994152366.000000,197425884.000000,26191578250.000000,25994152366.000000,25994152366.000000,,25994152366.000000,26191578250.000000,26191578250.000000,,26191578250.000000
Unnamed: 9,,,,,,,,,,,,,,,,,,,,,,,,,27987301954.0,,,,,,
