Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Pendapatan Pembiayaan Konsumen Dan Sewa Pembiayaan,Penerimaan Pendapatan Sewa Operasi,Pembayaran Pembiayaan Konsumen Dan Sewa Pembiayaan,Pembayaran Bunga Pinjaman,Pembayaran Kas Untuk Beban Operasi,Pembayaran Sewa,Pembayaran Pajak Penghasilan,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Sewaan,Pembelian Aset Sewaan,Hasil Penjualan Aset Tetap,Perolehan Aset Tetap,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Utang Bank,Pembayaran Utang Bank,Pembayaran Utang Lembaga Keuangan,Pembayaran Musyarakah,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Akhir Periode
12M 2016,48877177159.000000,225008146804.000000,615981698.000000,-155155420496.000000,-4300948741.000000,-13064276201.000000,-1495545856.000000,-2730760049.000000,48877177159.000000,-4959660000.000000,,-713000000.000000,,-4246660000.000000,-4959660000.000000,-25046505213.000000,793600000.000000,-7005799652.000000,,-18834305561.000000,-25046505213.000000,18871011946.000000,27691437702.000000,,46562449648.000000
12M 2017,-24704512854.000000,224553055253.000000,622176640.000000,-229957328732.000000,-2079669836.000000,-13032979278.000000,-1771328022.000000,-3038438879.000000,-24704512854.000000,-284841000.000000,150000000.000000,,,-434841000.000000,-284841000.000000,-3489713933.000000,8205544000.000000,-2058979032.000000,,-9636278901.000000,-3489713933.000000,-28479067787.000000,46562449648.000000,,18083381861.000000
12M 2018,3101399557.000000,250985738921.000000,413423516.000000,-223274679153.000000,-2481782286.000000,-15352538868.000000,-1986536772.000000,-5202225801.000000,3101399557.000000,-1449115470.000000,,25000000.000000,,-1474115470.000000,-1449115470.000000,7767150342.000000,24659096350.000000,-7419723871.000000,,-9472222137.000000,7767150342.000000,9419434429.000000,18083381861.000000,,27502816290.000000
12M 2019,22586215112.000000,254152216645.000000,457617606.000000,-208123592328.000000,-1000080544.000000,-15307662793.000000,-2290119821.000000,-5302163653.000000,22586215112.000000,-2544875000.000000,-634650000.000000,300000000.000000,,-2210225000.000000,-2544875000.000000,-16993308052.000000,5000000000.000000,-21993308052.000000,,,-16993308052.000000,3048032060.000000,27502816290.000000,,30550848350.000000
12M 2020,-5884910641.000000,260760770619.000000,444449381.000000,-242605369232.000000,-694215309.000000,-11840454357.000000,-1977700356.000000,-9972391387.000000,-5884910641.000000,-284757364.000000,136363636.000000,,344500000.000000,-765621000.000000,-284757364.000000,-1456862574.000000,,-1207260954.000000,-249601620.000000,,-1456862574.000000,-7626530579.000000,30650848350.000000,,23024317771.000000
12M 2021,105310166654.000000,868468044408.000000,462983424.000000,-743134721288.000000,-566296200.000000,-13198204290.000000,-1268025696.000000,-5453613704.000000,105310166654.000000,-1239620300.000000,,,900000000.000000,-2139620300.000000,-1239620300.000000,209208572.000000,2950000000.000000,-2428108940.000000,-312682488.000000,,209208572.000000,104279754926.000000,23024317771.000000,,127304072697.000000
12M 2022,-68181653325.000000,979781935757.000000,413197478.000000,-1025300915012.000000,-486994493.000000,-15722071531.000000,-1585032120.000000,-5281773404.000000,-68181653325.000000,-1416706200.000000,,-1085300000.000000,,-331406200.000000,-1416706200.000000,-1246897121.000000,,-910796133.000000,-336100988.000000,,-1246897121.000000,-70845256646.000000,127304072697.000000,,56458816051.000000
12M 2023,33106411468.000000,1140190657883.000000,429426830.000000,-1080929431328.000000,-1246927660.000000,-17193667486.000000,-1602981090.000000,-6540665681.000000,33106411468.000000,-43359017000.000000,,,,-43359017000.000000,-43359017000.000000,25484304276.000000,30000000000.000000,-4457280820.000000,-58414904.000000,,25484304276.000000,15231698744.000000,56458816051.000000,,71690514795.000000
