Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Final,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Beban Keuangan,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2018,42835283838.000000,-21917919342.000000,20917364496.000000,-20799437975.000000,-2600589606.000000,-17575856090.000000,-1035806843.000000,412814564.000000,-20799437975.000000,117926521.000000,-1442414506.000000,644483817.000000,-2086898323.000000,-1442414506.000000,-1324487985.000000,,,,,-360777235.000000,,-360777235.000000,552418682.000000,191641447.000000,-360777235.000000,92733706.000000,-453510941.000000,-360777235.000000,191641447.000000,645152388.000000,-453510941.000000,191641447.000000
12M 2019,23689696037.000000,-10397070900.000000,13292625137.000000,-9979669656.000000,-2500200318.000000,-7092894135.000000,-583962118.000000,197386915.000000,-9979669656.000000,3312955481.000000,-1119857477.000000,1347085673.000000,-2466943150.000000,-1119857477.000000,2193098004.000000,,,,,3356447223.000000,,3356447223.000000,-28940316.000000,3327506907.000000,3356447223.000000,3617005182.000000,-260557959.000000,3356447223.000000,3327506907.000000,3588064866.000000,-260557959.000000,3327506907.000000
12M 2020,80627075000.000000,-53280140243.000000,27346934757.000000,-20456042042.000000,-8998493779.000000,-10447728952.000000,-1015092014.000000,5272703.000000,-20456042042.000000,6890892715.000000,-4224974121.000000,1810147427.000000,-6035121548.000000,-4224974121.000000,2665918594.000000,,,,,2665918594.000000,,2665918594.000000,451122402.000000,3117040996.000000,2665918594.000000,121353108.000000,2544565486.000000,2665918594.000000,3117040996.000000,629715132.000000,2487325864.000000,3117040996.000000
12M 2021,100416453220.000000,-65059347381.000000,35357105839.000000,-29376249216.000000,-14832811190.000000,-13186067462.000000,-1359506934.000000,2136370.000000,-29376249216.000000,5980856623.000000,-2918857008.000000,892642951.000000,-3811499959.000000,-2918857008.000000,3061999615.000000,,,,,3061999615.000000,,3061999615.000000,77444715.000000,3139444330.000000,3061999615.000000,1317638269.000000,1744361346.000000,3061999615.000000,3139444330.000000,1386849492.000000,1752594838.000000,3139444330.000000
12M 2022,84683945000.000000,-50364880920.000000,34319064080.000000,-29606887384.000000,-12224886028.000000,-16313435989.000000,-1070822942.000000,2257575.000000,-29606887384.000000,4712176696.000000,-3172355012.000000,426257579.000000,-3598612591.000000,-3172355012.000000,1539821684.000000,,,,,1539821684.000000,,1539821684.000000,-23170734.000000,1516650950.000000,1539821684.000000,-37563624.000000,1577385308.000000,1539821684.000000,1516650950.000000,-73401908.000000,1590052858.000000,1516650950.000000
12M 2023,45096150000.000000,-28087841545.000000,17008308455.000000,-22232738865.000000,-6498923300.000000,-15236230000.000000,-499522500.000000,1936935.000000,-22232738865.000000,-5224430410.000000,-3542018420.000000,908408938.000000,-4450427358.000000,-3542018420.000000,-8766448830.000000,,,,,-8766448830.000000,,-8766448830.000000,-29624339.000000,-8796073169.000000,-8766448830.000000,-9136597391.000000,370148561.000000,-8766448830.000000,-8796073169.000000,-9164779286.000000,368706117.000000,-8796073169.000000
12M 2024,63656114694.000000,-40366234182.000000,23289880512.000000,-27400291458.000000,-7780753391.000000,-19172176781.000000,-459600000.000000,12238714.000000,-27400291458.000000,-4110410946.000000,-4185605664.000000,454834036.000000,-4640439700.000000,-4185605664.000000,-8296016610.000000,,,,,-8296016610.000000,,-8296016610.000000,-40123382.000000,-8336139992.000000,-8296016610.000000,-8941744184.000000,645727574.000000,-8296016610.000000,-8336139992.000000,-8973566633.000000,637426641.000000,-8336139992.000000
