Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok Dan Kontraktor,Pembayaran Kas Kepada Karyawan,Pembayaran Kas Untuk Beban Operasi,Penerimaan Penghasilan Keuangan,Pembayaran Biaya Keuangan,Pembayaran Pajak Final,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penambahan Uang Muka Investasi,Piutang Pihak Berelasi,Penambahan Tanah Untuk Dikembangkan,Penambahan Uang Muka,Uang Muka Untuk Perolehan Aset Tetap,Perolehan Aset Tetap,Akuisisi Entitas Anak,Penerimaan Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Penerbitan Saham,Penerimaan Utang Pihak Berelasi,Pembayaran Utang Pihak Berelasi,Pembayaran Utang Bank,Penerimaan Utang Bank,Pembayaran Dividen Tunai,Penerimaan Penerbitan Waran,Pembayaran Biaya Emisi Saham,Utang Pembiayaan Konsumen,Pembayaran Utang Subordinasi,Tambahan Modal Disetor,Total Arus Kas Dari Aktivitas Pendanaan,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2018,12996494917.000000,44493944606.000000,-11072371030.000000,-6988294952.000000,-12400971864.000000,,,-1035811843.000000,12996494917.000000,-65533574138.000000,-13536044501.000000,,-54154287360.000000,,,-211093095.000000,,2367850818.000000,-65533574138.000000,69893719136.000000,,112017310101.000000,-104736875789.000000,-62000000000.000000,84712124760.000000,,,,-98839936.000000,,40000000000.000000,69893719136.000000,17356639915.000000,9460342975.000000,26816982890.000000
12M 2019,4918264812.000000,25648446305.000000,-5689281375.000000,-4143960851.000000,-10078570310.000000,,,-818368957.000000,4918264812.000000,-85536119791.000000,-8160264328.000000,,-40635321061.000000,,,-20534402.000000,-36720000000.000000,,-85536119791.000000,113287691570.000000,101538360000.000000,4919225080.000000,,-10300000000.000000,32675475000.000000,,,-3423814064.000000,-225009446.000000,-11896545000.000000,,113287691570.000000,32669836591.000000,26816982890.000000,59486819481.000000
12M 2020,23491968809.000000,76333966658.000000,-29109826605.000000,-3387145511.000000,-18063184114.000000,,,-2281841619.000000,23491968809.000000,-11934518009.000000,-336855596.000000,,-11559812413.000000,,,-37850000.000000,,,-11934518009.000000,-26311394740.000000,,,-615420215.000000,-23416000000.000000,,-2197538000.000000,1839400.000000,,-84275925.000000,,,-26311394740.000000,-14753943940.000000,59486819481.000000,44732875541.000000
12M 2021,33516821558.000000,109548442086.000000,-40048611112.000000,-2777752795.000000,-31701801482.000000,,,-1503455139.000000,33516821558.000000,-9744345851.000000,-3970701552.000000,,-5554201289.000000,,,-219443010.000000,,,-9744345851.000000,-28613944639.000000,,,-3754337128.000000,-24819000000.000000,,,,,-40607511.000000,,,-28613944639.000000,-4841468932.000000,44732875541.000000,39891406609.000000
12M 2022,12283044908.000000,84776587353.000000,-33652806712.000000,-3566741294.000000,-34203171497.000000,,,-1070822942.000000,12283044908.000000,-10021731885.000000,-5004871277.000000,,-3705604539.000000,,,-1311256069.000000,,,-10021731885.000000,-16684104720.000000,,,-3335300216.000000,-52140696993.000000,38832500000.000000,,,,-40607511.000000,,,-16684104720.000000,-14422791697.000000,39891406609.000000,25468614912.000000
12M 2023,-11027990032.000000,47941762889.000000,-25319993392.000000,-3918258248.000000,-25689960361.000000,908408938.000000,-4450427358.000000,-499522500.000000,-11027990032.000000,-5865191638.000000,-2198918844.000000,,-2740334316.000000,,,-925938478.000000,,,-5865191638.000000,20087583658.000000,,,-1473000001.000000,-10056977916.000000,31769500000.000000,,,,-151938425.000000,,,20087583658.000000,3194401988.000000,25468614912.000000,28663016900.000000
12M 2024,6549014280.000000,66126489869.000000,-26790293498.000000,-4121307310.000000,-23697804109.000000,454834036.000000,-4963304708.000000,-459600000.000000,6549014280.000000,-4659671832.000000,-434997259.000000,,-4094840580.000000,,,-129833993.000000,,,-4659671832.000000,-18504431177.000000,,,2954550000.000000,-24234500000.000000,3000000000.000000,,,,-224481177.000000,,,-18504431177.000000,-16615088729.000000,28663016900.000000,12047928171.000000
