Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Laba (Rugi) Selisih Kurs,Pendapatan Keuangan,Beban Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Penyesuaian Proforma,Operasi Yang Dihentikan,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Others,Total Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Penyesuaian Proforma,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,38799279000000.000000,-29822362000000.000000,8976917000000.000000,-4635441000000.000000,-2742292000000.000000,-1893149000000.000000,,-4635441000000.000000,4341476000000.000000,-1741653000000.000000,-713131000000.000000,168516000000.000000,-1157562000000.000000,,-39476000000.000000,-1741653000000.000000,2599823000000.000000,-801553000000.000000,-1181312000000.000000,379759000000.000000,-801553000000.000000,1798270000000.000000,-782597000000.000000,18716000000.000000,,1034389000000.000000,,,,,1034389000000.000000,1798270000000.000000,-782597000000.000000,18716000000.000000,1034389000000.000000,,,,
12M 2009,37140830000000.000000,-27018884000000.000000,10121946000000.000000,-5117737000000.000000,-2955000000000.000000,-2162737000000.000000,,-5117737000000.000000,5004209000000.000000,-940396000000.000000,731032000000.000000,161885000000.000000,-1541264000000.000000,,-292049000000.000000,-940396000000.000000,4063813000000.000000,-1207032000000.000000,-1481786000000.000000,274754000000.000000,-1207032000000.000000,2856781000000.000000,-780920000000.000000,,,2075861000000.000000,,,,,2075861000000.000000,2856781000000.000000,-780920000000.000000,,2075861000000.000000,,,,
12M 2010,38403360000000.000000,-25932908000000.000000,12470452000000.000000,-5741141000000.000000,-3372989000000.000000,-2368152000000.000000,,-5741141000000.000000,6729311000000.000000,-1296936000000.000000,115269000000.000000,163739000000.000000,-1171698000000.000000,,-404246000000.000000,-1296936000000.000000,5432375000000.000000,-1497567000000.000000,-1771258000000.000000,273691000000.000000,-1497567000000.000000,3934808000000.000000,-981950000000.000000,,,2952858000000.000000,,,,,2952858000000.000000,3934808000000.000000,-981950000000.000000,,2952858000000.000000,,,,
12M 2011,45332256000000.000000,-32749190000000.000000,12583066000000.000000,-5730585000000.000000,-3549976000000.000000,-2314374000000.000000,133765000000.000000,-5730585000000.000000,6852481000000.000000,-500092000000.000000,,437430000000.000000,-936060000000.000000,-1462000000.000000,,-500092000000.000000,6352389000000.000000,-1460716000000.000000,-1735905000000.000000,275189000000.000000,-1460716000000.000000,4891673000000.000000,,,,4891673000000.000000,125752000000.000000,125752000000.000000,125752000000.000000,5017425000000.000000,4891673000000.000000,3077180000000.000000,1814493000000.000000,,4891673000000.000000,5017425000000.000000,3203898000000.000000,1813527000000.000000,5017425000000.000000
12M 2012,50059427000000.000000,-36493332000000.000000,13566095000000.000000,-6695501000000.000000,-4058470000000.000000,-2762365000000.000000,125334000000.000000,-6695501000000.000000,6870594000000.000000,-560838000000.000000,,554369000000.000000,-1082297000000.000000,-32910000000.000000,,-560838000000.000000,6309756000000.000000,-1530310000000.000000,,,-1530310000000.000000,4779446000000.000000,,,,4779446000000.000000,92299000000.000000,92299000000.000000,92299000000.000000,4871745000000.000000,4779446000000.000000,3261176000000.000000,1518270000000.000000,,4779446000000.000000,4871745000000.000000,3346600000000.000000,1525145000000.000000,4871745000000.000000
12M 2013,57731998000000.000000,-43402144000000.000000,14329854000000.000000,-7611873000000.000000,-4862078000000.000000,-3378638000000.000000,628843000000.000000,-7611873000000.000000,6717981000000.000000,-2051023000000.000000,,605996000000.000000,-2772827000000.000000,115808000000.000000,,-2051023000000.000000,4666958000000.000000,-1252072000000.000000,,,-1252072000000.000000,3414886000000.000000,,1749000000.000000,,3416635000000.000000,1744612000000.000000,1744612000000.000000,1744612000000.000000,5161247000000.000000,3416635000000.000000,2503841000000.000000,912794000000.000000,,3416635000000.000000,5161247000000.000000,4011240000000.000000,1150007000000.000000,5161247000000.000000
12M 2014,63594452000000.000000,-46544646000000.000000,17049806000000.000000,-9841074000000.000000,-6247224000000.000000,-3928237000000.000000,334387000000.000000,-9841074000000.000000,7208732000000.000000,-979435000000.000000,,692581000000.000000,-1552958000000.000000,-119058000000.000000,,-979435000000.000000,6229297000000.000000,-1828217000000.000000,,,-1828217000000.000000,4401080000000.000000,,,745243000000.000000,5146323000000.000000,-333705000000.000000,-333705000000.000000,-333705000000.000000,4812618000000.000000,5146323000000.000000,3885375000000.000000,1260948000000.000000,,5146323000000.000000,4812618000000.000000,3528115000000.000000,1284503000000.000000,4812618000000.000000
12M 2015,64061947000000.000000,-46803889000000.000000,17258058000000.000000,-9895163000000.000000,-6885612000000.000000,-3495437000000.000000,485886000000.000000,-9895163000000.000000,7362895000000.000000,-2400811000000.000000,,599170000000.000000,-2665675000000.000000,-334306000000.000000,,-2400811000000.000000,4962084000000.000000,-1730371000000.000000,,,-1730371000000.000000,3231713000000.000000,,,477788000000.000000,3709501000000.000000,1157846000000.000000,1157846000000.000000,1157846000000.000000,4867347000000.000000,3709501000000.000000,2967951000000.000000,741550000000.000000,,3709501000000.000000,4867347000000.000000,4066347000000.000000,801000000000.000000,4867347000000.000000
12M 2016,66750317000000.000000,-47321877000000.000000,19428440000000.000000,-11143433000000.000000,-7168040000000.000000,-3988897000000.000000,13504000000.000000,-11143433000000.000000,8285007000000.000000,-899779000000.000000,,1050651000000.000000,-1574152000000.000000,-245723000000.000000,-130555000000.000000,-899779000000.000000,7385228000000.000000,-2532747000000.000000,,,-2532747000000.000000,4852481000000.000000,,,414425000000.000000,5266906000000.000000,-282601000000.000000,-282601000000.000000,-282601000000.000000,4984305000000.000000,5266906000000.000000,4144571000000.000000,1122335000000.000000,,5266906000000.000000,4984305000000.000000,3817112000000.000000,1167193000000.000000,4984305000000.000000
12M 2017,70186618000000.000000,-50416667000000.000000,19769951000000.000000,-11086181000000.000000,-7237120000000.000000,-4070151000000.000000,221090000000.000000,-11086181000000.000000,8683770000000.000000,-1088948000000.000000,,614293000000.000000,-1486027000000.000000,-103236000000.000000,-113978000000.000000,-1088948000000.000000,7594822000000.000000,-2497558000000.000000,,,-2497558000000.000000,5097264000000.000000,,,,5097264000000.000000,-105995000000.000000,-105995000000.000000,-105995000000.000000,4991269000000.000000,5097264000000.000000,4156222000000.000000,941042000000.000000,,5097264000000.000000,4991269000000.000000,4255705000000.000000,735564000000.000000,4991269000000.000000
