Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Aset Pajak Tangguhan,Tanaman Perkebunan,Tanaman Telah Menghasilkan,Tanaman Belum Menghasilkan,Total Tanaman Perkebunan,Aset Tetap,Properti Investasi,Goodwill,Aset Tak Berwujud,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Trust Receipts,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Beban Akrual,Utang Pajak,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank,Utang Obligasi,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Obligasi Dan Sukuk Ijarah,Utang Pembelian Aset Tetap,Utang Sewa Pembiayaan,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Liabilitas Pajak Tangguhan,Utang Jangka Panjang Dari Pihak Berelasi,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Kepentingan Non Pengendali,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,4271208000000.000000,,623134000000.000000,2260082000000.000000,2087348000000.000000,172734000000.000000,2260082000000.000000,500889000000.000000,404927000000.000000,95962000000.000000,500889000000.000000,6061219000000.000000,606729000000.000000,14323261000000.000000,,229515000000.000000,5212369000000.000000,3618678000000.000000,1593691000000.000000,5212369000000.000000,9586545000000.000000,,4481524000000.000000,2598148000000.000000,3159947000000.000000,25268048000000.000000,39591309000000.000000,,,16262161000000.000000,7634711000000.000000,2153921000000.000000,,2449368000000.000000,65321000000.000000,2514689000000.000000,,458818000000.000000,208559000000.000000,667377000000.000000,1103395000000.000000,598091000000.000000,,606610000000.000000,975309000000.000000,,8058000000.000000,,1589977000000.000000,,16262161000000.000000,10170208000000.000000,,5204922000000.000000,1989588000000.000000,6088000000.000000,,,7200598000000.000000,1888123000000.000000,,1081487000000.000000,10170208000000.000000,26432369000000.000000,,878043000000.000000,1497733000000.000000,5328387000000.000000,60000000000.000000,5268387000000.000000,5328387000000.000000,4587407000000.000000,867370000000.000000,13158940000000.000000,39591309000000.000000,8780426500.000000
12M 2009,,,4474830000000.000000,,331330000000.000000,1956166000000.000000,1843516000000.000000,112650000000.000000,1956166000000.000000,340308000000.000000,226786000000.000000,113522000000.000000,340308000000.000000,5117484000000.000000,734695000000.000000,12954813000000.000000,,348599000000.000000,5719028000000.000000,3692003000000.000000,2027025000000.000000,5719028000000.000000,10808449000000.000000,,4387760000000.000000,2464910000000.000000,3699394000000.000000,27428140000000.000000,40382953000000.000000,,,11158962000000.000000,5017603000000.000000,363756000000.000000,,1604014000000.000000,82604000000.000000,1686618000000.000000,,507690000000.000000,290317000000.000000,798007000000.000000,1326468000000.000000,629569000000.000000,,1331737000000.000000,,,5204000000.000000,,1336941000000.000000,,11158962000000.000000,13727819000000.000000,,6242949000000.000000,4313910000000.000000,1039000000.000000,,,10557898000000.000000,1764578000000.000000,,1405343000000.000000,13727819000000.000000,24886781000000.000000,,878043000000.000000,1497733000000.000000,6991568000000.000000,65000000000.000000,6926568000000.000000,6991568000000.000000,5340677000000.000000,788151000000.000000,15496172000000.000000,40382953000000.000000,8780426500.000000
12M 2010,,,10439353000000.000000,,461725000000.000000,2400483000000.000000,2245977000000.000000,154506000000.000000,2400483000000.000000,285790000000.000000,157064000000.000000,128726000000.000000,285790000000.000000,5644141000000.000000,846502000000.000000,20077994000000.000000,,492514000000.000000,5915740000000.000000,4000320000000.000000,1915420000000.000000,5915740000000.000000,11737142000000.000000,,3878674000000.000000,2331671000000.000000,2842220000000.000000,27197961000000.000000,47275955000000.000000,,,9859118000000.000000,2360484000000.000000,1760829000000.000000,,1619474000000.000000,120489000000.000000,1739963000000.000000,,629313000000.000000,266646000000.000000,895959000000.000000,1683353000000.000000,466793000000.000000,,947928000000.000000,,2839000000.000000,970000000.000000,,951737000000.000000,,9859118000000.000000,12563999000000.000000,,4960094000000.000000,4282995000000.000000,9819000000.000000,50000000.000000,,9252958000000.000000,1573087000000.000000,,1737954000000.000000,12563999000000.000000,22423117000000.000000,,878043000000.000000,1497733000000.000000,9110852000000.000000,70000000000.000000,9040852000000.000000,9110852000000.000000,8068167000000.000000,5298043000000.000000,24852838000000.000000,47275955000000.000000,8780426500.000000
12M 2011,,,13049048000000.000000,,574800000000.000000,2911803000000.000000,2584084000000.000000,327719000000.000000,2911803000000.000000,757502000000.000000,393644000000.000000,363858000000.000000,757502000000.000000,6536343000000.000000,672238000000.000000,24501734000000.000000,,668000000000.000000,6391944000000.000000,4510700000000.000000,1881244000000.000000,6391944000000.000000,12921013000000.000000,,3878674000000.000000,2198433000000.000000,3026135000000.000000,29084199000000.000000,53585933000000.000000,,,12831304000000.000000,2842973000000.000000,2160600000000.000000,,1684284000000.000000,115452000000.000000,1799736000000.000000,,757635000000.000000,310384000000.000000,1068019000000.000000,1534014000000.000000,417870000000.000000,,1039225000000.000000,1962558000000.000000,6259000000.000000,50000000.000000,,3008092000000.000000,,12831304000000.000000,9144404000000.000000,,3313280000000.000000,2327712000000.000000,33575000000.000000,,,5674567000000.000000,1470720000000.000000,1923474000000.000000,75643000000.000000,9144404000000.000000,21975708000000.000000,,878043000000.000000,1497733000000.000000,11020235000000.000000,75000000000.000000,10945235000000.000000,11020235000000.000000,12213428000000.000000,6000786000000.000000,31610225000000.000000,53585933000000.000000,8780426500.000000
12M 2012,,,13343028000000.000000,,552726000000.000000,3013159000000.000000,2691271000000.000000,321888000000.000000,3013159000000.000000,604582000000.000000,385191000000.000000,219391000000.000000,604582000000.000000,7782594000000.000000,906883000000.000000,26202972000000.000000,,902850000000.000000,6921879000000.000000,4933229000000.000000,1988650000000.000000,6921879000000.000000,15775741000000.000000,,3878674000000.000000,2065195000000.000000,3576896000000.000000,33121235000000.000000,59324207000000.000000,,,13080544000000.000000,2613840000000.000000,3856065000000.000000,,2281949000000.000000,155068000000.000000,2437017000000.000000,,1135178000000.000000,347296000000.000000,1482474000000.000000,1252665000000.000000,317360000000.000000,,491524000000.000000,,8334000000.000000,,,499858000000.000000,621265000000.000000,13080544000000.000000,12100989000000.000000,,3992605000000.000000,4323442000000.000000,37780000000.000000,,,8353827000000.000000,1362434000000.000000,,2384728000000.000000,12100989000000.000000,25181533000000.000000,,878043000000.000000,522249000000.000000,12744836000000.000000,80000000000.000000,12664836000000.000000,12744836000000.000000,12933959000000.000000,7063587000000.000000,34142674000000.000000,59324207000000.000000,8780426500.000000
12M 2013,,,13666194000000.000000,3398300000000.000000,692832000000.000000,4429033000000.000000,4053300000000.000000,375733000000.000000,4429033000000.000000,530383000000.000000,322114000000.000000,208269000000.000000,530383000000.000000,8160539000000.000000,1587216000000.000000,32464497000000.000000,,1249370000000.000000,7590370000000.000000,4742845000000.000000,2847525000000.000000,7590370000000.000000,23027913000000.000000,,3970420000000.000000,1931957000000.000000,7858262000000.000000,45628292000000.000000,78092789000000.000000,,,19471309000000.000000,4625586000000.000000,4103558000000.000000,,3400715000000.000000,277135000000.000000,3677850000000.000000,,1172720000000.000000,,1172720000000.000000,1513147000000.000000,305536000000.000000,,954935000000.000000,2336642000000.000000,11111000000.000000,,,3302688000000.000000,770224000000.000000,19471309000000.000000,20248351000000.000000,,13294577000000.000000,1993227000000.000000,36511000000.000000,,,15324315000000.000000,1278384000000.000000,515443000000.000000,3130209000000.000000,20248351000000.000000,39719660000000.000000,,878043000000.000000,522249000000.000000,13609258000000.000000,85000000000.000000,13524258000000.000000,13609258000000.000000,14724534000000.000000,8639045000000.000000,38373129000000.000000,78092789000000.000000,8780426500.000000
12M 2014,,,14157619000000.000000,,665340000000.000000,3540639000000.000000,2986729000000.000000,553910000000.000000,3540639000000.000000,799031000000.000000,496276000000.000000,302755000000.000000,799031000000.000000,8454845000000.000000,13378262000000.000000,40995736000000.000000,,1587470000000.000000,8313555000000.000000,5116106000000.000000,3197449000000.000000,8313555000000.000000,22011488000000.000000,,3976524000000.000000,2761473000000.000000,6292639000000.000000,44943149000000.000000,85938885000000.000000,,,22681686000000.000000,5069833000000.000000,3922784000000.000000,,3307564000000.000000,539400000000.000000,3846964000000.000000,,1303973000000.000000,,1303973000000.000000,2051104000000.000000,479296000000.000000,,1091748000000.000000,,11349000000.000000,,,1103097000000.000000,4904635000000.000000,22681686000000.000000,22028823000000.000000,,12826553000000.000000,3985409000000.000000,25914000000.000000,,,16837876000000.000000,1174397000000.000000,523202000000.000000,3493348000000.000000,22028823000000.000000,44710509000000.000000,,878043000000.000000,522249000000.000000,16215970000000.000000,90000000000.000000,16125970000000.000000,16215970000000.000000,15528042000000.000000,8084072000000.000000,41228376000000.000000,85938885000000.000000,8780426500.000000
12M 2015,,,13076076000000.000000,,1090607000000.000000,4255814000000.000000,3522553000000.000000,733261000000.000000,4255814000000.000000,860796000000.000000,458089000000.000000,402707000000.000000,860796000000.000000,7627360000000.000000,15906092000000.000000,42816745000000.000000,,2083290000000.000000,8806261000000.000000,5193423000000.000000,3612838000000.000000,8806261000000.000000,25096342000000.000000,42188000000.000000,3976524000000.000000,2628235000000.000000,6381941000000.000000,49014781000000.000000,91831526000000.000000,,,25107538000000.000000,5971569000000.000000,1747575000000.000000,,3080946000000.000000,503958000000.000000,3584904000000.000000,,1589265000000.000000,,1589265000000.000000,2137266000000.000000,352910000000.000000,,2949803000000.000000,,42942000000.000000,,,2992745000000.000000,6731304000000.000000,25107538000000.000000,23602395000000.000000,,12889330000000.000000,3989156000000.000000,15466000000.000000,,,16893952000000.000000,1518833000000.000000,338848000000.000000,4850762000000.000000,23602395000000.000000,48709933000000.000000,,878043000000.000000,522249000000.000000,16827340000000.000000,95000000000.000000,16732340000000.000000,16827340000000.000000,15852242000000.000000,9041719000000.000000,43121593000000.000000,91831526000000.000000,8780426500.000000
12M 2016,,,13362236000000.000000,,534138000000.000000,4616846000000.000000,3729640000000.000000,887206000000.000000,4616846000000.000000,587671000000.000000,216638000000.000000,371033000000.000000,587671000000.000000,8469821000000.000000,1414731000000.000000,28985443000000.000000,,2044321000000.000000,9109409000000.000000,6014014000000.000000,3095395000000.000000,9109409000000.000000,25701913000000.000000,42188000000.000000,3976524000000.000000,2329997000000.000000,9984720000000.000000,53189072000000.000000,82174515000000.000000,,,19219441000000.000000,5697745000000.000000,1218864000000.000000,,2964533000000.000000,573340000000.000000,3537873000000.000000,,1222334000000.000000,,1222334000000.000000,2260066000000.000000,840162000000.000000,,1608077000000.000000,1999082000000.000000,10460000000.000000,,,3617619000000.000000,824778000000.000000,19219441000000.000000,19013651000000.000000,,9889092000000.000000,1994160000000.000000,4603000000.000000,,,11887855000000.000000,1050282000000.000000,542099000000.000000,5533415000000.000000,19013651000000.000000,38233092000000.000000,,878043000000.000000,283732000000.000000,19506084000000.000000,100000000000.000000,19406084000000.000000,19506084000000.000000,14967137000000.000000,8306427000000.000000,43941423000000.000000,82174515000000.000000,8780426500.000000
12M 2017,,,13689998000000.000000,,800159000000.000000,5039733000000.000000,3941053000000.000000,1098680000000.000000,5039733000000.000000,1813152000000.000000,1430300000000.000000,382852000000.000000,1813152000000.000000,9690981000000.000000,1481376000000.000000,32515399000000.000000,,2120165000000.000000,9403598000000.000000,6375322000000.000000,3028276000000.000000,9403598000000.000000,29787303000000.000000,42188000000.000000,3968725000000.000000,1830140000000.000000,8271970000000.000000,55424089000000.000000,87939488000000.000000,,,21637763000000.000000,9949734000000.000000,636225000000.000000,,3361953000000.000000,714034000000.000000,4075987000000.000000,,1390487000000.000000,,1390487000000.000000,2153449000000.000000,392351000000.000000,,2124644000000.000000,,2264000000.000000,,,2126908000000.000000,912622000000.000000,21637763000000.000000,19545001000000.000000,,7618216000000.000000,3986500000000.000000,2377000000.000000,,,11607093000000.000000,1011722000000.000000,351659000000.000000,6574527000000.000000,19545001000000.000000,41182764000000.000000,,878043000000.000000,283732000000.000000,21378442000000.000000,105000000000.000000,21273442000000.000000,21378442000000.000000,15577880000000.000000,8638627000000.000000,46756724000000.000000,87939488000000.000000,8780426500.000000
