Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kas Kepada Pemasok,Pembayaran Untuk Beban Produksidan Usaha,Pembayaran Kepada Karyawan,Penerimaan Penghasilan Bunga,Pembayaran Beban Bunga,Pembayaran Pajak - Neto,Penerimaan (Pembayaran) Lainnya - Neto,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Penerimaan Dari Penjualan Investasi Oleh Anak Perusahaan,Penerimaan Dari Penjualan Penyertaan Jangka Panjang,Penerimaan Dividen Dari Kelompok Lepasan Yang Dimiliki Untuk Dijual,Penerimaan Dari Divestasi Operasi Yang Dihentikan,Penerimaan Dari Penjualan Aset Tetap,Penambahan Aset Tidak Berwujud,Pembayaran Untuk Akuisisi,Penambahan Investasi Jangka Panjang Dan Uang Muka Penyertaan Di Ventura Bersama,Penerimaan Dari Penjualan Saham Entitas Anak Kepada Kepentingan Nonpengendali,Kontribusi Modal Dari Kepentingan Nonpengendali,Perolehan Aset Tetap,Penambahan Aset Tetap Dan Tanaman Perkebunan,Penambahan Aset Biologis,Investasi Pada Deposito Berjangka,Pembayaran Untuk Perolehan Saham,Investasi Pada Entitas Asosiasi,"Akuisisi Entitas Anak, Setelah Dikurangi Kas Yang Diperoleh",Akuisisi Entitas Anak Dari Kepentingan Nonpengendali,Akuisisi Entitas Anak Baru,Uang Muka Untuk Pembelian Investasi,Uang Muka Untuk Perolehan Aset Tetap,Penambahan Modal Dan Uang Muka Setoran Modal Pada Entitas Asosiasi,Investasi Pada Surat Utang Konversi,Penempatan Investasi Jangka Pendek,Penjualan Saham Entitas Anak Kepada Kepentingan Nonpengendali,Pembayaran Untuk Perolehan Saham Entitas Anak Dari Kepentingan Nonpengendali,Kapitalisasi Beban Tanaman Tebu Ditangguhkan,Kas Dan Setara Kas Dari Entitas Anak Yang Didekonsilidasi,Pembayaran Investasi Di Entitas Anak,Penerimaan Dari Penjualan Investasi Jangka Pendek,Pembayaran Uang Muka Pembelian Aset,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan Dari Utang Bank Jangka Pendek,Penerimaan Dari Utang Bank Jangka Panjang,Penerimaan Pinjaman Jangka Panjang Dari Pihak Berelasi,Penerimaan Dari Utang Jangkan Panjang Lainnya,Kontribusi Modal Dan Uang Muka Setoran Modal Dari Kepentingan Nonpengendali,Penerimaan Uang Muka Setoran Modal Dari Kepentingan Nonpengendali,Kontribusi Modal Dari Kepentingan Nonpengendali,Total Kontribusi Modal Dan Uang Muka Setoran Modal Dari Kepentingan Nonpengendali,Pembayaran Utang Bank Jangka Pendek,Pembayaran Utang Bank Jangka Panjang,Pembayaran Utang Bank Jangka Panjang Lainnya,Pelunasan Pinjaman Jangka Panjang Ke Pihak Berelasi,Pembayaran Liabilitas Sewa,Pembayaran Dividen Kas Oleh Entitas Anak Kepada Kepentingan Nonpengendali,Pelunasan Obligasi Dan Sukuk Ijarah,Penerimaan Setoran Modal Pemegang Saham Nonpengendali,Pembayaran Dividen Kas,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Modal Saham,Penerimaan Dari Penambahan Pinjaman,Penerimaan Dari Penerbitan Obligasi Rupiah Vi - Neto,Penerimaan Dari Penerbitan Obligasi Rupiah Vii - Neto,Penerimaan Dari Penerbitan Obligasi Rupiah Viii - Neto,Penerimaan Penjualan Modal,Pelunasan Obligasi Rupiah Iv,Pelunasan Obligasi Rupiah V,Pelunasan Obligasi Rupiah Vi,Pelunasan Obligasi Rupiah Vii,Pembelian Saham Treasuri Oleh Entitas Anak,Investasi Pada Surat Utang Konversi,Pembayaran Utang Sewa Pembiayaan,Penerimaan Penjualan Modal Saham Yang Diperoleh Kembali,Penerimaan Dari Penerbitan Saham Baru Entitas Anak,Penerimaan Penjualan Modal Saham Anak Perusahaan Yang Diperoleh Kembali,Penerimaan Setoran Modal,Pembayaran Kembali Obligasi Rupiah Ii,Pembayaran Untuk Pembelian Kembali Obligasi,Pembayaran Obligasi Yang Jatuh Tempo,Penerimaan Dan Penerbitan Obligasi Rupiah V,Penerimaan Dan Penerbitan Obligasi Anak Perusahaan-Bersih,Penerimaan Utang Obligasi,Penerimaan Dari Penerbit Saham,Pembayaran Liabilitas Jangka Pendek Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Kas Dan Setara Kas Akhir Periode
12M 2008,2684806000000.000000,39048055000000.000000,-24565545000000.000000,-6946196000000.000000,-2504346000000.000000,174032000000.000000,-1054920000000.000000,-1349469000000.000000,-116805000000.000000,2684806000000.000000,-7575214000000.000000,59498000000.000000,,,,,,-2332303000000.000000,,-3919248000000.000000,,,,,,,,,,,-141748000000.000000,,,,-337113000000.000000,,,-37762000000.000000,,,,-866538000000.000000,-7575214000000.000000,4600553000000.000000,7493537000000.000000,4277137000000.000000,,,,,,,-5784761000000.000000,-300511000000.000000,,,,-19410000000.000000,,,-366730000000.000000,,-74806000000.000000,,,,,,,,,,,,,602597000000.000000,,,,,,-1226500000000.000000,,,,,,4600553000000.000000,,-289855000000.000000,4561063000000.000000,4271208000000.000000
12M 2009,2314507000000.000000,37444745000000.000000,-21785929000000.000000,-6960956000000.000000,-2941835000000.000000,163850000000.000000,-1571142000000.000000,-1939672000000.000000,-94554000000.000000,2314507000000.000000,-2824081000000.000000,56180000000.000000,,,,383739000000.000000,,-2917901000000.000000,,-115965000000.000000,,,,,,,,,,,,,,,,,,-57694000000.000000,,,,-172440000000.000000,-2824081000000.000000,713128000000.000000,5963548000000.000000,4351612000000.000000,,,,,,,-8505929000000.000000,-2068756000000.000000,,,,-146130000000.000000,,,-412680000000.000000,,,,1597998000000.000000,,,,,,,,,,,,,187766000000.000000,,,,-976000000000.000000,721699000000.000000,,,,,713128000000.000000,,203554000000.000000,4271276000000.000000,4474830000000.000000
12M 2010,6909950000000.000000,37959043000000.000000,-17400278000000.000000,-7494063000000.000000,-3147791000000.000000,163591000000.000000,-1179098000000.000000,-1889463000000.000000,-101991000000.000000,6909950000000.000000,-2089509000000.000000,764252000000.000000,,,,57988000000.000000,,,,,,-2575716000000.000000,,,,-263059000000.000000,-11867000000.000000,,,,,,,,,,,-61107000000.000000,,,,,-2089509000000.000000,1144082000000.000000,2683138000000.000000,,,,,,,,-5289362000000.000000,-4469245000000.000000,,,,-159474000000.000000,,,-816580000000.000000,,,2957708000000.000000,,,,,,,,,,,,,6086340000000.000000,173435000000.000000,14917000000.000000,,-36795000000.000000,,,,,,,1144082000000.000000,,5964523000000.000000,4474830000000.000000,10439353000000.000000
12M 2011,4968991000000.000000,44820937000000.000000,-24867074000000.000000,-9317685000000.000000,-3396541000000.000000,436017000000.000000,-1831108000000.000000,-877012000000.000000,1457000000.000000,4968991000000.000000,-3098274000000.000000,,,,,49409000000.000000,,,,-2906415000000.000000,-81210000000.000000,-14590000000.000000,,,,,,-145468000000.000000,,,,,,,,,,,,,,,-3098274000000.000000,782066000000.000000,3423492000000.000000,3349449000000.000000,,,1016359000000.000000,,,1016359000000.000000,-2873492000000.000000,-2528085000000.000000,,,,-1167798000000.000000,,,-345686000000.000000,-81413000000.000000,,,-9789000000.000000,,,,,,,,,,-971000000.000000,,,,,,,,,,,,,782066000000.000000,24423000000.000000,2677206000000.000000,10328991000000.000000,13006197000000.000000
12M 2012,7407134000000.000000,50031638000000.000000,-25518728000000.000000,-10717147000000.000000,-3845923000000.000000,552014000000.000000,-2245880000000.000000,-916590000000.000000,67750000000.000000,7407134000000.000000,-5077920000000.000000,,,,,298227000000.000000,,,,12712000000.000000,,-4434745000000.000000,,,,,-235160000000.000000,,,,,-329205000000.000000,,,,,-200052000000.000000,-189697000000.000000,,,,,-5077920000000.000000,-2308723000000.000000,1022380000000.000000,1328041000000.000000,,,30517000000.000000,,,30517000000.000000,-1817860000000.000000,-709509000000.000000,,,,-603103000000.000000,,,-1536575000000.000000,-6385000000.000000,,,1990616000000.000000,,,,-1964000000000.000000,,,,-42795000000.000000,,-50000000.000000,,,,,,,,,,,,,-2308723000000.000000,190942000000.000000,211433000000.000000,13006197000000.000000,13217630000000.000000
12M 2013,6928790000000.000000,57335336000000.000000,-30730271000000.000000,-12378470000000.000000,-4770551000000.000000,513735000000.000000,-1088505000000.000000,-1972114000000.000000,19630000000.000000,6928790000000.000000,-14401832000000.000000,,,,,73212000000.000000,,,,,,-5359482000000.000000,,,-3398300000000.000000,,-1418760000000.000000,-2969902000000.000000,,,,-1181632000000.000000,,,,,,-146968000000.000000,,,,,-14401832000000.000000,6790594000000.000000,9131519000000.000000,9332199000000.000000,,,330167000000.000000,,,330167000000.000000,-8598230000000.000000,-1014638000000.000000,,,,-552396000000.000000,,,-1624380000000.000000,-1422000000.000000,,,,,,,,,,,-212225000000.000000,,,,,,,,,,,,,,,6790594000000.000000,980673000000.000000,298225000000.000000,13220485000000.000000,13518710000000.000000
12M 2014,9269318000000.000000,69061463000000.000000,-36388546000000.000000,-14085551000000.000000,-6101960000000.000000,866999000000.000000,-1628172000000.000000,-2398644000000.000000,-56271000000.000000,9269318000000.000000,-10162607000000.000000,,66312000000.000000,,,42569000000.000000,-367756000000.000000,,,,,-4749421000000.000000,,,-4003380000000.000000,,-296095000000.000000,-164952000000.000000,,,,-472397000000.000000,,,,,,-217487000000.000000,,,,,-10162607000000.000000,1402739000000.000000,5926863000000.000000,2447317000000.000000,,,205786000000.000000,,,205786000000.000000,-3805066000000.000000,-1109732000000.000000,,,,-487811000000.000000,-2340000000000.000000,,-1246821000000.000000,-11185000000.000000,,,,1989645000000.000000,,,,,,,-166257000000.000000,,,,,,,,,,,,,,,1402739000000.000000,129645000000.000000,639095000000.000000,13518710000000.000000,14157805000000.000000
12M 2015,4213613000000.000000,63457708000000.000000,-35923449000000.000000,-14292097000000.000000,-5964581000000.000000,736000000000.000000,-1512087000000.000000,-2333641000000.000000,45760000000.000000,4213613000000.000000,-5665905000000.000000,,395617000000.000000,345822000000.000000,,16130000000.000000,,,,,,-3540744000000.000000,,,-32569000000.000000,,-468873000000.000000,-1119760000000.000000,,,,-1078175000000.000000,,,,,,-183353000000.000000,,,,,-5665905000000.000000,-140835000000.000000,8925243000000.000000,1357802000000.000000,158075000000.000000,,492662000000.000000,,,492662000000.000000,-6837891000000.000000,-1441240000000.000000,,-122600000000.000000,,-576828000000.000000,,,-1931694000000.000000,-12461000000.000000,,,,,,,,,,,-151903000000.000000,,,,,,,,,,,,,,,-140835000000.000000,514733000000.000000,-1078394000000.000000,14040435000000.000000,12962041000000.000000
12M 2016,7175603000000.000000,66544619000000.000000,-35278103000000.000000,-14292865000000.000000,-6286442000000.000000,674541000000.000000,-1578453000000.000000,-2678358000000.000000,70664000000.000000,7175603000000.000000,-848823000000.000000,,3503138000000.000000,,,53045000000.000000,,,,,,-2770246000000.000000,,,,,-1099924000000.000000,-54996000000.000000,,,,-341488000000.000000,,,,,-8199000000.000000,-130153000000.000000,,,,,-848823000000.000000,-5807917000000.000000,18190623000000.000000,1837779000000.000000,202805000000.000000,,113388000000.000000,,,113388000000.000000,-18345447000000.000000,-5829462000000.000000,,,,-489601000000.000000,,,-1475112000000.000000,-12890000000.000000,,,,,,,,,,,,,,,,,,,,,,,,,,-5807917000000.000000,-118668000000.000000,400195000000.000000,12962041000000.000000,13362236000000.000000
12M 2017,6507803000000.000000,69926072000000.000000,-37294880000000.000000,-15083856000000.000000,-6802016000000.000000,615790000000.000000,-1385805000000.000000,-3422799000000.000000,-44703000000.000000,6507803000000.000000,-6057774000000.000000,,1147329000000.000000,,,100687000000.000000,,,,,,-6358639000000.000000,,,,,-378226000000.000000,,,,,-365108000000.000000,,,,,,-197325000000.000000,-6492000000.000000,,,,-6057774000000.000000,-155600000000.000000,15930494000000.000000,1064236000000.000000,12000000000.000000,,214148000000.000000,,,214148000000.000000,-11693132000000.000000,-2898567000000.000000,,,,-671393000000.000000,,,-2063401000000.000000,-39054000000.000000,,,,,1989069000000.000000,,,,-2000000000000.000000,,,,,,,,,,,,,,,,,-155600000000.000000,33333000000.000000,327762000000.000000,13362236000000.000000,13689998000000.000000
