Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,"Pembayaran Kas Kepada Pemasok, Karyawan Dan Beban Operasi",Pembayaran Bunga Dan Beban Keuangan,Penerimaan Penghasilan Keuangan,Pembayaran Pajak Penghasilan,Pembayaran Pajak Final,Kenaikan Utang Pajak,Pembayaran Pajak Bumi Dan Bangunan,Penerimaan Hasil Restitusi Pajak Penghasilan Badan Dan Pajak Pertambahan Nilai,Taksiran Tagihan Pajak,Penerimaan Bunga,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Hasil Penjualan Aset Tetap,Hasil Penjualan Aset Tetap Yang Tidak Digunakan,Penurunan Investasi Jangka Panjang,Penerimaan Bunga,Perolehan Aset Lain-Lain,Penurunan Aset Lain-Lain,Perolehan Aset Tetap,Perolehan Properti Investasi,Penempatan Deposito Berjangka,Penerimaan (Pembayaran) Piutang Kepada Pihak Yang Berelasi,Penarikan Deposito Berjangka,Pengembalian Uang Muka Aset Tersedia Untuk Dijual,Penerimaan Dari Aset Tersedia Untuk Dijual,Uang Muka Pembelian Aset Tetap,Penerimaan (Pembayaran) Uang Jaminan,Pengurangan Aset Tetap,Knaikan (Penurunan) Piutang Pihak Berelasi,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Hasil Dari Transaksi Jual Dan Sewa- Balik,Penerimaan Utang Bank,Pembayaran Utang Bank,Penerimaan (Pembayaran) Dari Pinjaman Konversi,Kenaikan (Penurunan) Atas:,Utang Pihak Yang Berelasi,Utang Bank,Utang Sewa Pembiayaan,Utang Lain-Lain,Total Kenaikan (Penurunan) Atas:,Pembayaran Utang Pembelian Aset Tetap,Pembayaran Atas:,Utang Pembiayaan Konsumen,Utang Subordinasi,Utang Sewa Pembiayaan,Total Pembayaran Atas:,Penerimaan (Pembayaran) Obligasi Konversi,Total Arus Kas Dari Aktivitas Pendanaan,Penurunan Bersih Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Pengaruh Penjabaran Laporan Keuangan,Selisih Arus Kas Akibat Beda Periode Pelaporan,Kas Dan Setara Kas Akhir Periode
12M 2008,-19457953000.000000,1129970108000.000000,-1106693820000.000000,-49150565000.000000,,-3539030000.000000,,,,9955354000.000000,,,-19457953000.000000,1083670000.000000,,,,65867000.000000,77470000.000000,,-15824957000.000000,,,17173289000.000000,,,,,-407999000.000000,,,1083670000.000000,26365827000.000000,,,,,,,-328634173000.000000,,,-328634173000.000000,,,,,,,355000000000.000000,26365827000.000000,7991544000.000000,8564251000.000000,,,,16555795000.000000
12M 2009,-57703766000.000000,787475443000.000000,-807364744000.000000,-42816665000.000000,,,,,,5002200000.000000,,,-57703766000.000000,73948012000.000000,,,60128540000.000000,162986000.000000,,,4382459000.000000,,,8150107000.000000,,,,,1123920000.000000,,,73948012000.000000,-18851211000.000000,,,,,,,-18851211000.000000,,,-18851211000.000000,,,,,,,,-18851211000.000000,-2606965000.000000,16555796000.000000,,,,13948831000.000000
12M 2010,-8368304000.000000,669821226000.000000,-655804570000.000000,-27979034000.000000,,-3747457000.000000,,,,9004094000.000000,,337437000.000000,-8368304000.000000,-15537239000.000000,891884000.000000,,,,-1370532000.000000,,-12881656000.000000,,-1209602000.000000,-967333000.000000,,,,,,,,-15537239000.000000,30788652000.000000,,,,334800000000.000000,,6851076000.000000,-309132552000.000000,,,-302281476000.000000,,,-377922000.000000,-1351950000.000000,,-1729872000.000000,,30788652000.000000,6883109000.000000,13948831000.000000,,,,20831940000.000000
12M 2011,-49166131000.000000,839718092000.000000,-874621629000.000000,-10806359000.000000,,-5606550000.000000,,,,1824668000.000000,,325647000.000000,-49166131000.000000,11458051000.000000,326000000.000000,18445438000.000000,,,5000000.000000,,-9755887000.000000,,-6403000.000000,2443903000.000000,,,,,,,,11458051000.000000,45340139000.000000,173000000000.000000,,,,,-3186227000.000000,-124225285000.000000,,,-127411512000.000000,,,-248349000.000000,,,-248349000.000000,,45340139000.000000,7632059000.000000,20831940000.000000,,,,28463999000.000000
12M 2012,13606283000.000000,991511113000.000000,-963280933000.000000,-16794286000.000000,,-1906406000.000000,,,,3747457000.000000,,329338000.000000,13606283000.000000,-17126516000.000000,2780019000.000000,,,,,,-20749179000.000000,,-514517000.000000,1357161000.000000,,,,,,,,-17126516000.000000,-9661678000.000000,,,,,,-6879217000.000000,,,,-6879217000.000000,,,-346269000.000000,,-2436192000.000000,-2782461000.000000,,-9661678000.000000,-13181911000.000000,28463999000.000000,,,,15282088000.000000
12M 2013,-237320096000.000000,1285908889000.000000,-1510405833000.000000,-16938700000.000000,,-1668489000.000000,,,,5606550000.000000,,177487000.000000,-237320096000.000000,-27222746000.000000,274300000.000000,,,,,,-25034514000.000000,,-533919000.000000,-1928613000.000000,,,,,,,,-27222746000.000000,272193555000.000000,,365670000000.000000,,,,-21323342000.000000,,,,-21323342000.000000,,,-72153103000.000000,,,-72153103000.000000,,272193555000.000000,7650713000.000000,15282088000.000000,,23702270000.000000,,46635071000.000000
12M 2014,-2137586.000000,115736142.000000,-116119962.000000,-1835149.000000,,-137060.000000,,,,201512.000000,,16931.000000,-2137586.000000,-304283.000000,1207403.000000,,,,,,-187192.000000,,765.000000,-27357.000000,,,,,,,-1297902.000000,-304283.000000,-667000.000000,,,,,,,,,,,,,,,-667000.000000,-667000.000000,,-667000.000000,-3108869.000000,3825996.000000,,,,717127.000000
12M 2015,-4209656.000000,38949783.000000,-41384773.000000,-1812523.000000,,-106972.000000,,,,136829.000000,,8000.000000,-4209656.000000,336569.000000,,,,,,,-736990.000000,,,-137014.000000,,,,,,,1210573.000000,336569.000000,3866199.000000,,5000000.000000,,,,,,,,,,,,,-1133801.000000,-1133801.000000,,3866199.000000,-6888.000000,717127.000000,,,,710239.000000
12M 2016,-17109141.000000,50182620.000000,-65453218.000000,-1905128.000000,,-213944.000000,,,,242217.000000,,38312.000000,-17109141.000000,-1345990.000000,113456.000000,,,,,,-161505.000000,,,-1290570.000000,,,,,,,-7371.000000,-1345990.000000,21133130.000000,,56608000.000000,-35000000.000000,,,,,,,,,,,,-474870.000000,-474870.000000,,21133130.000000,2677999.000000,710238.000000,9035.000000,,,3397272.000000
12M 2017,-377344.000000,33492699.000000,-29137123.000000,-4627388.000000,,-120402.000000,,,,,,14870.000000,-377344.000000,824135.000000,1170714.000000,,,,,,-76776.000000,,,-269803.000000,,,,,,,,824135.000000,-3046028.000000,,1000000.000000,,-3292019.000000,,,,,,,,,,,-754009.000000,-754009.000000,,-3046028.000000,-2599237.000000,3397272.000000,-5821.000000,,,792214.000000
