Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,3.88,335.17,3.88,335.17,459 B,517 B,976 B,960 B,(369 B)
12M 2009,11.88,109.44,11.88,109.44,133 B,736 B,869 B,855 B,(99 B)
12M 2010,2.06,631.50,2.06,631.50,208 B,626 B,833 B,812 B,(127 B)
12M 2011,3.57,308.21,3.57,308.21,76 B,831 B,907 B,878 B,8 B
12M 2012,1.52,660.00,1.52,660.00,66 B,886 B,952 B,936 B,(105 B)
12M 2013,1.23,974.25,1.23,974.25,431 B,"1,002 B","1,433 B","1,386 B",(304 B)
12M 2014,-1.43,-804.63,-1.43,-804.63,398 B,997 B,"1,396 B","1,387 B",(524 B)
12M 2015,-0.69,-1301.01,-0.69,-1301.01,494 B,"1,045 B","1,538 B","1,529 B",(732 B)
12M 2016,-0.39,-2281.98,-0.39,-2281.98,771 B,"1,006 B","1,777 B","1,732 B",(818 B)
12M 2017,-0.28,-2918.93,-0.28,-2918.93,793 B,721 B,"1,514 B","1,503 B","(1,211 B)"
12M 2018,-0.24,-3455.62,-0.24,-3455.62,888 B,738 B,"1,626 B","1,621 B","(1,409 B)"
12M 2019,-0.23,-3588.91,-0.23,-3588.91,877 B,725 B,"1,602 B","1,600 B","(1,432 B)"
12M 2020,-0.51,-3867.00,-0.51,-3867.00,233 B,400 B,633 B,632 B,"(1,853 B)"
12M 2021,-0.42,-3962.60,-0.42,-3962.60,236 B,413 B,648 B,646 B,"(1,566 B)"
12M 2022,-0.30,-4119.59,-0.30,-4119.59,87 B,463 B,550 B,546 B,"(1,660 B)"
12M 2023,23.34,41.13,23.34,41.13,131 B,451 B,582 B,570 B,(300 B)
12M 2024,25.52,38.40,25.52,38.40,137 B,471 B,608 B,603 B,(276 B)
