Period,Aset,Aset Lancar,Kas Dan Setara Kas,Deposito Berjangka,Piutang Usaha,Pihak Berelasi,Pihak Ketiga,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Others,Total Aset Lancar,Aset Tidak Lancar,Piutang Pihak Berelasi,Deposito Berjangka,Investasi Jangka Panjang,Properti Investasi,Aset Tetap,Aset Pajak Tangguhan,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Bank Jangka Pendek,Utang Usaha,Pihak Berelasi,Pihak Ketiga,Total Utang Usaha,Utang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Utang Lain-Lain,Utang Pembelian Aset Tetap,Utang Pajak,Beban Akrual,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Sewa Pembiayaan,Utang Pembiayaan Konsumen,Utang Konversi,Others,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Sewa Pembiayaan,Utang Bank Jangka Panjang,Utang Pembiayaan Konsumen,Utang Konversi,Others,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Jangka Panjang Dari Pihak Berelasi,Utang Lain-Lain,Pihak Berelasi,Total Utang Lain-Lain,Obligasi Konversi,Obligasi Subordinasi,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,16555796000.000000,,83977826000.000000,25017883000.000000,58959943000.000000,83977826000.000000,224518000.000000,,,224518000.000000,189563006000.000000,35014950000.000000,325336096000.000000,,8349374000.000000,,60128540000.000000,,1284509455000.000000,42469279000.000000,3448607000.000000,1398905255000.000000,1724241351000.000000,,,694511785000.000000,147740585000.000000,,45021630000.000000,140200618000.000000,185222248000.000000,12569950000.000000,,,12569950000.000000,,259699000.000000,30696300000.000000,,311236003000.000000,,,,,311236003000.000000,6787000000.000000,694511785000.000000,917260663000.000000,,,,,,,,72500000000.000000,,,,,444775922000.000000,,399984741000.000000,917260663000.000000,1611772448000.000000,,167778725000.000000,,-1837305896000.000000,1781996074000.000000,112468903000.000000,1724241351000.000000,335557450.000000
12M 2009,,,13948831000.000000,,51459477000.000000,11696847000.000000,39762630000.000000,51459477000.000000,518281000.000000,,,518281000.000000,105178167000.000000,14437136000.000000,185541892000.000000,,4651019000.000000,,,,1204028284000.000000,64607974000.000000,2226797000.000000,1275514074000.000000,1461055966000.000000,,,284958817000.000000,128925377000.000000,,18140910000.000000,74701554000.000000,92842464000.000000,42862526000.000000,,,42862526000.000000,,168970000.000000,16159480000.000000,,4000000000.000000,,,,,4000000000.000000,,284958817000.000000,1139374635000.000000,,,307200000000.000000,,,,307200000000.000000,46659176000.000000,,,,,381816773000.000000,,403698686000.000000,1139374635000.000000,1424333452000.000000,,167778725000.000000,,-1913049988000.000000,1781993777000.000000,36722514000.000000,1461055966000.000000,335557450.000000
12M 2010,,,20831940000.000000,1209602000.000000,47311697000.000000,14597679000.000000,32714018000.000000,47311697000.000000,84834000.000000,,,84834000.000000,117242958000.000000,10832856000.000000,197513887000.000000,,5618352000.000000,,,,1196201884000.000000,,28899443000.000000,1230719679000.000000,1428233566000.000000,,,324297485000.000000,124225285000.000000,,8036663000.000000,26658123000.000000,34694786000.000000,56184170000.000000,,,56184170000.000000,83057761000.000000,4265133000.000000,21582047000.000000,,,288303000.000000,,,,288303000.000000,,324297485000.000000,892032043000.000000,,,,305574000.000000,,,305574000.000000,49123057000.000000,,,,365581711000.000000,210722723000.000000,218679017000.000000,47619961000.000000,892032043000.000000,1216329528000.000000,,167778725000.000000,,-700492553000.000000,744617866000.000000,211904038000.000000,1428233566000.000000,335557450.000000
12M 2011,,,28463999000.000000,1216004000.000000,55721690000.000000,10423310000.000000,45298380000.000000,55721690000.000000,127804000.000000,,,127804000.000000,189374561000.000000,23427952000.000000,298332010000.000000,,3174449000.000000,,,,1139366938000.000000,,11997317000.000000,1154538704000.000000,1452870714000.000000,,,290767961000.000000,,,67346320000.000000,67506648000.000000,134852968000.000000,52619501000.000000,,,52619501000.000000,66984761000.000000,2553125000.000000,22880247000.000000,,,8340683000.000000,259147000.000000,,2277529000.000000,10877359000.000000,,290767961000.000000,1058680253000.000000,,164659317000.000000,,86382000.000000,,16211358000.000000,180957057000.000000,45936830000.000000,,,,403972948000.000000,216607903000.000000,161049457000.000000,50156058000.000000,1058680253000.000000,1349448214000.000000,,167778725000.000000,,-808974235000.000000,744618010000.000000,103422500000.000000,1452870714000.000000,335557450.000000
12M 2012,,,15282088000.000000,1730521000.000000,62519148000.000000,6741986000.000000,55777162000.000000,62519148000.000000,321308000.000000,,,321308000.000000,300495803000.000000,12546172000.000000,392895040000.000000,,1817287000.000000,,,,1403820236000.000000,,11281272000.000000,1416918795000.000000,1809813835000.000000,,,498084668000.000000,,,232648624000.000000,69362470000.000000,302011094000.000000,103718997000.000000,,,103718997000.000000,59937656000.000000,2719965000.000000,21186492000.000000,,,6060716000.000000,,,2449748000.000000,8510464000.000000,,498084668000.000000,1090262883000.000000,,164503092000.000000,,,,14997518000.000000,179500610000.000000,39057614000.000000,,,,446532952000.000000,235422884000.000000,134322652000.000000,55426171000.000000,1090262883000.000000,1588347551000.000000,,167778725000.000000,,-1593776464000.000000,1647464023000.000000,221466284000.000000,1809813835000.000000,335557450.000000
12M 2013,,,46635071000.000000,,104496703000.000000,14076578000.000000,90420125000.000000,104496703000.000000,554586000.000000,,,554586000.000000,424209545000.000000,52917446000.000000,628813351000.000000,,3745900000.000000,2264440000.000000,,,1701957201000.000000,,8251694000.000000,1716219235000.000000,2345032586000.000000,,,932372686000.000000,365670000000.000000,,291446734000.000000,142125307000.000000,433572041000.000000,,26735245000.000000,3952637000.000000,30687882000.000000,59523182000.000000,3640374000.000000,30757027000.000000,,,6244651000.000000,,,2277529000.000000,8522180000.000000,,932372686000.000000,1085742263000.000000,,92166054000.000000,,,,17734272000.000000,109900326000.000000,493729673000.000000,,,,302445657000.000000,113289735000.000000,54738699000.000000,11638173000.000000,1085742263000.000000,2018114949000.000000,,167778725000.000000,501545333000.000000,-1512027381000.000000,1169620960000.000000,326917637000.000000,2345032586000.000000,335557450.000000
12M 2014,,,717127.000000,185013.000000,3822185.000000,454094.000000,3368091.000000,3822185.000000,65058.000000,,,65058.000000,20082430.000000,4378185.000000,29249998.000000,,1619384.000000,,,,114367249.000000,,593771.000000,116580404.000000,145830402.000000,,,71365284.000000,30000000.000000,,13900044.000000,15768350.000000,29668394.000000,,699469.000000,672507.000000,1371976.000000,1483352.000000,156173.000000,1637242.000000,,,546502.000000,,,245576.000000,792078.000000,6256069.000000,71365284.000000,96167557.000000,,6860229.000000,,,,1061340.000000,7921569.000000,1427584.000000,,,,46592790.000000,25289546.000000,8253582.000000,6682486.000000,96167557.000000,167532841.000000,,72473905.000000,108224921.000000,-229446501.000000,27045236.000000,-21702439.000000,145830402.000000,335557450.000000
12M 2015,,,710238.000000,181365.000000,4280449.000000,337938.000000,3942511.000000,4280449.000000,103749.000000,,,103749.000000,14510171.000000,2305976.000000,22091948.000000,,408810.000000,,,,107194817.000000,,556195.000000,108159822.000000,130251770.000000,,,75179215.000000,35000000.000000,,16719524.000000,17485332.000000,34204856.000000,,1293262.000000,217713.000000,1510975.000000,133352.000000,133938.000000,1749819.000000,,,642770.000000,,,240107.000000,882877.000000,1563398.000000,75179215.000000,86719063.000000,,5630160.000000,,,,821233.000000,6451393.000000,1290570.000000,,,,43053427.000000,25775105.000000,7737201.000000,2411367.000000,86719063.000000,161898278.000000,,72473905.000000,108224921.000000,-239390569.000000,27045236.000000,-31646507.000000,130251771.000000,335557450.000000
12M 2016,,,3397272.000000,182260.000000,2960880.000000,296353.000000,2664527.000000,2960880.000000,127131.000000,,,127131.000000,19091352.000000,2107381.000000,27866276.000000,,416181.000000,,,,83029189.000000,,4845887.000000,88291257.000000,116157533.000000,,,88777553.000000,56608000.000000,,15992948.000000,1555548.000000,17548496.000000,,1613271.000000,7068608.000000,8681879.000000,133352.000000,79381.000000,3693172.000000,,,642289.000000,,,234638.000000,876927.000000,1156346.000000,88777553.000000,84371238.000000,,5527906.000000,,,,586595.000000,6114501.000000,,,,,43099324.000000,26269987.000000,6565613.000000,2321813.000000,84371238.000000,173148791.000000,,72473905.000000,108224921.000000,-264735320.000000,27045236.000000,-56991258.000000,116157533.000000,335557450.000000
12M 2017,,,792214.000000,181975.000000,2725472.000000,292920.000000,2432552.000000,2725472.000000,429296.000000,,,429296.000000,15537661.000000,532157.000000,20198775.000000,,685985.000000,,,,72667890.000000,,4907192.000000,78261067.000000,98459842.000000,,,109578487.000000,57608000.000000,,6546297.000000,2500177.000000,9046474.000000,,2668351.000000,14574667.000000,17243018.000000,,211223.000000,2236979.000000,,,937085.000000,,21267501.000000,234638.000000,22439224.000000,793569.000000,109578487.000000,61177434.000000,,4541617.000000,,,,351957.000000,4893574.000000,,,,,21872259.000000,26774371.000000,6043834.000000,1593396.000000,61177434.000000,170755921.000000,,72473905.000000,108224921.000000,-280040141.000000,27045236.000000,-72296079.000000,98459842.000000,335557450.000000
