Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Pendapatan Keuangan,Laba (Rugi) Selisih Kurs,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Keuntungan Atas Penjualan Entitas Anak,Final,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Pos Luar Biasa,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Pos Luar Biasa,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,1091775925000.000000,-1140787115000.000000,-49011190000.000000,-74566698000.000000,-52688035000.000000,-21878663000.000000,,-74566698000.000000,-123577888000.000000,-148664651000.000000,65867000.000000,-95010841000.000000,-49150565000.000000,184400000.000000,,,-4753512000.000000,-148664651000.000000,-272242539000.000000,-72253015000.000000,-344495554000.000000,11485065000.000000,-333010489000.000000,,,-333010489000.000000,-344495554000.000000,,11485065000.000000,-333010489000.000000,,,,
12M 2009,754957095000.000000,-837449247000.000000,-82492152000.000000,-44698059000.000000,-26579243000.000000,-18118816000.000000,,-44698059000.000000,-127190211000.000000,29307422000.000000,162985000.000000,92581960000.000000,-42816665000.000000,318575000.000000,,,-20939433000.000000,29307422000.000000,-97882789000.000000,-22138696000.000000,-120021485000.000000,,-120021485000.000000,,,-120021485000.000000,-120021485000.000000,,,-120021485000.000000,,,,
12M 2010,664257009000.000000,-660576705000.000000,3680304000.000000,-27589404000.000000,-10093280000.000000,-17496124000.000000,,-27589404000.000000,-23909100000.000000,82113995000.000000,337437000.000000,22675417000.000000,-49448270000.000000,-3032518000.000000,,,111581929000.000000,82113995000.000000,58204895000.000000,183220879000.000000,241425774000.000000,,241425774000.000000,,,241425774000.000000,241425774000.000000,,,241425774000.000000,,,,
12M 2011,848307906000.000000,-918912482000.000000,-70604576000.000000,-27707626000.000000,-8935135000.000000,-18772491000.000000,,-27707626000.000000,-98312202000.000000,-67799040000.000000,325647000.000000,-10712233000.000000,-51712306000.000000,326000000.000000,212899000.000000,,-6239047000.000000,-67799040000.000000,-166111242000.000000,-57629560000.000000,-223740802000.000000,,-223740802000.000000,144000.000000,-223740658000.000000,-223740802000.000000,-223740802000.000000,,,-223740802000.000000,-223740658000.000000,-223740658000.000000,,-223740658000.000000
12M 2012,1001452918000.000000,-1105380804000.000000,-103927886000.000000,22386262000.000000,-13769729000.000000,-27249193000.000000,63405184000.000000,22386262000.000000,-81541624000.000000,-63459919000.000000,329338000.000000,,-63789257000.000000,,,,,-63459919000.000000,-145001543000.000000,-26031907000.000000,-171033450000.000000,,-171033450000.000000,-19853890000.000000,-190887340000.000000,-171033450000.000000,-171033450000.000000,,,-171033450000.000000,-190887340000.000000,-190887340000.000000,,-190887340000.000000
12M 2013,1327175078000.000000,-1330111576000.000000,-2936498000.000000,133306561000.000000,-18302106000.000000,-28922449000.000000,180531116000.000000,133306561000.000000,130370063000.000000,-69653897000.000000,177487000.000000,,-69831384000.000000,,,,,-69653897000.000000,60716166000.000000,-21032917000.000000,39683249000.000000,,39683249000.000000,23702270000.000000,63385519000.000000,39683249000.000000,39683249000.000000,,,39683249000.000000,63385519000.000000,63385519000.000000,,63385519000.000000
12M 2014,104819253.000000,-116473911.000000,-11654658.000000,-12484327.000000,-2926941.000000,-4547742.000000,-5009644.000000,-12484327.000000,-24138985.000000,-9232741.000000,16931.000000,,-9249672.000000,,,,,-9232741.000000,-33371726.000000,-3037829.000000,-36409555.000000,,-36409555.000000,,-36409555.000000,-36409555.000000,-36409555.000000,,,-36409555.000000,-36409555.000000,-36409555.000000,,-36409555.000000
12M 2015,45264061.000000,-50237198.000000,-4973137.000000,-3362089.000000,-1260177.000000,-4083961.000000,1982049.000000,-3362089.000000,-8335226.000000,-3416736.000000,8000.000000,,-3424736.000000,,,,,-3416736.000000,-11751962.000000,-839293.000000,-12591255.000000,,-12591255.000000,-108956.000000,-12700211.000000,-12591255.000000,-12591255.000000,,,-12591255.000000,-12700211.000000,-12700211.000000,,-12700211.000000
12M 2016,48669832.000000,-49929328.000000,-1259496.000000,-22174722.000000,-1234504.000000,-3680833.000000,-17259385.000000,-22174722.000000,-23434218.000000,-3374715.000000,38312.000000,,-3413027.000000,,,,,-3374715.000000,-26808933.000000,1091756.000000,-25717177.000000,,-25717177.000000,372426.000000,-25344751.000000,-25717177.000000,-25717177.000000,,,-25717177.000000,-25344751.000000,-25344751.000000,,-25344751.000000
12M 2017,33318959.000000,-35266976.000000,-1948017.000000,-5491750.000000,-1488445.000000,-2242263.000000,-1761042.000000,-5491750.000000,-7439767.000000,-7833457.000000,14870.000000,-1603744.000000,-4627388.000000,-1617195.000000,,,,-7833457.000000,-15273224.000000,401377.000000,-14871847.000000,,-14871847.000000,-432974.000000,-15304821.000000,-14871847.000000,-14871847.000000,,,-14871847.000000,-15304821.000000,-15304821.000000,,-15304821.000000
