Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,1.57,368.74,1.57,368.74,193 B,309 B,502 B,471 B,(96 B)
12M 2009,1.72,273.79,1.72,273.79,103 B,374 B,477 B,460 B,(27 B)
12M 2010,0.55,507.20,0.55,507.20,56 B,390 B,446 B,380 B,103 B
12M 2011,0.50,512.16,0.50,512.16,32 B,381 B,413 B,399 B,136 B
12M 2012,0.48,545.76,0.48,545.76,103 B,325 B,428 B,398 B,106 B
12M 2013,0.31,591.78,0.31,591.78,14 B,514 B,528 B,494 B,353 B
12M 2014,0.82,123.39,0.82,123.39,105 B,563 B,668 B,611 B,253 B
12M 2015,0.79,215.05,0.79,215.05,96 B,593 B,689 B,670 B,600 B
12M 2016,0.23,220.81,0.23,220.81,58 B,584 B,642 B,608 B,570 B
12M 2017,0.22,224.51,0.22,224.51,50 B,638 B,687 B,672 B,512 B
12M 2018,0.22,228.70,0.22,228.70,82 B,727 B,808 B,792 B,445 B
12M 2019,0.49,102.17,0.49,102.17,742 B,59 B,801 B,793 B,169 B
12M 2020,-2.52,-19.87,-2.52,-19.87,88 B,0 B,88 B,87 B,(900 B)
12M 2021,-3.98,-12.55,-3.98,-12.55,13 B,,13 B,12 B,(706 B)
12M 2022,-2.51,-19.90,-2.51,-19.90,8 B,,8 B,7 B,(716 B)
