Period,Aset,Aset Lancar,Kas Dan Setara Kas,Investasi Jangka Pendek,Piutang Usaha,Pihak Ketiga,Pihak Berelasi,Total Piutang Usaha,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Persediaan,Adjustment,Others,Total Aset Lancar,Aset Tidak Lancar,Investasi Jangka Panjang,Investasi Pada Entitas Asosiasi,Piutang Lain-Lain,Pihak Ketiga,Pihak Berelasi,Total Piutang Lain-Lain,Aset Pajak Tangguhan,Properti Investasi,Aset Tetap,Aset Minyak Dan Gas Bumi,Adjustment,Others,Total Aset Tidak Lancar,Total Aset,Liabilitas Dan Ekuitas,Liabilitas,Liabilitas Jangka Pendek,Utang Usaha,Pihak Ketiga,Pihak Berelasi,Total Utang Usaha,Utang Pajak,Beban Akrual,Utang Bank Jangka Pendek,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Bagian Lancar Atas Liabilitas Jangka Panjang,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Utang Sewa Pembiayaan,Total Bagian Lancar Atas Liabilitas Jangka Panjang,Others,Total Liabilitas Jangka Pendek,Liabilitas Jangka Panjang,Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Bank Jangka Panjang,Utang Lembaga Keuangan Lain,Total Liabilitas Jangka Panjang - Setelah Dikurangi Bagian Yang Jatuh Tempo Dalam Satu Tahun,Utang Usaha,Pihak Ketiga,Utang Sewa Pembiayaan,Total Utang Usaha,Utang Lain-Lain,Pihak Berelasi,Pihak Ketiga,Total Utang Lain-Lain,Liabilitas Pajak Tangguhan,Others,Total Liabilitas Jangka Panjang,Total Liabilitas,Ekuitas,Modal Saham,Tambahan Modal Disetor,Saldo Laba,Telah Ditentukan Penggunaannya,Belum Ditentukan Penggunaannya,Total Saldo Laba,Adjustment,Others,Total Ekuitas,Total Liabilitas Dan Ekuitas,Saham Beredar
12M 2008,,,30482386564.000000,167803932.000000,121939895851.000000,121479995851.000000,459900000.000000,121939895851.000000,7463413827.000000,7081812045.000000,381601782.000000,7463413827.000000,27928545407.000000,,10697950958.000000,198679996539.000000,,,,65161514839.000000,45000000.000000,65116514839.000000,65161514839.000000,592983216.000000,139622070519.000000,885869960464.000000,,,48758399764.000000,1140004928802.000000,1338684925341.000000,,,294654895468.000000,,,18632185664.000000,18632185664.000000,33523721774.000000,1722154318.000000,,,,,,,192218291773.000000,,412336030.000000,192630627803.000000,48146205909.000000,294654895468.000000,465851186501.000000,,309139797018.000000,,309139797018.000000,,,128397499.000000,128397499.000000,,,,,,156582991984.000000,465851186501.000000,760506081969.000000,,784000000000.000000,10947000000.000000,-67380587139.000000,,-67380587139.000000,-67380587139.000000,,-149387569489.000000,578178843372.000000,1338684925341.000000,1568000000.000000
12M 2009,,,17212254436.000000,2400494474.000000,101760953538.000000,101760953538.000000,,101760953538.000000,7305235352.000000,7187647852.000000,117587500.000000,7305235352.000000,24222776502.000000,,10077137829.000000,162978852131.000000,,,,55781476777.000000,,55781476777.000000,55781476777.000000,5837439470.000000,,860089272116.000000,,,91261300940.000000,1012969489303.000000,1175948341434.000000,,,190320606871.000000,,,39761661688.000000,39761661688.000000,31206903561.000000,7187133344.000000,,,,,,,102449496346.000000,,526034340.000000,102975530686.000000,9189377592.000000,190320606871.000000,556324972099.000000,,373778224930.000000,,373778224930.000000,,,520363035.000000,520363035.000000,,,,,,182026384134.000000,556324972099.000000,746645578970.000000,,784000000000.000000,10947000000.000000,-247835496702.000000,,-247835496702.000000,-247835496702.000000,,-117808740835.000000,429302762463.000000,1175948341433.000000,1568000000.000000
12M 2010,,,66789080752.000000,13848687382.000000,85498250580.000000,85498250580.000000,,85498250580.000000,27698624947.000000,7184767852.000000,20513857095.000000,27698624947.000000,22776433075.000000,,11973139551.000000,228584216287.000000,,25130696288.000000,,55165029135.000000,11310953934.000000,43854075201.000000,55165029135.000000,12227884730.000000,,956727002075.000000,,,90107684172.000000,1139358296400.000000,1367942512687.000000,,,125552570603.000000,,,36040136361.000000,36040136361.000000,29257160191.000000,3449817342.000000,,,,,,,55011659714.000000,,1103420007.000000,56115079721.000000,690376988.000000,125552570603.000000,447099687717.000000,,388446614650.000000,,388446614650.000000,,,1862777621.000000,1862777621.000000,,,,,,56790295446.000000,447099687717.000000,572652258320.000000,,784000000000.000000,10947000000.000000,-269785772883.000000,,-269785772883.000000,-269785772883.000000,,270129027249.000000,795290254366.000000,1367942512686.000000,1568000000.000000
12M 2011,,,14713472137.000000,24733382877.000000,117842969513.000000,117842969513.000000,,117842969513.000000,57220369376.000000,9709796743.000000,47510572633.000000,57220369376.000000,21158420667.000000,,14103100952.000000,249771715522.000000,,45312039101.000000,,92018348467.000000,11406918308.000000,80611430159.000000,92018348467.000000,12227884730.000000,,963332313028.000000,,,90433460545.000000,1203324045871.000000,1453095761393.000000,,,113372758423.000000,,,39854200501.000000,39854200501.000000,36637812208.000000,3387838650.000000,,,,,,,30801738369.000000,,1656468047.000000,32458206416.000000,1034700648.000000,113372758423.000000,536659632723.000000,,380835612996.000000,,380835612996.000000,,,,,,,,,,155824019727.000000,536659632723.000000,650032391146.000000,,784000000000.000000,10947000000.000000,-260183434808.000000,,,-260183434808.000000,,268299805057.000000,803063370249.000000,1453095761395.000000,1568000000.000000
12M 2012,,,30074567643.000000,25455537253.000000,211244590725.000000,211244590725.000000,,211244590725.000000,13915823316.000000,13915823316.000000,,13915823316.000000,9049758362.000000,,19685714035.000000,309425991334.000000,,45312039101.000000,,30182978183.000000,12164192770.000000,18018785413.000000,30182978183.000000,12227884730.000000,305633124934.000000,635024265791.000000,,,94432570048.000000,1122812862787.000000,1432238854121.000000,,,203524793529.000000,,57000000.000000,36596122016.000000,36653122016.000000,55565093911.000000,2033017665.000000,,,,,,,101170296054.000000,,1414181940.000000,102584477994.000000,6689081943.000000,203524793529.000000,372954991962.000000,,325483202238.000000,,325483202238.000000,,,,,,,,,,47471789724.000000,372954991962.000000,576479785491.000000,,784000000000.000000,10947000000.000000,-228600392442.000000,,,-228600392442.000000,,289412461072.000000,855759068630.000000,1432238854121.000000,1568000000.000000
12M 2013,,,33468955697.000000,6624028147.000000,249690460250.000000,249690460250.000000,,249690460250.000000,17783348321.000000,17133168530.000000,650179791.000000,17783348321.000000,12411948278.000000,,162071307764.000000,482050048457.000000,,36437634876.000000,,73629681161.000000,53342861589.000000,20286819572.000000,73629681161.000000,6350989767.000000,283599287989.000000,624139419827.000000,,,71225244764.000000,1095382258384.000000,1577432306841.000000,,,129075809309.000000,,42399641273.000000,,42399641273.000000,71392036855.000000,1347715957.000000,,,,,,,13583376750.000000,,,13583376750.000000,353038474.000000,129075809309.000000,520440470131.000000,,513931840798.000000,,513931840798.000000,,,,,,,,,,6508629333.000000,520440470131.000000,649516279440.000000,,784000000000.000000,244393647686.000000,-154567576039.000000,,,-154567576039.000000,,54089955753.000000,927916027400.000000,1577432306840.000000,1568000000.000000
12M 2014,,,56457994830.000000,3000879430.000000,243182009856.000000,243182009856.000000,,243182009856.000000,3586896807.000000,2488000000.000000,1098896807.000000,3586896807.000000,11855521388.000000,,171039866466.000000,489123168777.000000,,36770862934.000000,,102553482985.000000,79775417984.000000,22778065001.000000,102553482985.000000,12291408535.000000,568100494507.000000,413343710152.000000,,,151487839761.000000,1284547798874.000000,1773670967651.000000,,,235665515571.000000,,38906814654.000000,,38906814654.000000,81603356680.000000,74064197.000000,96014819308.000000,,,,,,6025008890.000000,,2942943365.000000,8967952255.000000,10098508477.000000,235665515571.000000,570592970393.000000,,562793410705.000000,,562793410705.000000,,,,,,,,,,7799559688.000000,570592970393.000000,806258485964.000000,,784000000000.000000,244393647686.000000,-129904755083.000000,,,-129904755083.000000,,68923589084.000000,967412481687.000000,1773670967651.000000,7840000000.000000
12M 2015,,,18952287228.000000,3371164794.000000,193929255608.000000,193929255608.000000,,193929255608.000000,5195992788.000000,2343400000.000000,2852592788.000000,5195992788.000000,11365750458.000000,,524441082614.000000,757255533490.000000,,38323073969.000000,,91282645609.000000,68627571613.000000,22655073996.000000,91282645609.000000,19702586334.000000,540213976063.000000,849424598411.000000,,,153090401491.000000,1692037281877.000000,2449292815367.000000,,,156965137093.000000,,18004839758.000000,,18004839758.000000,42368335516.000000,404255325.000000,65581554429.000000,,,,,,26527443687.000000,,3908178648.000000,30435622335.000000,170529730.000000,156965137093.000000,606306600764.000000,,593265077342.000000,,593265077342.000000,,,,,,,,,,13041523422.000000,606306600764.000000,763271737857.000000,,1411200000000.000000,351017647686.000000,-118686895053.000000,,,-118686895053.000000,,42490324877.000000,1686021077510.000000,2449292815367.000000,7840000000.000000
12M 2016,,,34333543482.000000,,230998784677.000000,230998784677.000000,,230998784677.000000,16829681799.000000,2343400000.000000,14486281799.000000,16829681799.000000,11473722777.000000,,541113545518.000000,834749278253.000000,,39274740950.000000,,148194646382.000000,70181017596.000000,78013628786.000000,148194646382.000000,27175630466.000000,512327457618.000000,878670158438.000000,,,176403634889.000000,1782046268743.000000,2616795546996.000000,,,264253507603.000000,,17607999900.000000,,17607999900.000000,56105540991.000000,27796112818.000000,56982204448.000000,,88882195983.000000,14976006548.000000,103858202531.000000,,,,864593524.000000,864593524.000000,1038853391.000000,264253507603.000000,621393134779.000000,,584267810132.000000,,584267810132.000000,,,,,,23065059120.000000,,23065059120.000000,,14060265527.000000,621393134779.000000,885646642382.000000,,1411200000000.000000,351017647686.000000,-114285572671.000000,,,-114285572671.000000,,83216829599.000000,1731148904614.000000,2616795546996.000000,7840000000.000000
12M 2017,,,15731523399.000000,,147043879515.000000,147043879515.000000,,147043879515.000000,25000000.000000,,25000000.000000,25000000.000000,14728260555.000000,-20002200.000000,424011173178.000000,601519834447.000000,,,38128051845.000000,88340884672.000000,52192576304.000000,36148308368.000000,88340884672.000000,31239369169.000000,484440939174.000000,1068149103253.000000,,,194231637990.000000,1904529986103.000000,2506049820550.000000,,,89248974942.000000,,13414695860.000000,,13414695860.000000,15736877514.000000,409250838.000000,45656760000.000000,,2344019240.000000,7318520539.000000,9662539779.000000,,,,3917050000.000000,3917050000.000000,451800951.000000,89248974942.000000,656641763709.000000,,637924635577.000000,,637924635577.000000,,,,,,3676756758.000000,,3676756758.000000,,15040371374.000000,656641763709.000000,745890738651.000000,,1411200000000.000000,351017647686.000000,-104174966723.000000,,,-104174966723.000000,,102116400937.000000,1760159081900.000000,2506049820551.000000,7840000000.000000
