Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Penjualan,Beban Umum Dan Administrasi,Laba (Rugi) Selisih Kurs,Others,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Bagian Atas Hasil Bersih Entitas Asosiasi,Pendapatan Keuangan,Beban Keuangan,Laba (Rugi) Atas Penjualan Aset Tetap,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Adjustment,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,517776710508.000000,-355643359560.000000,162133350948.000000,-112472679624.000000,,-112472679624.000000,,,-112472679624.000000,49660671324.000000,-15180493946.000000,,,,,-15180493946.000000,-15180493946.000000,34480177378.000000,-1227449481.000000,-12947762845.000000,11720313364.000000,-1227449481.000000,33252727897.000000,-103442107.000000,33149285790.000000,,,33149285790.000000,33252727897.000000,-103442107.000000,33149285790.000000,,,,,
12M 2009,483122116623.000000,-320205231657.000000,162916884966.000000,-96154091875.000000,,-96154091875.000000,,,-96154091875.000000,66762793091.000000,-242371939737.000000,-45000000.000000,,,,-242326939737.000000,-242371939737.000000,-175609146646.000000,-4846280373.000000,-10073094860.000000,5226814487.000000,-4846280373.000000,-180455427019.000000,517456.000000,-180454909563.000000,,,-180454909563.000000,-180455427019.000000,517456.000000,-180454909563.000000,,,,,
12M 2010,335114392279.000000,-196292269733.000000,138822122546.000000,-76332617505.000000,,-76332617505.000000,,,-76332617505.000000,62489505041.000000,-35901332289.000000,25130696288.000000,,,,-61032028577.000000,-35901332289.000000,26588172752.000000,846279057.000000,-5544166203.000000,6390445260.000000,846279057.000000,27434451809.000000,-384727991.000000,27049723818.000000,,,27049723818.000000,27434451809.000000,-384727991.000000,27049723818.000000,,,,,
12M 2011,309744775918.000000,-188842743533.000000,120902032385.000000,-106157399635.000000,,-90781761655.000000,-11507116053.000000,-3868521927.000000,-106157399635.000000,14744632750.000000,-775760488.000000,20181342813.000000,747965259.000000,-29237757824.000000,,7532689264.000000,-775760488.000000,13968872262.000000,-2202195825.000000,-2202195825.000000,,-2202195825.000000,11766676437.000000,,11766676437.000000,-905796353.000000,10860880084.000000,11766676436.000000,11765499768.000000,1176668.000000,11766676436.000000,10860880083.000000,10859793995.000000,1086088.000000,,10860880083.000000
12M 2012,449486392992.000000,-278254523220.000000,171231869772.000000,-96080685124.000000,,-96080685124.000000,,,-96080685124.000000,75151184648.000000,-18415298248.000000,,40307858.000000,-31598157219.000000,-111082210.000000,13253633323.000000,-18415298248.000000,56735886400.000000,-4878855252.000000,-4878855252.000000,,-4878855252.000000,51857031148.000000,,51857031148.000000,,51857031148.000000,51857031148.000000,31583042365.000000,20273988783.000000,51857031148.000000,51857031148.000000,31583042365.000000,20273988783.000000,,51857031148.000000
12M 2013,404543663558.000000,-133947011682.000000,270596651876.000000,-92792067168.000000,,-92792067168.000000,,,-92792067168.000000,177804584708.000000,-110172283898.000000,-1127423767.000000,,-40085254810.000000,,-68959605321.000000,-110172283898.000000,67632300810.000000,-1200418615.000000,-4050754908.000000,2850336293.000000,-1200418615.000000,66431882195.000000,,66431882195.000000,124410058.000000,66556292253.000000,66431882195.000000,40459719797.000000,25972162398.000000,66431882195.000000,66556292252.000000,40535490585.000000,26020801667.000000,,66556292252.000000
12M 2014,357566721199.000000,-164455883618.000000,193110837581.000000,-101949578261.000000,,,,,-101949578261.000000,91161259320.000000,-64561728518.000000,333228058.000000,,-56548332184.000000,,-8346624392.000000,-64561728518.000000,26599530802.000000,3478130983.000000,3478130983.000000,,3478130983.000000,30077661785.000000,,30077661785.000000,240228573.000000,30317890358.000000,30077661786.000000,24467401215.000000,5610260571.000000,30077661786.000000,30317890359.000000,24662820956.000000,5655069403.000000,,30317890359.000000
12M 2015,225794233032.000000,-111325711017.000000,114468522015.000000,-50471023369.000000,,,,,-50471023369.000000,63997498646.000000,-52896693536.000000,1552211035.000000,,-73272448221.000000,,18823543650.000000,-52896693536.000000,11100805110.000000,6702272129.000000,6702272129.000000,,6702272129.000000,17803077239.000000,,17803077239.000000,-2351512374.000000,15451564865.000000,17803077238.000000,13344721892.000000,4458355346.000000,17803077238.000000,15451564864.000000,11582089610.000000,3869475254.000000,,15451564864.000000
12M 2016,210140743548.000000,-108499133242.000000,101641610306.000000,-52766930154.000000,,,,,-52766930154.000000,48874680152.000000,-46836057883.000000,-287823019.000000,,-62938663733.000000,,16390428869.000000,-46836057883.000000,2038622269.000000,7190501695.000000,7190501695.000000,,7190501695.000000,9229123964.000000,,9229123964.000000,56366293.000000,9285490257.000000,9229123965.000000,4374604759.000000,4854519206.000000,9229123965.000000,9285490258.000000,4401322382.000000,4884167876.000000,,9285490258.000000
12M 2017,249768643362.000000,-102612080365.000000,147156562997.000000,-48950281194.000000,,,,,-48950281194.000000,98206281803.000000,-65334819804.000000,92800895.000000,,-57975673176.000000,,-7451947523.000000,-65334819804.000000,32871461999.000000,-3987607797.000000,-3987607797.000000,,-3987607797.000000,28883854202.000000,,28883854202.000000,-285658955.000000,28598195247.000000,28883854201.000000,10211597814.000000,18672256387.000000,28883854201.000000,28598195247.000000,10110605948.000000,18487589299.000000,,28598195247.000000
