Period,Arus Kas Dari Aktivitas Operasi,Penerimaan Kas Dari Pelanggan,Pembayaran Kepada Pemasok,Pembarayan Ke Karyawan Dan (Beban Usaha),Pembayaran Beban Usaha,Pendapatan Bunga Yang Dikenakan Pajak Final,Pembayaran/Penerimaan Pajak,Uang Muka Penjualan,Pembayaran Bunga Dan Adm Bank,Penerimaan (Pembayaran) Untuk Operasi Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Operasi,Arus Kas Dari Aktivitas Investasi,Investasi Jangka Panjang,Investasi Jangka Pendek,Tambahan Penyertaan Pada Entitas Asosiasi,Penjualan Investasi Pada Anak Perusahaan Dan Perusahaan Asosiasi,Perolehan Aset Tetap,Penambahan Properti Investasi,Deposito Berjangka Yang Dibatasi Penggunaannya,Pengurangan Asset Tetap,Uang Muka Pembelian,Piutang Lainnya,Pengeluaran Untuk Asset Lainnya,Penambahan Aset Dalam Penyelesaian,Penambahan Biaya Eksplorasi Dan Pengembangan Yang Ditangguhkan,Aset Lainnya,Adjustment,Total Arus Kas Dari Aktivitas Investasi,Arus Kas Dari Aktivitas Pendanaan,Penerimaan (Pembayaran) Kepada Pihak Berelasi,Pembayaran Hutang Hubungan Istimewa,Penerimaan Hutang Bank,Penambahan Saham Baru-Bersih,Penerimaan Dari (Pembayaran Kepada) Pokok Pinjaman Bank,Penerimaan (Pembayaran) Utang Sewa Pembiayaan,Pembayaran Bunga,Penerimaan (Pembayaran) Utang Bank,Pengurangan Hutang Lain-Lain Pihak Ketiga,Pendapatan Bunga,Pengurangan (Penambahan) Piutang Lain-Lain Pihak Berelasi,Pengurangan (Penambahan) Piutang Lain-Lain Pihak Ketiga,Penerimaan (Pembayaran) Hutang Lain-Lain Pihak Berelasi,Penerimaan (Pembayaran) Hutang Lain-Lain Pihak Ketiga,Penerimaan (Pembayaran) Lembaga Pembiayaan,Pembagian Deviden,Penerimaan (Pembayaran) Hutang Lain-Lain,Penerimaan (Pembayaran) Utang Utang Usaha,Pembayaran Hutang Sewa Pembiayaan,Pembayaran Pinjaman Jangka Pendek,Penambahan Modal Disetor,Kewajiban Lancar Lainnya,Penambahan (Pembayaran) Anjak Piutang,Kewajiban Tidak Lancar Lainnya,Total Arus Kas Dari Aktivitas Pendanaan,Adjustment,Kenaikan (Penurunan) Bersih Kas Dan Setara Kas,Dampak Neto Perubahan Nilai Tukar Atas Kas Dan Setara Kas,Kas Dan Setara Kas Awal Periode,Deposito Berjangka Terikat Sebagai Jaminan,Kas Dan Setara Kas Akhir Periode
12M 2008,113207656670.000000,492262599059.000000,-361862486956.000000,,,,-33970309302.000000,15201738054.000000,,1576115815.000000,,113207656670.000000,-852884555169.000000,,8712467447.000000,-683976600000.000000,8700000000.000000,-300783557391.000000,,,,,114463134775.000000,,,,,,-852884555169.000000,720988574069.000000,-3801924230.000000,-79644666258.000000,102757175299.000000,683932000000.000000,,-40135500.000000,-35688544329.000000,,,,,,,,,,53474669087.000000,,,,,,,,720988574069.000000,,-18688324430.000000,49155611792.000000,15099202.000000,,30482386564.000000
12M 2009,119802031532.000000,507208175944.000000,-344802108439.000000,,,,-7741316675.000000,-8361258102.000000,,-26501461196.000000,,119802031532.000000,-47087796681.000000,,-1199624486.000000,-33840000000.000000,900000000.000000,-12228016511.000000,,,,,-105128967.000000,8000000.000000,-621466025.000000,-1560692.000000,,,-47087796681.000000,-85663206874.000000,-84708983244.000000,75529095438.000000,-24330367515.000000,,,841266875.000000,-56680737688.000000,,,,,,,,,,3686519260.000000,,,,,,,,-85663206874.000000,,-12948972023.000000,-321160105.000000,30482386564.000000,,17212254436.000000
12M 2010,205057415984.000000,351377095236.000000,-272624887238.000000,,,,-6849743370.000000,-8943971051.000000,,142098922407.000000,,205057415984.000000,-73856304719.000000,,-219582278092.000000,25130696288.000000,,112631984045.000000,,,,,-2880000.000000,,-4504784360.000000,12470957400.000000,,,-73856304719.000000,-81624284949.000000,8468868019.000000,-18690266902.000000,-32769446913.000000,,,1919800253.000000,-43281917067.000000,,,,,,,,,,2728677661.000000,,,,,,,,-81624284949.000000,,49576826316.000000,,17212254436.000000,,66789080752.000000
12M 2011,11076450880.000000,277400056984.000000,-150826623613.000000,-82942487124.000000,,747965259.000000,3778561744.000000,,-29237595324.000000,-7843427046.000000,,11076450880.000000,-62878843884.000000,,-10884695495.000000,,,-49373155124.000000,,,,,-2620993265.000000,,,,,,-62878843884.000000,3453471200.000000,39945213032.000000,,,,-31820922999.000000,-1309729581.000000,,,,,,,,,,,-3361089252.000000,,,,,,,,3453471200.000000,,-48348921804.000000,-3726686811.000000,66789080752.000000,,14713472137.000000
12M 2012,50545681515.000000,361077491605.000000,-272462843343.000000,-41552699016.000000,,40307858.000000,21858722659.000000,,-31598157219.000000,13182858971.000000,,50545681515.000000,-28697114794.000000,,-722154376.000000,,,-19607100781.000000,,,594550900.000000,,-4963301035.000000,,,,-3999109502.000000,,-28697114794.000000,-7981278587.000000,-2644802524.000000,,7528571428.000000,,-18771913404.000000,-242286107.000000,,,,,,,,,,,6149152020.000000,,,,,,,,-7981278587.000000,,13867288134.000000,1493807371.000000,14713472137.000000,,30074567642.000000
12M 2013,1343103976.000000,366103477455.000000,-131505682341.000000,-146297374795.000000,,132815710.000000,22927451707.000000,,-40085254810.000000,-69932328950.000000,,1343103976.000000,-74305206793.000000,-19537126353.000000,-19948114.000000,,,-1514177126.000000,,,,-50896723671.000000,-44396014033.000000,,,,42058782504.000000,,-74305206793.000000,76356490873.000000,-17582640515.000000,,100861721256.000000,,,-1414181940.000000,,,,,,,,,,,-5508407928.000000,,,,,,,,76356490873.000000,,3394388056.000000,,30074567643.000000,,33468955699.000000
12M 2014,67572896620.000000,351155465322.000000,3793907538.000000,-226625674828.000000,,645171356.000000,4144155164.000000,,-56548332184.000000,-8991795748.000000,,67572896620.000000,-120235266765.000000,,,,333228058.000000,7875772126.000000,-119424760746.000000,-1743057654.000000,,-275000000.000000,,,,,-7001448549.000000,,-120235266765.000000,70285202907.000000,448717016.000000,,64056874905.000000,,,2942943365.000000,,,,,,,,,,,-241834514.000000,,,,,-6811497865.000000,9890000000.000000,,70285202907.000000,,17622832762.000000,,38835162067.000000,,56457994829.000000
12M 2015,-382330144471.000000,275009008533.000000,-428822216603.000000,-108809567821.000000,,109194580.000000,-35337737831.000000,,-73272448221.000000,-11206377108.000000,,-382330144471.000000,-410277376365.000000,,,,-1552211035.000000,-457335868277.000000,,-370285364.000000,,50583550041.000000,,,,,-1602561730.000000,,-410277376365.000000,755101813234.000000,-1630704976.000000,,20540836556.000000,,,965235283.000000,,,,,,,,,,,,,,,733824000000.000000,11292446371.000000,-9890000000.000000,,755101813234.000000,,-37505707602.000000,,56457994830.000000,,18952287228.000000
12M 2016,25401409531.000000,173988058678.000000,-504812176.000000,-147673360790.000000,,89232230.000000,10297421837.000000,,-62938663733.000000,52143533485.000000,,25401409531.000000,-21181558604.000000,,,,-1239490000.000000,,,3371164794.000000,,,,,,,-23313233398.000000,,-21181558604.000000,11161405327.000000,44955011302.000000,,-44124060878.000000,,,-3043585124.000000,,,,,,,14927486010.000000,,,,,,,,,-1553445983.000000,,,11161405327.000000,,15381256254.000000,,18952287228.000000,,34333543482.000000
12M 2017,208102114003.000000,333136496084.000000,-7447841818.000000,4738206194.000000,,121704645.000000,-56828119780.000000,,-57975673176.000000,-7642658146.000000,,208102114003.000000,-235162449951.000000,,,,1720478016.000000,-219093098496.000000,,,,38173630.000000,,,,,-17828003101.000000,,-235162449951.000000,8458315866.000000,17988441292.000000,,42331380996.000000,,,3052456475.000000,,,,,-30211574525.000000,,-19388302362.000000,,,,-7657486010.000000,,,,,2343400000.000000,,,8458315866.000000,,-18602020082.000000,,34333543482.000000,,15731523400.000000
