Period,Total Pendapatan,Total Beban Pokok Penjualan,Laba Kotor,Total Beban Usaha,Beban Usaha,Beban Umum Dan Administrasi,Total Beban Usaha,Laba Usaha,Penghasilan/Beban Lain-Lain,Beban Keuangan,Laba (Rugi) Selisih Kurs,Laba (Rugi) Atas Penjualan Aset Tetap,Pendapatan Keuangan,Bagian Atas Hasil Bersih Entitas Asosiasi,Keuntungan Atas Penjualan Entitas Anak,Adjustment,Others,Total Penghasilan/Beban Lain-Lain,Laba Sebelum Pajak,Beban Pajak Penghasilan,Pajak Kini,Pajak Tangguhan,Final,Adjustment,Total Beban Pajak Penghasilan,Laba Bersih Dari Operasi Yang Dilanjutkan,Hak Minoritas,Laba Bersih Tahun Berjalan,Pendapatan Komprehensif Lain,Jumlah Laba Komprehensif,Laba Bersih Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Bersih Yang Dapat Diatribusikan Kepada,Laba Komprehensif Yang Dapat Diatribusikan Kepada,Pemilik Entitas Induk,Kepentingan Non-Pegendali,Total Laba Komprehensif Yang Dapat Diatribusikan Kepada
12M 2008,2267484324910.000000,-2013100001364.000000,254384323546.000000,-113748607773.000000,-76465962784.000000,-37282644989.000000,-113748607773.000000,140635715773.000000,-129982427712.000000,-17009898372.000000,-110477699933.000000,-475615220.000000,866422439.000000,,,,-2885636626.000000,-129982427712.000000,10653288061.000000,-5225853206.000000,,,,,-5225853206.000000,5427434855.000000,-189450500.000000,5237984355.000000,,,5237984355.000000,5427434855.000000,-189450500.000000,5237984355.000000,,,,
12M 2009,1729113224781.000000,-1531229601421.000000,197883623360.000000,-115406469170.000000,-65571346016.000000,-49835123154.000000,-115406469170.000000,82477154190.000000,-6885831329.000000,-40619792387.000000,40372374666.000000,42500000.000000,307193903.000000,,,,-6988107511.000000,-6885831329.000000,75591322861.000000,-21989138824.000000,,,,,-21989138824.000000,53602184037.000000,-38714172.000000,53563469865.000000,,,53563469865.000000,53602184037.000000,-38714172.000000,53563469865.000000,,,,
12M 2010,1309570310227.000000,-1156342353988.000000,153227956239.000000,-105941310632.000000,-59987231832.000000,-45954078800.000000,-105941310632.000000,47286645607.000000,-30243066528.000000,-24863949663.000000,14357888612.000000,299436186.000000,282981299.000000,,,,-20319422962.000000,-30243066528.000000,17043579079.000000,-6781899207.000000,,,,,-6781899207.000000,10261679872.000000,-195449661.000000,10066230211.000000,,,10066230211.000000,10261679872.000000,-195449661.000000,10066230211.000000,,,,
12M 2011,2014608187195.000000,-1711066779583.000000,303541407612.000000,-128232100403.000000,-78691845882.000000,-49540254521.000000,-128232100403.000000,175309307209.000000,-34412956398.000000,-20296966622.000000,-5990939556.000000,8391285745.000000,415865351.000000,,,,-16932201316.000000,-34412956398.000000,140896350811.000000,-30275322766.000000,-31381327289.000000,1106004523.000000,,,-30275322766.000000,110621028045.000000,,110621028045.000000,,110621028045.000000,110621028048.000000,110546891727.000000,74136321.000000,110621028048.000000,110621028048.000000,110546891727.000000,74136321.000000,110621028048.000000
12M 2012,2484172510398.000000,-2112066541490.000000,372105968908.000000,-154867113857.000000,-87177882872.000000,-67689230985.000000,-154867113857.000000,217238855051.000000,-32583625923.000000,-19048656469.000000,-26122026758.000000,8969964752.000000,711303565.000000,,,,2905788987.000000,-32583625923.000000,184655229128.000000,-37634654837.000000,-36433396800.000000,-1201258037.000000,,,-37634654837.000000,147020574291.000000,,147020574291.000000,,147020574291.000000,147020574291.000000,146894619622.000000,125954669.000000,147020574291.000000,147020574291.000000,146894619622.000000,125954669.000000,147020574291.000000
12M 2013,2510817836680.000000,-2252807051857.000000,258010784823.000000,-135261460437.000000,-66104530962.000000,-69156929475.000000,-135261460437.000000,122749324386.000000,-71147106944.000000,-19349966046.000000,-80853515077.000000,,524084546.000000,,,,28532289633.000000,-71147106944.000000,51602217442.000000,-12509464270.000000,-9460595453.000000,-3048868817.000000,,,-12509464270.000000,39092753172.000000,,39092753172.000000,,39092753172.000000,39092753172.000000,39092753172.000000,,39092753172.000000,39092753172.000000,39092753172.000000,,39092753172.000000
12M 2014,2003353488967.000000,-1898380886031.000000,104972602936.000000,-129284009512.000000,-63887089609.000000,-65396919903.000000,-129284009512.000000,-24311406576.000000,-88607411076.000000,-36473625275.000000,-31999175874.000000,247213728.000000,560800593.000000,,,,-20942624248.000000,-88607411076.000000,-112918817652.000000,27524984066.000000,-1928527046.000000,29453511112.000000,,,27524984066.000000,-85393833586.000000,,-85393833586.000000,,-85393833586.000000,-85393833586.000000,-85393833586.000000,,-85393833586.000000,-85393833586.000000,-85393833586.000000,,-85393833586.000000
12M 2015,1597736461981.000000,-1356439679407.000000,241296782574.000000,-131747148264.000000,-56969269014.000000,-74777879250.000000,-131747148264.000000,109549634310.000000,-106606321196.000000,-52909798958.000000,-60526762218.000000,,585023239.000000,,,,6245216741.000000,-106606321196.000000,2943313114.000000,-2666205148.000000,-3090786375.000000,974440560.000000,-549859333.000000,,-2666205148.000000,277107966.000000,,277107966.000000,5603368152.000000,5880476118.000000,277107966.000000,277107966.000000,,277107966.000000,5880476118.000000,5880476118.000000,,5880476118.000000
12M 2016,2022350276358.000000,-1541589323022.000000,480760953336.000000,-181433986657.000000,-78600696919.000000,-102833289738.000000,-181433986657.000000,299326966679.000000,-74019543276.000000,-69994185988.000000,2451371933.000000,,915334078.000000,,,,-7392063299.000000,-74019543276.000000,225307423403.000000,-65261550010.000000,-34977988411.000000,-29319962302.000000,-963599297.000000,,-65261550010.000000,160045873393.000000,,160045873393.000000,-655249377.000000,159390624016.000000,160045873393.000000,160045873393.000000,,160045873393.000000,159390624016.000000,159390624016.000000,,159390624016.000000
12M 2017,2258316807862.000000,-1784978654927.000000,473338152935.000000,-199287250025.000000,-96474490239.000000,-102812759786.000000,-199287250025.000000,274050902910.000000,-42478523712.000000,-43509863158.000000,-3135797191.000000,,969475424.000000,,,,3197661213.000000,-42478523712.000000,231572379198.000000,-65367419859.000000,-67408978068.000000,3371275828.000000,-1329717619.000000,,-65367419859.000000,166204959339.000000,,166204959339.000000,-4503794454.000000,161701164885.000000,166204959339.000000,166204959339.000000,,166204959339.000000,161701164885.000000,161701164885.000000,,161701164885.000000
