Period,Price to Book Value (Annual),Book Value Per Share (Annual),Price to Tang. Book Value (Annual),Tang. Book Value Per Share (Annual),Short-term Debt (Annual),Long-term Debt (Annual),Total Debt (Annual),Net Debt (Annual),Working capital (Annual)
12M 2008,0.79,379.10,0.79,379.10,280 B,,280 B,231 B,73 B
12M 2009,0.91,451.74,0.91,451.74,265 B,4 B,269 B,236 B,116 B
12M 2010,0.97,463.86,0.97,463.86,159 B,2 B,161 B,123 B,173 B
12M 2011,1.37,596.87,1.37,596.87,281 B,2 B,283 B,150 B,303 B
12M 2012,1.42,725.60,1.42,725.60,129 B,2 B,130 B,(27 B),358 B
12M 2013,1.02,723.42,1.02,723.42,343 B,16 B,359 B,261 B,179 B
12M 2014,1.28,620.67,1.28,620.67,427 B,16 B,443 B,409 B,158 B
12M 2015,1.60,613.21,1.60,613.21,548 B,10 B,558 B,480 B,166 B
12M 2016,1.82,804.99,1.82,804.99,400 B,5 B,404 B,328 B,323 B
12M 2017,1.59,195.91,1.59,195.91,484 B,0 B,484 B,330 B,407 B
12M 2018,1.35,222.02,1.35,222.02,668 B,14 B,681 B,463 B,408 B
12M 2019,1.51,267.02,1.51,267.02,501 B,13 B,513 B,(116 B),996 B
12M 2020,0.88,267.62,0.88,267.62,478 B,77 B,554 B,412 B,992 B
12M 2021,0.83,217.96,0.83,217.91,"1,041 B",163 B,"1,204 B",977 B,373 B
12M 2022,0.80,173.04,0.80,172.95,789 B,63 B,852 B,649 B,73 B
12M 2023,1.24,177.08,1.24,176.85,631 B,36 B,667 B,432 B,487 B
12M 2024,1.47,156.06,1.47,156.06,689 B,1 B,690 B,417 B,163 B
